entry,at,order
"The player ""LLATFFEJ @ WtMwiUnkT6"" quits the game with a stack of 65.71.",2021-03-14T06:06:55.319Z,161570201532400
"The player ""K. Godel @ TN11URmFSv"" stand up with the stack of 50.14.",2021-03-14T06:06:40.378Z,161570200038000
"-- ending hand #166 --",2021-03-14T06:06:37.454Z,161570199745502
"""Deckhole @ hqlKQ6Qj8d"" collected 0.10 from pot",2021-03-14T06:06:37.454Z,161570199745501
"Uncalled bet of 0.05 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-14T06:06:37.454Z,161570199745500
"""K. Godel @ TN11URmFSv"" folds",2021-03-14T06:06:36.643Z,161570199664500
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-03-14T06:06:18.125Z,161570197812605
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-03-14T06:06:18.125Z,161570197812604
"Your hand is 6♣, 10♥",2021-03-14T06:06:18.125Z,161570197812602
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (50.19) | #4 ""Deckhole @ hqlKQ6Qj8d"" (34.03)",2021-03-14T06:06:18.125Z,161570197812601
"-- starting hand #166  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-03-14T06:06:18.125Z,161570197812600
"-- ending hand #165 --",2021-03-14T06:06:15.167Z,161570197516802
"""Deckhole @ hqlKQ6Qj8d"" collected 1.20 from pot",2021-03-14T06:06:15.167Z,161570197516801
"Uncalled bet of 0.90 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-14T06:06:15.167Z,161570197516800
"""K. Godel @ TN11URmFSv"" folds",2021-03-14T06:06:14.360Z,161570197436100
"""Deckhole @ hqlKQ6Qj8d"" bets 0.90",2021-03-14T06:06:10.260Z,161570197026100
"""K. Godel @ TN11URmFSv"" checks",2021-03-14T06:06:02.254Z,161570196225500
"Turn: 6♦, 10♥, 4♦ [5♦]",2021-03-14T06:05:58.909Z,161570195891000
"""K. Godel @ TN11URmFSv"" calls 0.30",2021-03-14T06:05:58.100Z,161570195810100
"""Deckhole @ hqlKQ6Qj8d"" bets 0.30",2021-03-14T06:05:42.886Z,161570194288700
"""K. Godel @ TN11URmFSv"" checks",2021-03-14T06:05:33.964Z,161570193396500
"Flop:  [6♦, 10♥, 4♦]",2021-03-14T06:05:26.452Z,161570192645300
"""K. Godel @ TN11URmFSv"" calls 0.30",2021-03-14T06:05:25.647Z,161570192564800
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.30",2021-03-14T06:05:22.086Z,161570192208700
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-03-14T06:05:08.165Z,161570190816606
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-03-14T06:05:08.165Z,161570190816605
"Your hand is K♥, Q♣",2021-03-14T06:05:08.165Z,161570190816603
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (50.79) | #4 ""Deckhole @ hqlKQ6Qj8d"" (33.43)",2021-03-14T06:05:08.165Z,161570190816602
"-- starting hand #165  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-03-14T06:05:08.165Z,161570190816601
"The player ""LLATFFEJ @ WtMwiUnkT6"" stand up with the stack of 65.71.",2021-03-14T06:05:08.165Z,161570190816600
"-- ending hand #164 --",2021-03-14T06:05:05.226Z,161570190522702
"""Deckhole @ hqlKQ6Qj8d"" collected 8.74 from pot",2021-03-14T06:05:05.226Z,161570190522701
"Uncalled bet of 8.74 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-14T06:05:05.226Z,161570190522700
"""K. Godel @ TN11URmFSv"" folds",2021-03-14T06:05:04.414Z,161570190441700
"""Deckhole @ hqlKQ6Qj8d"" bets 8.74",2021-03-14T06:05:02.766Z,161570190276800
"River: 2♦, 5♥, 9♠, J♦ [Q♠]",2021-03-14T06:04:49.993Z,161570188999500
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-03-14T06:04:49.179Z,161570188918000
"""K. Godel @ TN11URmFSv"" calls 2.62",2021-03-14T06:04:48.297Z,161570188829800
"""Deckhole @ hqlKQ6Qj8d"" bets 2.62",2021-03-14T06:04:35.142Z,161570187514300
"Turn: 2♦, 5♥, 9♠ [J♦]",2021-03-14T06:04:26.600Z,161570186660200
"""Deckhole @ hqlKQ6Qj8d"" calls 0.70",2021-03-14T06:04:25.792Z,161570186579300
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.70",2021-03-14T06:04:23.865Z,161570186386700
"""K. Godel @ TN11URmFSv"" bets 0.70",2021-03-14T06:04:20.487Z,161570186048700
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-03-14T06:04:10.520Z,161570185052100
"Flop:  [2♦, 5♥, 9♠]",2021-03-14T06:04:05.569Z,161570184557100
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.45",2021-03-14T06:04:04.757Z,161570184475800
"""K. Godel @ TN11URmFSv"" calls 0.45",2021-03-14T06:04:03.865Z,161570184386700
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.45",2021-03-14T06:04:01.312Z,161570184131300
