entry,at,order
"-- ending hand #330 --",2021-08-07T06:17:38.318Z,162831705831802
"""LLATFFEJ @ cp8PZiuFnj"" collected 9.34 from pot with Straight (combination: Q♠, J♦, 10♣, 9♥, 8♠)",2021-08-07T06:17:38.318Z,162831705831801
"""LLATFFEJ @ cp8PZiuFnj"" shows a 7♥, Q♠, 8♠, A♥.",2021-08-07T06:17:38.318Z,162831705831800
"""Deckhole @ hqlKQ6Qj8d"" calls 2.80",2021-08-07T06:17:37.511Z,162831705751100
"""LLATFFEJ @ cp8PZiuFnj"" bets 2.80",2021-08-07T06:17:36.212Z,162831705621200
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-07T06:17:30.209Z,162831705020900
"River: 2♥, J♦, 10♣, 2♦ [9♥]",2021-08-07T06:17:27.474Z,162831704747400
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.12",2021-08-07T06:17:26.662Z,162831704666200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.12",2021-08-07T06:17:25.331Z,162831704533100
"Turn: 2♥, J♦, 10♣ [2♦]",2021-08-07T06:17:21.130Z,162831704113000
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-08-07T06:17:20.323Z,162831704032300
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-07T06:17:18.252Z,162831703825200
"Flop:  [2♥, J♦, 10♣]",2021-08-07T06:17:11.649Z,162831703164900
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.75",2021-08-07T06:17:10.842Z,162831703084200
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-08-07T06:17:08.714Z,162831702871400
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-08-07T06:17:05.091Z,162831702509100
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-08-07T06:17:02.423Z,162831702242300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-07T06:16:48.846Z,162831700884606
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.10",2021-08-07T06:16:48.846Z,162831700884605
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (215.24) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (49.27)",2021-08-07T06:16:48.846Z,162831700884602
"-- starting hand #330  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-08-07T06:16:48.846Z,162831700884601
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 220.03.",2021-08-07T06:16:48.846Z,162831700884600
"Undealt cards: J♣, A♠, 2♣ [4♠, A♥]",2021-08-07T06:16:45.143Z,162831700514300
"-- ending hand #329 --",2021-08-07T06:16:42.921Z,162831700292102
"""Deckhole @ hqlKQ6Qj8d"" collected 1.50 from pot",2021-08-07T06:16:42.921Z,162831700292101
"Uncalled bet of 0.75 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-07T06:16:42.921Z,162831700292100
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-07T06:16:42.108Z,162831700210800
"""Deckhole @ hqlKQ6Qj8d"" bets 0.75",2021-08-07T06:16:35.890Z,162831699589000
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-08-07T06:16:31.789Z,162831699178900
"Flop:  [J♣, A♠, 2♣]",2021-08-07T06:16:28.066Z,162831698806600
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.75",2021-08-07T06:16:27.260Z,162831698726000
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-08-07T06:16:16.461Z,162831697646100
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-08-07T06:15:54.782Z,162831695478200
"""K Godel @ Di5cxDUTF9"" folds",2021-08-07T06:15:53.871Z,162831695387100
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-07T06:15:45.266Z,162831694526606
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.10",2021-08-07T06:15:45.266Z,162831694526605
"Your hand is 2♠, 8♠, 9♠, 4♥",2021-08-07T06:15:45.266Z,162831694526603
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (214.49) | #6 ""K Godel @ Di5cxDUTF9"" (220.03) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (50.02)",2021-08-07T06:15:45.266Z,162831694526601
"-- starting hand #329  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-08-07T06:15:45.266Z,162831694526600
"-- ending hand #328 --",2021-08-07T06:15:39.247Z,162831693924702
"""K Godel @ Di5cxDUTF9"" collected 6.37 from pot with Flush (combination: K♦, J♦, 9♦, 6♦, 4♦)",2021-08-07T06:15:39.247Z,162831693924701
"""K Godel @ Di5cxDUTF9"" shows a J♦, 9♦, Q♥, 3♦.",2021-08-07T06:15:39.247Z,162831693924700
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-07T06:15:38.439Z,162831693843900
"""K Godel @ Di5cxDUTF9"" checks",2021-08-07T06:15:36.991Z,162831693699100
"River: 4♦, K♦, 6♦, 2♦ [5♥]",2021-08-07T06:15:31.738Z,162831693173800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-07T06:15:30.932Z,162831693093200
"""K Godel @ Di5cxDUTF9"" checks",2021-08-07T06:15:28.770Z,162831692877000
"Turn: 4♦, K♦, 6♦ [2♦]",2021-08-07T06:15:18.460Z,162831691846000
"""K Godel @ Di5cxDUTF9"" calls 1.91",2021-08-07T06:15:17.654Z,162831691765400
"""Deckhole @ hqlKQ6Qj8d"" bets 1.91",2021-08-07T06:15:14.830Z,162831691483000
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-08-07T06:15:11.905Z,162831691190500
"""K Godel @ Di5cxDUTF9"" checks",2021-08-07T06:15:08.830Z,162831690883000
"Flop:  [4♦, K♦, 6♦]",2021-08-07T06:15:04.540Z,162831690454000
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.85",2021-08-07T06:15:03.734Z,162831690373400
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-08-07T06:15:01.541Z,162831690154100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-08-07T06:14:59.482Z,162831689948200
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.25",2021-08-07T06:14:56.450Z,162831689645006
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-07T06:14:56.450Z,162831689645005
"Your hand is J♦, 9♦, Q♥, 3♦",2021-08-07T06:14:56.450Z,162831689645003
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (217.25) | #6 ""K Godel @ Di5cxDUTF9"" (216.42) | #10 ""LLATFFEJ @ cp8PZiuFnj"" (50.87)",2021-08-07T06:14:56.450Z,162831689645001
"-- starting hand #328  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-07T06:14:56.450Z,162831689645000
"-- ending hand #327 --",2021-08-07T06:14:50.420Z,162831689042003
"""Deckhole @ hqlKQ6Qj8d"" shows a 3♣, 8♠, Q♠, 6♥.",2021-08-07T06:14:50.420Z,162831689042002
"""LLATFFEJ @ cp8PZiuFnj"" collected 16.83 from pot with Two Pair (combination: A♥, A♠, 7♠, 7♥, 10♠)",2021-08-07T06:14:50.420Z,162831689042001
"""LLATFFEJ @ cp8PZiuFnj"" shows a A♥, 3♦, 9♥, 7♠.",2021-08-07T06:14:50.420Z,162831689042000
