entry,at,order
"-- ending hand #438 --",2021-09-18T07:58:52.513Z,163195193251302
"""K Godel @ Di5cxDUTF9"" collected 6.36 from pot",2021-09-18T07:58:52.513Z,163195193251301
"Uncalled bet of 6.36 returned to ""K Godel @ Di5cxDUTF9""",2021-09-18T07:58:52.513Z,163195193251300
"""Deckhole @ 5Wa3y-CeG8"" folds",2021-09-18T07:58:51.708Z,163195193170800
"""Baxter @ pUWVTl3lN1"" folds",2021-09-18T07:58:50.861Z,163195193086100
"""K Godel @ Di5cxDUTF9"" bets 6.36",2021-09-18T07:58:41.756Z,163195192175600
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-09-18T07:58:34.689Z,163195191468900
"""Baxter @ pUWVTl3lN1"" checks",2021-09-18T07:58:33.190Z,163195191319000
"Turn: 3♦, 6♠, 7♣ [4♦]",2021-09-18T07:58:25.312Z,163195190531200
"""Deckhole @ 5Wa3y-CeG8"" calls 1.27",2021-09-18T07:58:24.505Z,00
"""Baxter @ pUWVTl3lN1"" calls 1.27",2021-09-18T07:58:23.660Z,163195190366000
"""K Godel @ Di5cxDUTF9"" bets 1.27",2021-09-18T07:58:17.542Z,163195189754200
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-09-18T07:58:11.859Z,163195189185900
"""Baxter @ pUWVTl3lN1"" checks",2021-09-18T07:58:10.382Z,163195189038200
"Flop:  [3♦, 6♠, 7♣]",2021-09-18T07:58:04.111Z,163195188411100
"""Deckhole @ 5Wa3y-CeG8"" calls 0.85",2021-09-18T07:58:03.304Z,163195188330400
"The admin ""Deckhole @ 5Wa3y-CeG8"" enqueued the game stop on next hand.",2021-09-18T07:57:59.656Z,163195187965600
"""Baxter @ pUWVTl3lN1"" calls 0.85",2021-09-18T07:57:56.741Z,163195187674100
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2021-09-18T07:57:53.708Z,163195187370800
"""Deckhole @ 5Wa3y-CeG8"" posts a big blind of 0.25",2021-09-18T07:57:48.424Z,163195186842406
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-09-18T07:57:48.424Z,163195186842405
"Your hand is 7♠, 5♠, 3♣, 3♠",2021-09-18T07:57:48.424Z,163195186842403
"Player stacks: #2 ""Deckhole @ 5Wa3y-CeG8"" (195.26) | #3 ""K Godel @ Di5cxDUTF9"" (19.60) | #9 ""Baxter @ pUWVTl3lN1"" (100.26)",2021-09-18T07:57:48.424Z,163195186842401
"-- starting hand #438  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-09-18T07:57:48.424Z,163195186842400
"-- ending hand #437 --",2021-09-18T07:57:45.515Z,163195186551502
"""Baxter @ pUWVTl3lN1"" collected 2.55 from pot",2021-09-18T07:57:45.515Z,163195186551501
"Uncalled bet of 0.25 returned to ""Baxter @ pUWVTl3lN1""",2021-09-18T07:57:45.515Z,163195186551500
"""K Godel @ Di5cxDUTF9"" folds",2021-09-18T07:57:44.712Z,163195186471200
"""Deckhole @ 5Wa3y-CeG8"" folds",2021-09-18T07:57:41.195Z,163195186119500
"""Baxter @ pUWVTl3lN1"" bets 0.25",2021-09-18T07:57:39.186Z,163195185918600
"""K Godel @ Di5cxDUTF9"" checks",2021-09-18T07:57:35.073Z,163195185507300
"River: 10♣, 2♣, 3♦, A♠ [10♥]",2021-09-18T07:57:29.254Z,163195184925400
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-09-18T07:57:28.442Z,163195184844200
"""Baxter @ pUWVTl3lN1"" checks",2021-09-18T07:57:25.573Z,163195184557300
"""K Godel @ Di5cxDUTF9"" checks",2021-09-18T07:57:22.729Z,163195184272900
"Turn: 10♣, 2♣, 3♦ [A♠]",2021-09-18T07:57:17.890Z,163195183789000
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-09-18T07:57:17.078Z,163195183707800
"""Baxter @ pUWVTl3lN1"" checks",2021-09-18T07:57:08.691Z,163195182869100
"""K Godel @ Di5cxDUTF9"" checks",2021-09-18T07:57:05.580Z,163195182558000
"Flop:  [10♣, 2♣, 3♦]",2021-09-18T07:57:01.821Z,163195182182100
"""Baxter @ pUWVTl3lN1"" calls 0.85",2021-09-18T07:57:01.012Z,163195182101200
"""K Godel @ Di5cxDUTF9"" calls 0.85",2021-09-18T07:56:58.066Z,163195181806600
"""Deckhole @ 5Wa3y-CeG8"" raises to 0.85",2021-09-18T07:56:55.480Z,163195181548000
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.25",2021-09-18T07:56:52.860Z,163195181286006
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-09-18T07:56:52.860Z,163195181286005
"Your hand is K♥, 2♠, 3♣, 4♠",2021-09-18T07:56:52.860Z,163195181286003
"Player stacks: #2 ""Deckhole @ 5Wa3y-CeG8"" (196.11) | #3 ""K Godel @ Di5cxDUTF9"" (20.45) | #9 ""Baxter @ pUWVTl3lN1"" (98.56)",2021-09-18T07:56:52.860Z,163195181286001
"-- starting hand #437  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 5Wa3y-CeG8"") --",2021-09-18T07:56:52.860Z,163195181286000
"-- ending hand #436 --",2021-09-18T07:56:46.844Z,163195180684402
"""Deckhole @ 5Wa3y-CeG8"" collected 20.00 from pot with Straight (combination: 6♦, 5♠, 4♠, 3♠, 2♠)",2021-09-18T07:56:46.844Z,163195180684401
"""Deckhole @ 5Wa3y-CeG8"" shows a 5♠, 3♠, 7♣, 9♦.",2021-09-18T07:56:46.844Z,163195180684400
"""Baxter @ pUWVTl3lN1"" calls 6.00",2021-09-18T07:56:46.027Z,163195180602700
"""Deckhole @ 5Wa3y-CeG8"" bets 6.00",2021-09-18T07:56:42.208Z,163195180220800
"River: 4♠, 4♣, A♣, 6♦ [2♠]",2021-09-18T07:56:26.027Z,163195178602700
