entry,at,order
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 3.51.",2022-02-14T05:40:20.472Z,164481722047200
"-- ending hand #131 --",2022-02-14T05:40:17.471Z,164481721747102
"""Malarkey @ Ia-cNlUwV8"" collected 0.04 from pot",2022-02-14T05:40:17.471Z,164481721747101
"Uncalled bet of 0.04 returned to ""Malarkey @ Ia-cNlUwV8""",2022-02-14T05:40:17.471Z,164481721747100
"""K Godel @ TN11URmFSv"" folds",2022-02-14T05:40:16.585Z,164481721658500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-02-14T05:40:09.803Z,164481720980300
"""K Godel @ TN11URmFSv"" posts a big blind of 0.02",2022-02-14T05:40:07.138Z,164481720713805
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-02-14T05:40:07.138Z,164481720713804
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (3.53) | #8 ""Malarkey @ Ia-cNlUwV8"" (7.36)",2022-02-14T05:40:07.138Z,164481720713801
"-- starting hand #131  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-02-14T05:40:07.138Z,164481720713800
"""Malarkey @ Ia-cNlUwV8"" shows a 10♣, J♠.",2022-02-14T05:40:04.651Z,164481720465100
"-- ending hand #130 --",2022-02-14T05:40:03.535Z,164481720353502
"""Malarkey @ Ia-cNlUwV8"" collected 0.02 from pot",2022-02-14T05:40:03.535Z,164481720353501
"Uncalled bet of 0.01 returned to ""Malarkey @ Ia-cNlUwV8""",2022-02-14T05:40:03.535Z,164481720353500
"""K Godel @ TN11URmFSv"" folds",2022-02-14T05:40:02.661Z,164481720266100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-02-14T05:39:32.613Z,164481717261306
"""K Godel @ TN11URmFSv"" posts a small blind of 0.01",2022-02-14T05:39:32.613Z,164481717261305
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (3.54) | #8 ""Malarkey @ Ia-cNlUwV8"" (7.35)",2022-02-14T05:39:32.613Z,164481717261302
"-- starting hand #130  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-02-14T05:39:32.613Z,164481717261301
"The player ""Ball & Order @ Z6cyGP68Zt"" quits the game with a stack of 1.36.",2022-02-14T05:39:32.613Z,164481717261300
"-- ending hand #129 --",2022-02-14T05:39:29.709Z,164481716970902
"""Malarkey @ Ia-cNlUwV8"" collected 0.05 from pot",2022-02-14T05:39:29.709Z,164481716970901
"Uncalled bet of 0.05 returned to ""Malarkey @ Ia-cNlUwV8""",2022-02-14T05:39:29.709Z,164481716970900
"""Ball & Order @ Z6cyGP68Zt"" folds",2022-02-14T05:39:28.811Z,164481716881100
"""K Godel @ TN11URmFSv"" folds",2022-02-14T05:38:57.915Z,164481713791500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.07",2022-02-14T05:38:50.408Z,164481713040800
"""Ball & Order @ Z6cyGP68Zt"" posts a big blind of 0.02",2022-02-14T05:38:47.679Z,164481712767906
"""K Godel @ TN11URmFSv"" posts a small blind of 0.01",2022-02-14T05:38:47.679Z,164481712767905
