entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 49.92.",2021-10-31T06:03:31.775Z,163566021177500
"-- ending hand #201 --",2021-10-31T06:03:28.864Z,163566020886402
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2021-10-31T06:03:28.864Z,163566020886401
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2021-10-31T06:03:28.864Z,163566020886400
"""K Godel @ Di5cxDUTF9"" folds",2021-10-31T06:03:28.053Z,163566020805300
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-10-31T06:03:18.337Z,163566019833705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-10-31T06:03:18.337Z,163566019833704
"Your hand is 7♣, J♦, 10♦, 5♥",2021-10-31T06:03:18.337Z,163566019833702
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (50.02) | #7 ""Deckhole @ 3URETjsK60"" (171.17)",2021-10-31T06:03:18.337Z,163566019833701
"-- starting hand #201  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-31T06:03:18.337Z,163566019833700
"-- ending hand #200 --",2021-10-31T06:03:12.299Z,163566019229903
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot with low hand with seven high (combination: 3♣, 4♥, 5♦, 6♥, 7♦)",2021-10-31T06:03:12.299Z,163566019229902
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot with hi hand with straight seven high (combination: 3♣, 4♥, 5♦, 6♥, 7♦)",2021-10-31T06:03:12.299Z,163566019229901
"""K Godel @ Di5cxDUTF9"" shows a 4♣, 5♦, 7♦, J♣.",2021-10-31T06:03:12.299Z,163566019229900
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-10-31T06:03:11.491Z,163566019149100
"""K Godel @ Di5cxDUTF9"" bets 0.75",2021-10-31T06:02:45.249Z,163566016524900
"River: Q♦, 4♥, Q♠, 3♣ [6♥]",2021-10-31T06:02:26.876Z,163566014687600
"""Deckhole @ 3URETjsK60"" checks",2021-10-31T06:02:26.060Z,163566014606000
"""K Godel @ Di5cxDUTF9"" checks",2021-10-31T06:02:13.277Z,163566013327700
"Turn: Q♦, 4♥, Q♠ [3♣]",2021-10-31T06:01:58.292Z,163566011829200
"""Deckhole @ 3URETjsK60"" checks",2021-10-31T06:01:57.482Z,163566011748200
"""K Godel @ Di5cxDUTF9"" checks",2021-10-31T06:01:54.738Z,163566011473800
"Flop:  [Q♦, 4♥, Q♠]",2021-10-31T06:01:37.392Z,163566009739200
"""K Godel @ Di5cxDUTF9"" calls 0.75",2021-10-31T06:01:36.581Z,163566009658100
"""Deckhole @ 3URETjsK60"" raises to 0.75",2021-10-31T06:01:22.436Z,163566008243600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-10-31T06:01:16.965Z,163566007696505
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2021-10-31T06:01:16.965Z,163566007696504
"Your hand is 4♣, 5♦, 7♦, J♣",2021-10-31T06:01:16.965Z,163566007696502
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (48.52) | #7 ""Deckhole @ 3URETjsK60"" (172.67)",2021-10-31T06:01:16.965Z,163566007696501
"-- starting hand #200  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ 3URETjsK60"") --",2021-10-31T06:01:16.965Z,163566007696500
"""Deckhole @ 3URETjsK60"" shows a 2♦, 9♣, 3♥, 2♥.",2021-10-31T06:01:14.347Z,163566007434700
"""K Godel @ Di5cxDUTF9"" shows a Q♦, 7♣, 2♣, 10♦.",2021-10-31T06:01:13.745Z,163566007374500
"-- ending hand #199 --",2021-10-31T06:01:12.642Z,163566007264202
"""Deckhole @ 3URETjsK60"" collected 4.50 from pot",2021-10-31T06:01:12.642Z,163566007264201
"Uncalled bet of 4.50 returned to ""Deckhole @ 3URETjsK60""",2021-10-31T06:01:12.642Z,163566007264200
"""K Godel @ Di5cxDUTF9"" folds",2021-10-31T06:01:11.829Z,163566007182900
"""Deckhole @ 3URETjsK60"" bets 4.50",2021-10-31T06:01:05.320Z,163566006532000
"River: 3♠, 3♦, Q♣, Q♠ [9♠]",2021-10-31T06:00:52.940Z,163566005294000
"""K Godel @ Di5cxDUTF9"" calls 1.50",2021-10-31T06:00:52.124Z,163566005212400
"""Deckhole @ 3URETjsK60"" bets 1.50",2021-10-31T06:00:50.102Z,163566005010200
"Turn: 3♠, 3♦, Q♣ [Q♠]",2021-10-31T06:00:45.184Z,163566004518400
"""K Godel @ Di5cxDUTF9"" checks",2021-10-31T06:00:44.377Z,163566004437700
"""Deckhole @ 3URETjsK60"" checks",2021-10-31T06:00:33.377Z,163566003337700
"Flop:  [3♠, 3♦, Q♣]",2021-10-31T06:00:29.248Z,163566002924800
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-10-31T06:00:28.429Z,163566002842900
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2021-10-31T06:00:25.325Z,163566002532500
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-10-31T06:00:18.047Z,163566001804705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-10-31T06:00:18.047Z,163566001804704
"Your hand is Q♦, 7♣, 2♣, 10♦",2021-10-31T06:00:18.047Z,163566001804702
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (50.77) | #7 ""Deckhole @ 3URETjsK60"" (170.42)",2021-10-31T06:00:18.047Z,163566001804701
"-- starting hand #199  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-31T06:00:18.047Z,163566001804700
"""Deckhole @ 3URETjsK60"" shows a 8♦, 8♥, 9♦, 10♣.",2021-10-31T06:00:16.436Z,163566001643600
"""K Godel @ Di5cxDUTF9"" shows a 10♦, 3♦, A♣, 4♦.",2021-10-31T06:00:14.669Z,163566001466900
"-- ending hand #198 --",2021-10-31T06:00:13.733Z,163566001373302
"""Deckhole @ 3URETjsK60"" collected 1.50 from pot",2021-10-31T06:00:13.733Z,163566001373301
