entry,at,order
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 0.00.",2021-05-09T03:27:31.367Z,162053085137400
"-- ending hand #190 --",2021-05-09T03:27:25.347Z,162053084535103
"""K. Godel @ TN11URmFSv"" shows a 3♥, K♥, A♥, J♦.",2021-05-09T03:27:25.347Z,162053084535102
"""Deckhole @ hqlKQ6Qj8d"" collected 33.94 from pot with Straight Flush (combination: Q♥, J♥, 10♥, 9♥, 8♥)",2021-05-09T03:27:25.347Z,162053084535101
"""Deckhole @ hqlKQ6Qj8d"" shows a Q♥, 3♣, 7♣, J♥.",2021-05-09T03:27:25.347Z,162053084535100
"""Deckhole @ hqlKQ6Qj8d"" raises to 12.60",2021-05-09T03:27:24.542Z,162053084454300
"""K. Godel @ TN11URmFSv"" raises to 12.60 and go all in",2021-05-09T03:27:21.278Z,162053084127900
"""Deckhole @ hqlKQ6Qj8d"" bets 5.12",2021-05-09T03:27:14.071Z,162053083407200
"River: 3♦, 8♥, 9♥, J♠ [10♥]",2021-05-09T03:27:01.557Z,162053082156200
"""Deckhole @ hqlKQ6Qj8d"" calls 2.62",2021-05-09T03:27:00.751Z,162053082075200
"""K. Godel @ TN11URmFSv"" bets 2.62",2021-05-09T03:26:59.218Z,162053081921900
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:26:54.999Z,162053081500000
"Turn: 3♦, 8♥, 9♥ [J♠]",2021-05-09T03:26:51.679Z,162053081168100
"""K. Godel @ TN11URmFSv"" calls 1.00",2021-05-09T03:26:50.871Z,162053081087200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.00",2021-05-09T03:26:48.879Z,162053080888000
"Flop:  [3♦, 8♥, 9♥]",2021-05-09T03:26:43.749Z,162053080375000
"""Deckhole @ hqlKQ6Qj8d"" calls 0.75",2021-05-09T03:26:42.944Z,162053080294400
"""K. Godel @ TN11URmFSv"" raises to 0.75",2021-05-09T03:26:41.002Z,162053080100300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-05-09T03:26:27.839Z,162053078784005
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-05-09T03:26:27.839Z,162053078784004
"Your hand is 3♥, K♥, A♥, J♦",2021-05-09T03:26:27.839Z,162053078784003
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (187.70) | #8 ""K. Godel @ TN11URmFSv"" (16.97)",2021-05-09T03:26:27.839Z,162053078784001
"-- starting hand #190  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-09T03:26:27.839Z,162053078784000
"-- ending hand #189 --",2021-05-09T03:26:24.931Z,162053078493202
"""Deckhole @ hqlKQ6Qj8d"" collected 1.50 from pot",2021-05-09T03:26:24.931Z,162053078493201
"Uncalled bet of 1.00 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-09T03:26:24.931Z,162053078493200
"""K. Godel @ TN11URmFSv"" folds",2021-05-09T03:26:24.122Z,162053078412300
"""Deckhole @ hqlKQ6Qj8d"" bets 1.00",2021-05-09T03:26:18.391Z,162053077839200
"""K. Godel @ TN11URmFSv"" checks",2021-05-09T03:26:13.668Z,162053077366800
"Turn: K♠, 9♣, 3♥ [6♣]",2021-05-09T03:26:09.012Z,162053076901400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:26:08.199Z,162053076819900
"""K. Godel @ TN11URmFSv"" checks",2021-05-09T03:26:03.435Z,162053076343600
"Flop:  [K♠, 9♣, 3♥]",2021-05-09T03:25:47.458Z,162053074746400
"""K. Godel @ TN11URmFSv"" calls 0.75",2021-05-09T03:25:46.630Z,162053074663100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-05-09T03:25:37.208Z,162053073720900
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-05-09T03:25:33.921Z,162053073392205
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-05-09T03:25:33.921Z,162053073392204
"Your hand is 6♦, 5♠, Q♦, Q♥",2021-05-09T03:25:33.921Z,162053073392203
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (186.95) | #8 ""K. Godel @ TN11URmFSv"" (17.72)",2021-05-09T03:25:33.921Z,162053073392201
"-- starting hand #189  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-09T03:25:33.921Z,162053073392200
"-- ending hand #188 --",2021-05-09T03:25:31.004Z,162053073100502
"""K. Godel @ TN11URmFSv"" collected 3.72 from pot",2021-05-09T03:25:31.004Z,162053073100501
"Uncalled bet of 2.79 returned to ""K. Godel @ TN11URmFSv""",2021-05-09T03:25:31.004Z,162053073100500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-09T03:25:30.200Z,162053073020000
"""K. Godel @ TN11URmFSv"" bets 2.79",2021-05-09T03:25:26.048Z,162053072604800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:25:16.169Z,162053071617000
"Turn: 7♥, 4♦, 8♦ [2♦]",2021-05-09T03:25:09.111Z,162053070911300
"""Deckhole @ hqlKQ6Qj8d"" calls 1.24",2021-05-09T03:25:08.281Z,162053070828200
"""K. Godel @ TN11URmFSv"" bets 1.24",2021-05-09T03:25:06.635Z,162053070663600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:25:01.489Z,162053070149000
"Flop:  [7♥, 4♦, 8♦]",2021-05-09T03:24:57.845Z,162053069784600
"""Deckhole @ hqlKQ6Qj8d"" calls 0.62",2021-05-09T03:24:57.041Z,162053069704200
"""K. Godel @ TN11URmFSv"" raises to 0.62",2021-05-09T03:24:55.231Z,162053069523200
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-05-09T03:24:47.814Z,162053068781505
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-05-09T03:24:47.814Z,162053068781504
"Your hand is A♦, K♥, 6♣, J♦",2021-05-09T03:24:47.814Z,162053068781503
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (188.81) | #8 ""K. Godel @ TN11URmFSv"" (15.86)",2021-05-09T03:24:47.814Z,162053068781501
"-- starting hand #188  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-09T03:24:47.814Z,162053068781500
"-- ending hand #187 --",2021-05-09T03:24:44.904Z,162053068490402
"""K. Godel @ TN11URmFSv"" collected 4.50 from pot",2021-05-09T03:24:44.904Z,162053068490401
"Uncalled bet of 4.50 returned to ""K. Godel @ TN11URmFSv""",2021-05-09T03:24:44.904Z,162053068490400
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-09T03:24:44.097Z,162053068409700
"""K. Godel @ TN11URmFSv"" bets 4.50",2021-05-09T03:24:42.472Z,162053068247300
"Flop:  [4♦, 9♣, 8♥]",2021-05-09T03:24:34.371Z,162053067437200
"""Deckhole @ hqlKQ6Qj8d"" calls 2.25",2021-05-09T03:24:33.561Z,162053067356200
"""K. Godel @ TN11URmFSv"" raises to 2.25",2021-05-09T03:24:29.288Z,162053066928900
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-05-09T03:24:25.153Z,162053066515400
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-05-09T03:24:22.581Z,162053066258205
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-05-09T03:24:22.581Z,162053066258204
"Your hand is K♥, 6♣, 6♥, K♠",2021-05-09T03:24:22.581Z,162053066258203
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (191.06) | #8 ""K. Godel @ TN11URmFSv"" (13.61)",2021-05-09T03:24:22.581Z,162053066258201
"-- starting hand #187  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-09T03:24:22.581Z,162053066258200
"""Deckhole @ hqlKQ6Qj8d"" shows a 3♣, 6♥, 2♣, K♦.",2021-05-09T03:24:20.296Z,162053066029700
"-- ending hand #186 --",2021-05-09T03:24:18.932Z,162053065893302
"""Deckhole @ hqlKQ6Qj8d"" collected 1.50 from pot",2021-05-09T03:24:18.932Z,162053065893301
"Uncalled bet of 1.00 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-09T03:24:18.932Z,162053065893300
"""K. Godel @ TN11URmFSv"" folds",2021-05-09T03:24:18.125Z,162053065812500
"""Deckhole @ hqlKQ6Qj8d"" bets 1.00",2021-05-09T03:24:15.352Z,162053065535300
"Flop:  [5♥, 4♦, 9♠]",2021-05-09T03:24:03.183Z,162053064318400
"""Deckhole @ hqlKQ6Qj8d"" calls 0.75",2021-05-09T03:24:02.376Z,162053064237700
"""K. Godel @ TN11URmFSv"" raises to 0.75",2021-05-09T03:24:00.020Z,162053064002100
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-05-09T03:23:52.002Z,162053063200305
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-05-09T03:23:52.002Z,162053063200304
"Your hand is 8♠, 4♣, J♠, 2♠",2021-05-09T03:23:52.002Z,162053063200303
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (190.31) | #8 ""K. Godel @ TN11URmFSv"" (14.36)",2021-05-09T03:23:52.002Z,162053063200301
"-- starting hand #186  (Pot Limit Omaha Hi) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-09T03:23:52.002Z,162053063200300
"-- ending hand #185 --",2021-05-09T03:23:45.952Z,162053062595503
"""K. Godel @ TN11URmFSv"" shows a Q♦, 10♠, 5♥, 4♠.",2021-05-09T03:23:45.952Z,162053062595502
"""Deckhole @ hqlKQ6Qj8d"" collected 1.50 from pot with Three of a Kind (combination: A♠, A♦, A♣, Q♣, J♥)",2021-05-09T03:23:45.952Z,162053062595501
"""Deckhole @ hqlKQ6Qj8d"" shows a J♥, 7♦, 6♥, Q♣.",2021-05-09T03:23:45.952Z,162053062595500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:23:45.145Z,162053062514500
"""K. Godel @ TN11URmFSv"" checks",2021-05-09T03:23:43.538Z,162053062353900
"River: 3♠, 9♦, A♠, A♦ [A♣]",2021-05-09T03:23:40.338Z,162053062034500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:23:39.529Z,162053061952900
"""K. Godel @ TN11URmFSv"" checks",2021-05-09T03:23:36.814Z,162053061681400
"Turn: 3♠, 9♦, A♠ [A♦]",2021-05-09T03:23:33.238Z,162053061324000
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-09T03:23:32.434Z,162053061243500
"""K. Godel @ TN11URmFSv"" checks",2021-05-09T03:23:29.954Z,162053060995500
"Flop:  [3♠, 9♦, A♠]",2021-05-09T03:23:17.745Z,162053059774600
"""K. Godel @ TN11URmFSv"" calls 0.75",2021-05-09T03:23:16.934Z,162053059693600
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-05-09T03:23:05.545Z,162053058554600
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-05-09T03:22:57.832Z,162053057783405
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-05-09T03:22:57.832Z,162053057783404
"Your hand is Q♦, 10♠, 5♥, 4♠",2021-05-09T03:22:57.832Z,162053057783403
"Player stacks: #6 ""Deckhole @ hqlKQ6Qj8d"" (189.56) | #8 ""K. Godel @ TN11URmFSv"" (15.11)",2021-05-09T03:22:57.832Z,162053057783401
"-- starting hand #185  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-09T03:22:57.832Z,162053057783400
"""K. Godel @ TN11URmFSv"" shows a J♠, Q♠, 10♦, Q♥.",2021-05-09T03:22:53.775Z,162053057377500
"-- ending hand #184 --",2021-05-09T03:22:51.320Z,162053057132402
"""Deckhole @ hqlKQ6Qj8d"" collected 81.00 from pot with Straight (combination: A♣, K♦, Q♦, J♣, 10♥)",2021-05-09T03:22:51.320Z,162053057132401
"""Deckhole @ hqlKQ6Qj8d"" shows a K♦, 8♦, A♣, Q♣.",2021-05-09T03:22:51.320Z,162053057132400
"""K. Godel @ TN11URmFSv"" calls 27.00",2021-05-09T03:22:50.508Z,162053057050900
"""Deckhole @ hqlKQ6Qj8d"" bets 27.00",2021-05-09T03:22:48.657Z,162053056865800
