entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 3.05.",2022-02-11T07:10:24.621Z,164456342462102
"The player ""Jean @ CVNFS9UnPY"" quits the game with a stack of 5.72.",2022-02-11T07:10:24.621Z,164456342462101
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 10.79.",2022-02-11T07:10:24.621Z,164456342462100
"""Poindexter @ _yf6aQFJyI"" shows a A♠, 4♥.",2022-02-11T07:10:03.494Z,164456340349400
"""Jean @ CVNFS9UnPY"" shows a 3♠, 9♥.",2022-02-11T07:10:01.827Z,164456340182700
"-- ending hand #197 --",2022-02-11T07:10:00.163Z,164456340016302
"""Poindexter @ _yf6aQFJyI"" collected 0.15 from pot",2022-02-11T07:10:00.163Z,164456340016301
"Uncalled bet of 0.07 returned to ""Poindexter @ _yf6aQFJyI""",2022-02-11T07:10:00.163Z,164456340016300
"""Jean @ CVNFS9UnPY"" folds",2022-02-11T07:09:59.348Z,164456339934800
"""Poindexter @ _yf6aQFJyI"" bets 0.07",2022-02-11T07:09:56.841Z,164456339684100
"""Jean @ CVNFS9UnPY"" checks",2022-02-11T07:09:51.315Z,164456339131500
"Flop:  [A♦, 2♦, Q♦]",2022-02-11T07:09:47.648Z,164456338764800
"""Jean @ CVNFS9UnPY"" calls 0.07",2022-02-11T07:09:46.841Z,164456338684100
"""Malarkey @ Ia-cNlUwV8"" folds",2022-02-11T07:09:45.859Z,164456338585900
"""Poindexter @ _yf6aQFJyI"" raises to 0.07",2022-02-11T07:09:38.603Z,164456337860300
"""Jean @ CVNFS9UnPY"" posts a big blind of 0.02",2022-02-11T07:09:20.540Z,164456336054007
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-02-11T07:09:20.540Z,164456336054006
