entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 16.78.",2021-06-14T05:38:19.734Z,162364909974002
"The player ""K. Godel @ TN11URmFSv"" stand up with the stack of 22.38.",2021-06-14T05:38:19.734Z,162364909974001
"The player ""Deckhole @ hqlKQ6Qj8d"" stand up with the stack of 50.84.",2021-06-14T05:38:19.734Z,162364909974000
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-06-14T05:37:25.642Z,162364904564200
"""Deckhole @ hqlKQ6Qj8d"" shows a 8♠, 7♠.",2021-06-14T05:37:05.612Z,162364902561300
"-- ending hand #164 --",2021-06-14T05:37:04.871Z,162364902487102
"""Deckhole @ hqlKQ6Qj8d"" collected 1.80 from pot",2021-06-14T05:37:04.871Z,162364902487101
"Uncalled bet of 0.90 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-06-14T05:37:04.871Z,162364902487100
"""Malarkey @ Ia-cNlUwV8"" folds",2021-06-14T05:37:04.067Z,162364902406800
"""Deckhole @ hqlKQ6Qj8d"" bets 0.90",2021-06-14T05:37:01.430Z,162364902143100
"""Malarkey @ Ia-cNlUwV8"" checks",2021-06-14T05:36:55.652Z,162364901565300
"Flop:  [7♦, 9♦, 7♣]",2021-06-14T05:36:52.612Z,162364901261300
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2021-06-14T05:36:51.807Z,162364901180800
"""K. Godel @ TN11URmFSv"" folds",2021-06-14T05:36:49.946Z,162364900994700
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-06-14T05:36:45.858Z,162364900585800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2021-06-14T05:36:24.638Z,162364898463906
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-06-14T05:36:24.638Z,162364898463905
"Your hand is J♦, 5♥",2021-06-14T05:36:24.638Z,162364898463903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (49.89) | #2 ""K. Godel @ TN11URmFSv"" (22.48) | #6 ""Malarkey @ Ia-cNlUwV8"" (17.63)",2021-06-14T05:36:24.638Z,162364898463901
"-- starting hand #164  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-06-14T05:36:24.638Z,162364898463900
"""Malarkey @ Ia-cNlUwV8"" shows a 6♠, 8♦.",2021-06-14T05:36:20.364Z,162364898036500
"-- ending hand #163 --",2021-06-14T05:36:18.092Z,162364897809302
"""Deckhole @ hqlKQ6Qj8d"" collected 8.77 from pot with Two Pair, K's & 7's (combination: K♣, K♠, 7♠, 7♦, Q♥)",2021-06-14T05:36:18.092Z,162364897809301
"""Deckhole @ hqlKQ6Qj8d"" shows a 7♠, 7♦.",2021-06-14T05:36:18.092Z,162364897809300
