entry,at,order
"-- ending hand #291 --",2021-06-06T06:24:28.561Z,162296066856202
"""Baxter @ pUWVTl3lN1"" collected 1.00 from pot",2021-06-06T06:24:28.561Z,162296066856201
"Uncalled bet of 0.25 returned to ""Baxter @ pUWVTl3lN1""",2021-06-06T06:24:28.561Z,162296066856200
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-06-06T06:24:27.757Z,162296066775800
"""Baxter @ pUWVTl3lN1"" bets 0.25",2021-06-06T06:24:25.455Z,162296066545500
"Turn: 5♥, 5♦, 7♣ [6♥]",2021-06-06T06:24:20.748Z,162296066075000
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-06-06T06:24:19.944Z,162296065994500
"""Baxter @ pUWVTl3lN1"" checks",2021-06-06T06:24:17.124Z,162296065712400
"Flop:  [5♥, 5♦, 7♣]",2021-06-06T06:24:12.831Z,162296065283200
"""Baxter @ pUWVTl3lN1"" calls 0.50",2021-06-06T06:24:12.010Z,162296065201000
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.50",2021-06-06T06:24:09.282Z,162296064928300
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-06-06T06:24:06.100Z,162296064610100
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.25",2021-06-06T06:23:58.236Z,162296063823705
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-06-06T06:23:58.236Z,162296063823704
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (487.57) | #6 ""Baxter @ pUWVTl3lN1"" (35.36)",2021-06-06T06:23:58.236Z,162296063823701
"-- starting hand #291  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-06-06T06:23:58.236Z,162296063823700
"-- ending hand #290 --",2021-06-06T06:23:52.194Z,162296063219702
"""Baxter @ pUWVTl3lN1"" collected 3.00 from pot with Three of a Kind (combination: 6♦, 6♣, 6♥, Q♦, J♠)",2021-06-06T06:23:52.194Z,162296063219701
"""Baxter @ pUWVTl3lN1"" shows a 6♦, 6♣, A♠, J♦.",2021-06-06T06:23:52.194Z,162296063219700
"""Baxter @ pUWVTl3lN1"" checks",2021-06-06T06:23:51.388Z,162296063138900
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-06-06T06:23:47.426Z,162296062742600
"River: 10♦, 6♥, J♠, Q♦ [5♠]",2021-06-06T06:23:41.980Z,162296062198200
"""Baxter @ pUWVTl3lN1"" checks",2021-06-06T06:23:41.169Z,162296062117000
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-06-06T06:23:38.519Z,162296061852000
"Turn: 10♦, 6♥, J♠ [Q♦]",2021-06-06T06:23:30.185Z,162296061018700
"""Baxter @ pUWVTl3lN1"" calls 0.75",2021-06-06T06:23:29.381Z,162296060938200
"""Deckhole @ hqlKQ6Qj8d"" bets 0.75",2021-06-06T06:23:26.427Z,162296060642700
"Flop:  [10♦, 6♥, J♠]",2021-06-06T06:23:17.811Z,162296059781200
"""Baxter @ pUWVTl3lN1"" calls 0.75",2021-06-06T06:23:17.003Z,162296059700400
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-06-06T06:23:13.634Z,162296059363400
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-06-06T06:23:05.219Z,162296058521900
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-06-06T06:22:59.140Z,162296057914105
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-06-06T06:22:59.140Z,162296057914104
