entry,at,order
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 141.05.",2021-10-30T06:07:36.105Z,163557405610500
"-- ending hand #278 --",2021-10-30T06:07:30.093Z,163557405009302
"""Malarkey @ yzkS3efRJS"" collected 27.00 from pot with Two Pair (combination: A♦, A♣, 7♦, 7♥, Q♣)",2021-10-30T06:07:30.093Z,163557405009301
"""Malarkey @ yzkS3efRJS"" shows a A♦, 3♦, 7♦, 9♦.",2021-10-30T06:07:30.093Z,163557405009300
"""Malarkey @ yzkS3efRJS"" checks",2021-10-30T06:07:29.287Z,163557404928700
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:07:27.658Z,163557404765800
"River: 7♥, A♣, 8♥, 6♦ [Q♣]",2021-10-30T06:07:23.127Z,163557404312700
"""Deckhole @ 3URETjsK60"" calls 9.00",2021-10-30T06:07:22.314Z,163557404231400
"""Malarkey @ yzkS3efRJS"" bets 9.00",2021-10-30T06:07:20.683Z,163557404068300
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:07:14.394Z,163557403439400
"Turn: 7♥, A♣, 8♥ [6♦]",2021-10-30T06:07:10.220Z,163557403022000
"""Deckhole @ 3URETjsK60"" calls 3.75",2021-10-30T06:07:09.414Z,163557402941400
"""Malarkey @ yzkS3efRJS"" raises to 3.75",2021-10-30T06:07:07.829Z,163557402782900
"""Deckhole @ 3URETjsK60"" bets 0.75",2021-10-30T06:07:04.866Z,163557402486600
"Flop:  [7♥, A♣, 8♥]",2021-10-30T06:06:58.378Z,163557401837800
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-10-30T06:06:57.570Z,163557401757000
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-10-30T06:06:54.114Z,163557401411400
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-10-30T06:06:51.055Z,163557401105505
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-10-30T06:06:51.055Z,163557401105504
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (154.55) | #3 ""Malarkey @ yzkS3efRJS"" (22.71)",2021-10-30T06:06:51.055Z,163557401105501
"-- starting hand #278  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-10-30T06:06:51.055Z,163557401105500
"-- ending hand #277 --",2021-10-30T06:06:45.015Z,163557400501502
"""Deckhole @ 3URETjsK60"" collected 27.00 from pot with Two Pair (combination: A♦, A♣, K♣, K♥, J♥)",2021-10-30T06:06:45.015Z,163557400501501
"""Deckhole @ 3URETjsK60"" shows a 2♠, 9♠, K♣, K♥.",2021-10-30T06:06:45.015Z,163557400501500
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:06:44.207Z,163557400420700
"""Malarkey @ yzkS3efRJS"" checks",2021-10-30T06:06:42.502Z,163557400250200
"River: A♦, 6♥, A♣, J♥ [4♦]",2021-10-30T06:06:39.474Z,163557399947400
"""Deckhole @ 3URETjsK60"" calls 6.75",2021-10-30T06:06:38.662Z,163557399866200
"""Malarkey @ yzkS3efRJS"" bets 6.75",2021-10-30T06:06:37.114Z,163557399711400
"Turn: A♦, 6♥, A♣ [J♥]",2021-10-30T06:06:27.653Z,163557398765300
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:06:26.846Z,163557398684600
"""Malarkey @ yzkS3efRJS"" checks",2021-10-30T06:06:21.544Z,163557398154400
"Flop:  [A♦, 6♥, A♣]",2021-10-30T06:06:14.330Z,163557397433000
"""Malarkey @ yzkS3efRJS"" calls 6.75",2021-10-30T06:06:13.523Z,163557397352300
"""Deckhole @ 3URETjsK60"" raises to 6.75",2021-10-30T06:06:08.820Z,163557396882000
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-10-30T06:06:05.823Z,163557396582300
"""Deckhole @ 3URETjsK60"" raises to 0.75",2021-10-30T06:06:02.295Z,163557396229500
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-10-30T06:05:59.617Z,163557395961705
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2021-10-30T06:05:59.617Z,163557395961704
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (141.05) | #3 ""Malarkey @ yzkS3efRJS"" (36.21)",2021-10-30T06:05:59.617Z,163557395961701
"-- starting hand #277  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2021-10-30T06:05:59.617Z,163557395961700
"-- ending hand #276 --",2021-10-30T06:05:53.681Z,163557395368102
"""Malarkey @ yzkS3efRJS"" collected 4.50 from pot",2021-10-30T06:05:53.681Z,163557395368101
"Uncalled bet of 2.25 returned to ""Malarkey @ yzkS3efRJS""",2021-10-30T06:05:53.681Z,163557395368100
"""Deckhole @ 3URETjsK60"" folds",2021-10-30T06:05:52.872Z,163557395287200
"""Malarkey @ yzkS3efRJS"" bets 2.25",2021-10-30T06:05:46.460Z,163557394646000
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:05:42.966Z,163557394296600
"Turn: J♥, 3♥, 9♥ [5♦]",2021-10-30T06:05:39.949Z,163557393994900
"""Deckhole @ 3URETjsK60"" calls 1.50",2021-10-30T06:05:39.125Z,163557393912500
"""Malarkey @ yzkS3efRJS"" bets 1.50",2021-10-30T06:05:34.228Z,163557393422800
"""Deckhole @ 3URETjsK60"" checks",2021-10-30T06:05:27.104Z,163557392710400
"Flop:  [J♥, 3♥, 9♥]",2021-10-30T06:05:23.371Z,163557392337100
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-10-30T06:05:22.561Z,163557392256100
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-10-30T06:05:20.249Z,163557392024900
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-10-30T06:05:16.145Z,163557391614505
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-10-30T06:05:16.145Z,163557391614504
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (143.30) | #3 ""Malarkey @ yzkS3efRJS"" (33.96)",2021-10-30T06:05:16.145Z,163557391614501
"-- starting hand #276  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-10-30T06:05:16.145Z,163557391614500
"-- ending hand #275 --",2021-10-30T06:05:10.211Z,163557391021102
"""Deckhole @ 3URETjsK60"" collected 11.24 from pot",2021-10-30T06:05:10.211Z,163557391021101
"Uncalled bet of 6.12 returned to ""Deckhole @ 3URETjsK60""",2021-10-30T06:05:10.211Z,163557391021100
"""Malarkey @ yzkS3efRJS"" folds",2021-10-30T06:05:09.404Z,163557390940400
"""Deckhole @ 3URETjsK60"" bets 6.12",2021-10-30T06:05:07.051Z,163557390705100
"""Malarkey @ yzkS3efRJS"" checks",2021-10-30T06:04:55.116Z,163557389511600
"Turn: 9♣, 3♦, K♦ [2♠]",2021-10-30T06:04:52.298Z,163557389229800
"""Deckhole @ 3URETjsK60"" calls 3.37",2021-10-30T06:04:51.484Z,163557389148400
"""Malarkey @ yzkS3efRJS"" bets 3.37",2021-10-30T06:04:48.098Z,163557388809800
"Flop:  [9♣, 3♦, K♦]",2021-10-30T06:04:33.341Z,163557387334100
"""Deckhole @ 3URETjsK60"" calls 2.25",2021-10-30T06:04:32.512Z,163557387251200
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-10-30T06:04:26.585Z,163557386658500
"""Deckhole @ 3URETjsK60"" raises to 0.75",2021-10-30T06:04:22.842Z,163557386284200
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-10-30T06:04:18.399Z,163557385839905
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2021-10-30T06:04:18.399Z,163557385839904
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (137.68) | #3 ""Malarkey @ yzkS3efRJS"" (39.58)",2021-10-30T06:04:18.399Z,163557385839901
"-- starting hand #275  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2021-10-30T06:04:18.399Z,163557385839900
"-- ending hand #274 --",2021-10-30T06:04:15.481Z,163557385548102
"""Malarkey @ yzkS3efRJS"" collected 3.00 from pot",2021-10-30T06:04:15.481Z,163557385548101
"Uncalled bet of 3.00 returned to ""Malarkey @ yzkS3efRJS""",2021-10-30T06:04:15.481Z,163557385548100
"""Deckhole @ 3URETjsK60"" folds",2021-10-30T06:04:14.672Z,163557385467200
"""Malarkey @ yzkS3efRJS"" raises to 3.75",2021-10-30T06:03:34.311Z,163557381431100
"""Deckhole @ 3URETjsK60"" bets 0.75",2021-10-30T06:03:29.186Z,163557380918600
"Flop:  [J♥, 6♥, 8♣]",2021-10-30T06:03:14.837Z,163557379483700
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-10-30T06:03:14.030Z,163557379403000
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-10-30T06:03:10.568Z,163557379056800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-10-30T06:03:07.127Z,163557378712705
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-10-30T06:03:07.127Z,163557378712704
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (139.18) | #3 ""Malarkey @ yzkS3efRJS"" (38.08)",2021-10-30T06:03:07.127Z,163557378712701
