entry,at,order
"The player ""Deckhole @ 5Wa3y-CeG8"" quits the game with a stack of 0.00.",2021-09-26T04:57:56.916Z,163263227691600
"-- ending hand #299 --",2021-09-26T04:57:50.892Z,163263227089201
"""Malarkey @ yzkS3efRJS"" collected 150.90 from pot with Full House (combination: 3♣, 3♦, 3♥, 2♥, 2♦)",2021-09-26T04:57:50.892Z,163263227089200
"River: 2♦, 3♦, 3♥, 10♠ [10♥]",2021-09-26T04:57:46.857Z,163263226685700
"""Malarkey @ yzkS3efRJS"" shows a 2♥, 3♣, A♥, 2♣.",2021-09-26T04:57:42.833Z,163263226283301
"""Deckhole @ 5Wa3y-CeG8"" shows a 7♠, 9♥, A♠, A♣.",2021-09-26T04:57:42.833Z,163263226283300
"Some players choose to not run it twice.",2021-09-26T04:57:42.026Z,163263226202601
"""Malarkey @ yzkS3efRJS"" chooses to not run it twice.",2021-09-26T04:57:42.026Z,163263226202600
"Remaining players decide whether to run it twice.",2021-09-26T04:57:41.956Z,163263226195601
"""Deckhole @ 5Wa3y-CeG8"" calls 61.95 and go all in",2021-09-26T04:57:41.956Z,163263226195600
"""Malarkey @ yzkS3efRJS"" raises to 61.95 and go all in",2021-09-26T04:57:40.102Z,163263226010200
"""Deckhole @ 5Wa3y-CeG8"" bets 27.00",2021-09-26T04:57:36.554Z,163263225655400
"""Malarkey @ yzkS3efRJS"" checks",2021-09-26T04:57:32.366Z,163263225236600
"Turn: 2♦, 3♦, 3♥ [10♠]",2021-09-26T04:57:29.396Z,163263224939600
"""Malarkey @ yzkS3efRJS"" calls 6.75",2021-09-26T04:57:28.587Z,163263224858700
"""Deckhole @ 5Wa3y-CeG8"" bets 6.75",2021-09-26T04:57:22.647Z,163263224264700
"""Malarkey @ yzkS3efRJS"" checks",2021-09-26T04:57:18.262Z,163263223826200
"Flop:  [2♦, 3♦, 3♥]",2021-09-26T04:57:12.019Z,163263223201900
