entry,at,order
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""Baxter @ pUWVTl3lN1"".",2021-05-29T08:23:03.855Z,162227658385800
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""Malarkey @ Ia-cNlUwV8"".",2021-05-29T08:22:59.926Z,162227657992600
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""K. Godel @ TN11URmFSv"".",2021-05-29T08:22:54.193Z,162227657419400
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:20:39.966Z,162227643996700
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.50",2021-05-29T08:20:38.728Z,162227643872907
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.25",2021-05-29T08:20:38.728Z,162227643872906
"Your hand is 3♥, 6♠",2021-05-29T08:20:38.728Z,162227643872903
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (202.32) | #2 ""K. Godel @ TN11URmFSv"" (61.05) | #3 ""Baxter @ pUWVTl3lN1"" (216.57) | #9 ""Deckhole @ hqlKQ6Qj8d"" (477.45)",2021-05-29T08:20:38.728Z,162227643872901
"-- starting hand #305  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-05-29T08:20:38.728Z,162227643872900
"""K. Godel @ TN11URmFSv"" shows a 4♦, 3♥.",2021-05-29T08:19:42.624Z,162227638262400
"""Deckhole @ hqlKQ6Qj8d"" shows a A♣, A♥.",2021-05-29T08:19:42.136Z,162227638213700
"-- ending hand #304 --",2021-05-29T08:19:41.157Z,162227638115802
"""K. Godel @ TN11URmFSv"" collected 0.50 from pot",2021-05-29T08:19:41.157Z,162227638115801
"Uncalled bet of 0.25 returned to ""K. Godel @ TN11URmFSv""",2021-05-29T08:19:41.157Z,162227638115800
"""Malarkey @ Ia-cNlUwV8"" folds",2021-05-29T08:19:40.344Z,162227638034500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:19:34.359Z,162227637436000
"""Baxter @ pUWVTl3lN1"" folds",2021-05-29T08:19:32.237Z,162227637223800
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.50",2021-05-29T08:18:09.788Z,162227628978907
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.25",2021-05-29T08:18:09.788Z,162227628978906
"Your hand is 4♦, 3♥",2021-05-29T08:18:09.788Z,162227628978903
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (202.57) | #2 ""K. Godel @ TN11URmFSv"" (60.80) | #3 ""Baxter @ pUWVTl3lN1"" (216.57) | #9 ""Deckhole @ hqlKQ6Qj8d"" (477.45)",2021-05-29T08:18:09.788Z,162227628978901
"-- starting hand #304  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-29T08:18:09.788Z,162227628978900
"""Deckhole @ hqlKQ6Qj8d"" shows a 8♠, 9♠.",2021-05-29T08:18:07.076Z,162227628707700
"-- ending hand #303 --",2021-05-29T08:18:06.164Z,162227628616502
"""Deckhole @ hqlKQ6Qj8d"" collected 59.37 from pot",2021-05-29T08:18:06.164Z,162227628616501
"Uncalled bet of 75.00 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-29T08:18:06.164Z,162227628616500
"""Malarkey @ Ia-cNlUwV8"" folds",2021-05-29T08:18:05.354Z,162227628535500
"""Deckhole @ hqlKQ6Qj8d"" bets 75.00",2021-05-29T08:18:01.747Z,162227628174700
"River: 10♥, 7♠, Q♣, 6♣ [5♠]",2021-05-29T08:17:50.641Z,162227627064400
"""Baxter @ pUWVTl3lN1"" folds",2021-05-29T08:17:49.833Z,162227626983400
"""Malarkey @ Ia-cNlUwV8"" calls 17.81",2021-05-29T08:17:48.168Z,162227626816900
"""Deckhole @ hqlKQ6Qj8d"" bets 17.81",2021-05-29T08:17:40.925Z,162227626092500
"Turn: 10♥, 7♠, Q♣ [6♣]",2021-05-29T08:17:37.356Z,162227625735800
"""Baxter @ pUWVTl3lN1"" calls 4.75",2021-05-29T08:17:36.550Z,162227625655000
"""Malarkey @ Ia-cNlUwV8"" calls 4.75",2021-05-29T08:17:33.555Z,162227625355600
"""Deckhole @ hqlKQ6Qj8d"" bets 4.75",2021-05-29T08:17:31.572Z,162227625157300
"Flop:  [10♥, 7♠, Q♣]",2021-05-29T08:17:27.105Z,162227624710600
"""Baxter @ pUWVTl3lN1"" calls 3.00",2021-05-29T08:17:26.300Z,162227624630100
"""K. Godel @ TN11URmFSv"" folds",2021-05-29T08:17:24.241Z,162227624424200
"""Malarkey @ Ia-cNlUwV8"" calls 3.00",2021-05-29T08:17:21.695Z,162227624169600
"""Deckhole @ hqlKQ6Qj8d"" raises to 3.00",2021-05-29T08:17:18.940Z,162227623894100
"""Baxter @ pUWVTl3lN1"" calls 0.50",2021-05-29T08:17:11.436Z,162227623143700
"""K. Godel @ TN11URmFSv"" calls 0.50",2021-05-29T08:17:08.669Z,162227622867000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.50",2021-05-29T08:17:04.105Z,162227622410607
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.25",2021-05-29T08:17:04.105Z,162227622410606
"Your hand is K♠, 7♥",2021-05-29T08:17:04.105Z,162227622410603
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (228.13) | #2 ""K. Godel @ TN11URmFSv"" (61.30) | #3 ""Baxter @ pUWVTl3lN1"" (224.32) | #9 ""Deckhole @ hqlKQ6Qj8d"" (443.64)",2021-05-29T08:17:04.105Z,162227622410601
"-- starting hand #303  (No Limit Texas Hold'em) (dealer: ""Baxter @ pUWVTl3lN1"") --",2021-05-29T08:17:04.105Z,162227622410600
"-- ending hand #302 --",2021-05-29T08:17:01.196Z,162227622119702
"""Malarkey @ Ia-cNlUwV8"" collected 4.00 from pot",2021-05-29T08:17:01.196Z,162227622119701
"Uncalled bet of 2.00 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-29T08:17:01.196Z,162227622119700
"""Baxter @ pUWVTl3lN1"" folds",2021-05-29T08:17:00.391Z,162227622039100
"""Malarkey @ Ia-cNlUwV8"" bets 2.00",2021-05-29T08:16:49.484Z,162227620948500
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:16:44.852Z,162227620485300
"Flop:  [Q♠, 5♦, 6♥]",2021-05-29T08:16:40.108Z,162227620010900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:16:39.303Z,162227619930400
"""Baxter @ pUWVTl3lN1"" calls 1.75",2021-05-29T08:16:36.004Z,162227619600600
"""K. Godel @ TN11URmFSv"" folds",2021-05-29T08:16:32.959Z,162227619296000
"""Malarkey @ Ia-cNlUwV8"" raises to 1.75",2021-05-29T08:16:27.882Z,162227618788300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.50",2021-05-29T08:16:24.474Z,162227618447507
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.25",2021-05-29T08:16:24.474Z,162227618447506
"Your hand is 8♠, 5♥",2021-05-29T08:16:24.474Z,162227618447503
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (225.88) | #2 ""K. Godel @ TN11URmFSv"" (61.30) | #3 ""Baxter @ pUWVTl3lN1"" (226.07) | #9 ""Deckhole @ hqlKQ6Qj8d"" (444.14)",2021-05-29T08:16:24.474Z,162227618447501
"-- starting hand #302  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-29T08:16:24.474Z,162227618447500
"-- ending hand #301 --",2021-05-29T08:16:21.563Z,162227618156502
"""Malarkey @ Ia-cNlUwV8"" collected 1.25 from pot",2021-05-29T08:16:21.563Z,162227618156501
"Uncalled bet of 1.25 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-29T08:16:21.563Z,162227618156500
"""Baxter @ pUWVTl3lN1"" folds",2021-05-29T08:16:20.756Z,162227618075700
"""K. Godel @ TN11URmFSv"" folds",2021-05-29T08:16:18.319Z,162227617831900
"""Malarkey @ Ia-cNlUwV8"" raises to 1.75",2021-05-29T08:16:17.197Z,162227617719800
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:16:09.809Z,162227616981000
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.50",2021-05-29T08:16:07.742Z,162227616774307
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.25",2021-05-29T08:16:07.742Z,162227616774306
"Your hand is 6♥, 3♠",2021-05-29T08:16:07.742Z,162227616774303
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (225.13) | #2 ""K. Godel @ TN11URmFSv"" (61.55) | #3 ""Baxter @ pUWVTl3lN1"" (226.57) | #9 ""Deckhole @ hqlKQ6Qj8d"" (444.14)",2021-05-29T08:16:07.742Z,162227616774301
"-- starting hand #301  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-05-29T08:16:07.742Z,162227616774300
"-- ending hand #300 --",2021-05-29T08:16:01.711Z,162227616171402
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot with Two Pair, A's & 6's (combination: A♦, A♠, 6♠, 6♥, K♦)",2021-05-29T08:16:01.711Z,162227616171401
"""Malarkey @ Ia-cNlUwV8"" shows a 6♠, 8♣.",2021-05-29T08:16:01.711Z,162227616171400
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:16:00.902Z,162227616090300
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:15:58.489Z,162227615848900
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:15:52.748Z,162227615274800
"River: A♦, A♠, K♦, 6♥ [5♠]",2021-05-29T08:15:48.791Z,162227614879300
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:15:47.981Z,162227614798200
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:15:45.521Z,162227614552200
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:15:43.927Z,162227614392800
"Turn: A♦, A♠, K♦ [6♥]",2021-05-29T08:15:41.007Z,162227614101000
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:15:40.201Z,162227614020100
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:15:37.654Z,162227613765500
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:15:36.345Z,162227613634600
"Flop:  [A♦, A♠, K♦]",2021-05-29T08:15:32.303Z,162227613230400
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:15:31.495Z,162227613149600
"""Malarkey @ Ia-cNlUwV8"" calls 0.50",2021-05-29T08:15:26.848Z,162227612684900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:15:21.550Z,162227612155100
"""Baxter @ pUWVTl3lN1"" calls 0.50",2021-05-29T08:15:19.105Z,162227611910600
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.50",2021-05-29T08:15:12.068Z,162227611206907
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.25",2021-05-29T08:15:12.068Z,162227611206906
"Your hand is J♥, Q♣",2021-05-29T08:15:12.068Z,162227611206903
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (224.13) | #2 ""K. Godel @ TN11URmFSv"" (62.05) | #3 ""Baxter @ pUWVTl3lN1"" (227.07) | #9 ""Deckhole @ hqlKQ6Qj8d"" (444.14)",2021-05-29T08:15:12.068Z,162227611206901
"-- starting hand #300  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-29T08:15:12.068Z,162227611206900
"-- ending hand #299 --",2021-05-29T08:15:06.117Z,162227610611802
"""Malarkey @ Ia-cNlUwV8"" collected 0.50 from pot",2021-05-29T08:15:06.117Z,162227610611801
"Uncalled bet of 0.25 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-29T08:15:06.117Z,162227610611800
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:15:05.311Z,162227610531100
"""Baxter @ pUWVTl3lN1"" folds",2021-05-29T08:15:01.729Z,162227610173000
"""K. Godel @ TN11URmFSv"" folds",2021-05-29T08:14:54.762Z,162227609476300
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.50",2021-05-29T08:14:51.252Z,162227609125307
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.25",2021-05-29T08:14:51.252Z,162227609125306
"Your hand is 5♣, 9♠",2021-05-29T08:14:51.252Z,162227609125303
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (223.88) | #2 ""K. Godel @ TN11URmFSv"" (62.05) | #3 ""Baxter @ pUWVTl3lN1"" (227.07) | #9 ""Deckhole @ hqlKQ6Qj8d"" (444.39)",2021-05-29T08:14:51.252Z,162227609125301
"-- starting hand #299  (No Limit Texas Hold'em) (dealer: ""Baxter @ pUWVTl3lN1"") --",2021-05-29T08:14:51.252Z,162227609125300
"-- ending hand #298 --",2021-05-29T08:14:45.224Z,162227608522603
"""Baxter @ pUWVTl3lN1"" shows a K♣, 5♥.",2021-05-29T08:14:45.224Z,162227608522602
"""Malarkey @ Ia-cNlUwV8"" collected 5.75 from pot with Pair, 6's (combination: 6♣, 6♥, A♥, 10♠, 5♠)",2021-05-29T08:14:45.224Z,162227608522601
"""Malarkey @ Ia-cNlUwV8"" shows a 6♣, 6♥.",2021-05-29T08:14:45.224Z,162227608522600
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:14:44.416Z,162227608441700
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:14:24.714Z,162227606471500
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:14:22.404Z,162227606240500
"River: A♥, 10♠, 4♥, 5♠ [2♣]",2021-05-29T08:14:17.873Z,162227605787500
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:14:17.062Z,162227605706300
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:14:09.007Z,162227604900800
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:14:05.590Z,162227604559100
"Turn: A♥, 10♠, 4♥ [5♠]",2021-05-29T08:14:02.137Z,162227604213900
"""K. Godel @ TN11URmFSv"" checks",2021-05-29T08:14:01.331Z,162227604133200
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:13:53.024Z,162227603302500
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:13:50.153Z,162227603015400
"Flop:  [A♥, 10♠, 4♥]",2021-05-29T08:13:45.292Z,162227602529300
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-29T08:13:44.482Z,162227602448300
"""Baxter @ pUWVTl3lN1"" calls 1.75",2021-05-29T08:13:42.625Z,162227602262600
"""K. Godel @ TN11URmFSv"" calls 1.75",2021-05-29T08:13:37.846Z,162227601784700
"""Malarkey @ Ia-cNlUwV8"" raises to 1.75",2021-05-29T08:13:23.715Z,162227600371600
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.50",2021-05-29T08:13:20.243Z,162227600024407
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.25",2021-05-29T08:13:20.243Z,162227600024406
"Your hand is 9♣, 8♣",2021-05-29T08:13:20.243Z,162227600024403
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (219.88) | #2 ""K. Godel @ TN11URmFSv"" (63.80) | #3 ""Baxter @ pUWVTl3lN1"" (228.82) | #9 ""Deckhole @ hqlKQ6Qj8d"" (444.89)",2021-05-29T08:13:20.243Z,162227600024401
"-- starting hand #298  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-29T08:13:20.243Z,162227600024400
"-- ending hand #297 --",2021-05-29T08:13:14.230Z,162227599423302
"""Baxter @ pUWVTl3lN1"" collected 7.49 from pot with Two Pair, A's & 4's (combination: A♥, A♦, 4♠, 4♥, Q♣)",2021-05-29T08:13:14.230Z,162227599423301
"""Baxter @ pUWVTl3lN1"" shows a J♥, A♥.",2021-05-29T08:13:14.230Z,162227599423300
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:13:13.424Z,162227599342400
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:13:10.228Z,162227599022900
"River: 4♠, A♦, 2♠, 4♥ [Q♣]",2021-05-29T08:13:00.651Z,162227598065500
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-29T08:12:59.845Z,162227597984600
"""Baxter @ pUWVTl3lN1"" checks",2021-05-29T08:12:57.885Z,162227597788600
