entry,at,order
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 7.05.",2022-05-11T03:44:07.638Z,165224064763800
"-- ending hand #145 --",2022-05-11T03:43:58.613Z,165224063861303
"""Jean @ _qaxMUlwNf"" shows a Q♣, A♣.",2022-05-11T03:43:58.613Z,165224063861302
"""She’s cake @ rMEEwzMegO"" collected 0.24 from pot with Two Pair, J's & 9's (combination: J♣, J♥, 9♣, 9♠, 4♠)",2022-05-11T03:43:58.613Z,165224063861301
"""She’s cake @ rMEEwzMegO"" shows a 9♣, 9♠.",2022-05-11T03:43:58.613Z,165224063861300
"""Jean @ _qaxMUlwNf"" checks",2022-05-11T03:43:57.795Z,165224063779500
"""She’s cake @ rMEEwzMegO"" checks",2022-05-11T03:43:54.476Z,165224063447600
"River: J♣, 2♠, 4♠, J♥ [4♥]",2022-05-11T03:43:52.208Z,165224063220800
"""Jean @ _qaxMUlwNf"" calls 0.06",2022-05-11T03:43:51.314Z,165224063131400
"""She’s cake @ rMEEwzMegO"" bets 0.06",2022-05-11T03:43:49.033Z,165224062903300
"Turn: J♣, 2♠, 4♠ [J♥]",2022-05-11T03:43:43.198Z,165224062319800
"""Jean @ _qaxMUlwNf"" checks",2022-05-11T03:43:42.380Z,165224062238000
"""She’s cake @ rMEEwzMegO"" checks",2022-05-11T03:43:37.608Z,165224061760800
"Flop:  [J♣, 2♠, 4♠]",2022-05-11T03:43:34.900Z,165224061490000
"""She’s cake @ rMEEwzMegO"" calls 0.06",2022-05-11T03:43:34.065Z,165224061406500
"""Jean @ _qaxMUlwNf"" raises to 0.06",2022-05-11T03:43:32.342Z,165224061234200
"""She’s cake @ rMEEwzMegO"" posts a big blind of 0.02",2022-05-11T03:43:25.981Z,165224060598106
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-11T03:43:25.981Z,165224060598105
"Player stacks: #3 ""Jean @ _qaxMUlwNf"" (7.17) | #10 ""She’s cake @ rMEEwzMegO"" (1.72)",2022-05-11T03:43:25.981Z,165224060598102
"-- starting hand #145  (No Limit Texas Hold'em) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-05-11T03:43:25.981Z,165224060598101
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 1.69.",2022-05-11T03:43:25.981Z,165224060598100
"""Jean @ _qaxMUlwNf"" shows a 4♥, J♦.",2022-05-11T03:43:23.915Z,165224060391500
