entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 46.67.",2022-04-10T00:23:55.694Z,164955023569400
"-- ending hand #102 --",2022-04-10T00:23:52.694Z,164955023269402
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-04-10T00:23:52.694Z,164955023269401
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:23:52.694Z,164955023269400
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:23:51.787Z,164955023178700
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-10T00:23:27.468Z,164955020746800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:23:16.470Z,164955019647005
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:23:16.470Z,164955019647004
"Your hand is 8♣, 4♠",2022-04-10T00:23:16.470Z,164955019647003
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (26.57) | #2 ""K Godel @ Di5cxDUTF9"" (46.92)",2022-04-10T00:23:16.470Z,164955019647001
"-- starting hand #102  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:23:16.470Z,164955019647000
"-- ending hand #101 --",2022-04-10T00:23:13.468Z,164955019346802
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:23:13.468Z,164955019346801
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:23:13.468Z,164955019346800
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:23:12.643Z,164955019264300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:22:45.621Z,164955016562105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:22:45.621Z,164955016562104
"Your hand is 2♦, Q♦",2022-04-10T00:22:45.621Z,164955016562103
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (26.47) | #2 ""K Godel @ Di5cxDUTF9"" (47.02)",2022-04-10T00:22:45.621Z,164955016562101
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:22:45.621Z,164955016562100
"-- ending hand #100 --",2022-04-10T00:22:42.618Z,164955016261802
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-04-10T00:22:42.618Z,164955016261801
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-04-10T00:22:42.618Z,164955016261800
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-10T00:22:41.787Z,164955016178700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:22:34.213Z,164955015421305
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:22:34.213Z,164955015421304
"Your hand is 3♦, J♥",2022-04-10T00:22:34.213Z,164955015421303
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (26.57) | #2 ""K Godel @ Di5cxDUTF9"" (46.92)",2022-04-10T00:22:34.213Z,164955015421301
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:22:34.213Z,164955015421300
"-- ending hand #99 --",2022-04-10T00:22:28.099Z,164955014809902
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot with Pair, K's (combination: K♣, K♦, A♣, Q♥, 10♦)",2022-04-10T00:22:28.099Z,164955014809901
"""K Godel @ Di5cxDUTF9"" shows a 10♦, A♣.",2022-04-10T00:22:28.099Z,164955014809900
"""K Godel @ Di5cxDUTF9"" checks",2022-04-10T00:22:27.286Z,164955014728600
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-10T00:22:12.138Z,164955013213800
"River: K♣, 2♠, 4♣, K♦ [Q♥]",2022-04-10T00:22:07.886Z,164955012788600
"""K Godel @ Di5cxDUTF9"" checks",2022-04-10T00:22:07.079Z,164955012707900
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-10T00:22:05.403Z,164955012540300
"Turn: K♣, 2♠, 4♣ [K♦]",2022-04-10T00:22:03.478Z,164955012347800
"""K Godel @ Di5cxDUTF9"" checks",2022-04-10T00:22:02.610Z,164955012261000
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-10T00:21:59.510Z,164955011951000
"Flop:  [K♣, 2♠, 4♣]",2022-04-10T00:21:56.069Z,164955011606900
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-04-10T00:21:55.242Z,164955011524200
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-04-10T00:21:52.730Z,164955011273000
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:21:45.778Z,164955010577805
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:21:45.778Z,164955010577804
"Your hand is 10♦, A♣",2022-04-10T00:21:45.778Z,164955010577803
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (27.32) | #2 ""K Godel @ Di5cxDUTF9"" (46.17)",2022-04-10T00:21:45.778Z,164955010577801
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:21:45.778Z,164955010577800
"-- ending hand #98 --",2022-04-10T00:21:39.771Z,164955009977102
"""K Godel @ Di5cxDUTF9"" collected 9.00 from pot with Straight, K High (combination: K♦, Q♥, J♦, 10♠, 9♦)",2022-04-10T00:21:39.771Z,164955009977101
"""K Godel @ Di5cxDUTF9"" shows a J♦, K♦.",2022-04-10T00:21:39.771Z,164955009977100
"""Deckhole @ _yf6aQFJyI"" calls 2.25",2022-04-10T00:21:38.876Z,164955009887600
"""K Godel @ Di5cxDUTF9"" bets 2.25",2022-04-10T00:21:32.469Z,164955009246900
"River: 8♥, 9♦, Q♥, 10♠ [2♥]",2022-04-10T00:21:23.039Z,164955008303900
"""Deckhole @ _yf6aQFJyI"" calls 1.50",2022-04-10T00:21:22.166Z,164955008216600
"""K Godel @ Di5cxDUTF9"" bets 1.50",2022-04-10T00:21:11.950Z,164955007195000
"Turn: 8♥, 9♦, Q♥ [10♠]",2022-04-10T00:20:57.819Z,164955005781900
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-10T00:20:56.968Z,164955005696800
"""K Godel @ Di5cxDUTF9"" checks",2022-04-10T00:20:54.597Z,164955005459700
"Flop:  [8♥, 9♦, Q♥]",2022-04-10T00:20:50.535Z,164955005053500
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-04-10T00:20:49.667Z,164955004966700
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-10T00:20:45.313Z,164955004531300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:20:41.326Z,164955004132605
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:20:41.326Z,164955004132604
"Your hand is J♦, K♦",2022-04-10T00:20:41.326Z,164955004132603
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.82) | #2 ""K Godel @ Di5cxDUTF9"" (41.67)",2022-04-10T00:20:41.326Z,164955004132601
"-- starting hand #98  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:20:41.326Z,164955004132600
"-- ending hand #97 --",2022-04-10T00:20:38.326Z,164955003832602
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:20:38.326Z,164955003832601
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:20:38.326Z,164955003832600
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:20:37.473Z,164955003747300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:20:35.543Z,164955003554305
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:20:35.543Z,164955003554304
"Your hand is Q♥, 7♠",2022-04-10T00:20:35.543Z,164955003554303
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.72) | #2 ""K Godel @ Di5cxDUTF9"" (41.77)",2022-04-10T00:20:35.543Z,164955003554301
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:20:35.543Z,164955003554300
"-- ending hand #96 --",2022-04-10T00:20:32.603Z,164955003260302
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-04-10T00:20:32.603Z,164955003260301
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-04-10T00:20:32.603Z,164955003260300
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-10T00:20:31.733Z,164955003173300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:20:30.326Z,164955003032605
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:20:30.326Z,164955003032604
"Your hand is 6♥, 7♥",2022-04-10T00:20:30.326Z,164955003032603
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.82) | #2 ""K Godel @ Di5cxDUTF9"" (41.67)",2022-04-10T00:20:30.326Z,164955003032601
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:20:30.326Z,164955003032600
"-- ending hand #95 --",2022-04-10T00:20:27.398Z,164955002739802
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:20:27.398Z,164955002739801
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:20:27.398Z,164955002739800
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:20:26.522Z,164955002652200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:20:23.322Z,164955002332205
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:20:23.322Z,164955002332204
"Your hand is 2♣, 4♣",2022-04-10T00:20:23.322Z,164955002332203
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.72) | #2 ""K Godel @ Di5cxDUTF9"" (41.77)",2022-04-10T00:20:23.322Z,164955002332201
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:20:23.322Z,164955002332200
"-- ending hand #94 --",2022-04-10T00:20:20.319Z,164955002031902
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-04-10T00:20:20.319Z,164955002031901
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-04-10T00:20:20.319Z,164955002031900
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-10T00:20:19.495Z,164955001949500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:20:14.512Z,164955001451205
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:20:14.512Z,164955001451204
"Your hand is K♣, Q♣",2022-04-10T00:20:14.512Z,164955001451203
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.82) | #2 ""K Godel @ Di5cxDUTF9"" (41.67)",2022-04-10T00:20:14.512Z,164955001451201
"-- starting hand #94  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:20:14.512Z,164955001451200
"-- ending hand #93 --",2022-04-10T00:20:11.583Z,164955001158302
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:20:11.583Z,164955001158301
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:20:11.583Z,164955001158300
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:20:10.733Z,164955001073300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:20:01.108Z,164955000110805
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:20:01.108Z,164955000110804
"Your hand is Q♦, 10♣",2022-04-10T00:20:01.108Z,164955000110803
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.72) | #2 ""K Godel @ Di5cxDUTF9"" (41.77)",2022-04-10T00:20:01.108Z,164955000110801
"-- starting hand #93  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:20:01.108Z,164955000110800
"-- ending hand #92 --",2022-04-10T00:19:58.159Z,164954999815902
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-04-10T00:19:58.159Z,164954999815901
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:19:58.159Z,164954999815900
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:19:57.350Z,164954999735000
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-10T00:19:52.759Z,164954999275900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:19:49.487Z,164954998948705
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:19:49.487Z,164954998948704
"Your hand is 3♣, 5♠",2022-04-10T00:19:49.487Z,164954998948703
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.47) | #2 ""K Godel @ Di5cxDUTF9"" (42.02)",2022-04-10T00:19:49.487Z,164954998948701
"-- starting hand #92  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:19:49.487Z,164954998948700
"-- ending hand #91 --",2022-04-10T00:19:46.551Z,164954998655102
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:19:46.551Z,164954998655101
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:19:46.551Z,164954998655100
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:19:45.735Z,164954998573500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:19:39.879Z,164954997987905
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:19:39.879Z,164954997987904
"Your hand is 10♦, 4♦",2022-04-10T00:19:39.879Z,164954997987903
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.37) | #2 ""K Godel @ Di5cxDUTF9"" (42.12)",2022-04-10T00:19:39.879Z,164954997987901
"-- starting hand #91  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:19:39.879Z,164954997987900
"-- ending hand #90 --",2022-04-10T00:19:36.874Z,164954997687402
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-04-10T00:19:36.874Z,164954997687401
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:19:36.874Z,164954997687400
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:19:36.023Z,164954997602300
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-10T00:19:33.547Z,164954997354700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:19:18.656Z,164954995865606
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:19:18.656Z,164954995865605
"Your hand is 3♠, J♣",2022-04-10T00:19:18.656Z,164954995865604
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.12) | #2 ""K Godel @ Di5cxDUTF9"" (42.37)",2022-04-10T00:19:18.656Z,164954995865602
"-- starting hand #90  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:19:18.656Z,164954995865601
"The player ""jean @ _qaxMUlwNf"" stand up with the stack of 6.51.",2022-04-10T00:19:18.656Z,164954995865600
"-- ending hand #89 --",2022-04-10T00:19:15.736Z,164954995573602
"""K Godel @ Di5cxDUTF9"" collected 1.80 from pot",2022-04-10T00:19:15.736Z,164954995573601
"Uncalled bet of 0.90 returned to ""K Godel @ Di5cxDUTF9""",2022-04-10T00:19:15.736Z,164954995573600
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-10T00:19:14.903Z,164954995490300
"""K Godel @ Di5cxDUTF9"" bets 0.90",2022-04-10T00:19:06.315Z,164954994631500
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-10T00:18:57.583Z,164954993758300
"Flop:  [J♦, 10♣, 10♠]",2022-04-10T00:18:54.493Z,164954993449300
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-04-10T00:18:53.639Z,164954993363900
"""jean @ _qaxMUlwNf"" folds",2022-04-10T00:18:33.012Z,164954991301200
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-04-10T00:18:29.495Z,164954990949500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:18:19.475Z,164954989947506
"""jean @ _qaxMUlwNf"" posts a small blind of 0.10",2022-04-10T00:18:19.475Z,164954989947505
"Your hand is J♣, Q♠",2022-04-10T00:18:19.475Z,164954989947503
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (31.97) | #2 ""K Godel @ Di5cxDUTF9"" (41.42) | #3 ""jean @ _qaxMUlwNf"" (6.61)",2022-04-10T00:18:19.475Z,164954989947501
"-- starting hand #89  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-10T00:18:19.475Z,164954989947500
"""jean @ _qaxMUlwNf"" shows a 3♦, 9♦.",2022-04-10T00:18:17.663Z,164954989766300
"-- ending hand #88 --",2022-04-10T00:18:15.872Z,164954989587202
"""Deckhole @ _yf6aQFJyI"" collected 9.00 from pot",2022-04-10T00:18:15.872Z,164954989587201
"Uncalled bet of 6.61 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:18:15.872Z,164954989587200
"""jean @ _qaxMUlwNf"" folds",2022-04-10T00:18:15.019Z,164954989501900
"""Deckhole @ _yf6aQFJyI"" bets 6.61",2022-04-10T00:18:12.577Z,164954989257700
"""jean @ _qaxMUlwNf"" checks",2022-04-10T00:18:09.337Z,164954988933700
"River: 7♦, A♦, 10♥, 5♣ [6♠]",2022-04-10T00:18:01.400Z,164954988140000
"""jean @ _qaxMUlwNf"" calls 2.70",2022-04-10T00:18:00.553Z,164954988055300
"""Deckhole @ _yf6aQFJyI"" bets 2.70",2022-04-10T00:17:58.019Z,164954987801900
"""jean @ _qaxMUlwNf"" checks",2022-04-10T00:17:53.685Z,164954987368500
"Turn: 7♦, A♦, 10♥ [5♣]",2022-04-10T00:17:49.189Z,164954986918900
"""jean @ _qaxMUlwNf"" calls 0.90",2022-04-10T00:17:48.276Z,164954986827600
"""Deckhole @ _yf6aQFJyI"" bets 0.90",2022-04-10T00:17:45.714Z,164954986571400
"""jean @ _qaxMUlwNf"" checks",2022-04-10T00:17:32.388Z,164954985238800
"Flop:  [7♦, A♦, 10♥]",2022-04-10T00:17:28.580Z,164954984858000
"""jean @ _qaxMUlwNf"" calls 0.85",2022-04-10T00:17:27.656Z,164954984765600
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:17:24.851Z,164954984485100
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2022-04-10T00:17:23.928Z,164954984392800
"""jean @ _qaxMUlwNf"" posts a big blind of 0.25",2022-04-10T00:16:48.608Z,164954980860806
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-10T00:16:48.608Z,164954980860805
"Your hand is J♣, 5♠",2022-04-10T00:16:48.608Z,164954980860803
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (27.42) | #2 ""K Godel @ Di5cxDUTF9"" (41.52) | #3 ""jean @ _qaxMUlwNf"" (11.06)",2022-04-10T00:16:48.608Z,164954980860801
"-- starting hand #88  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-10T00:16:48.608Z,164954980860800
"-- ending hand #87 --",2022-04-10T00:16:45.699Z,164954980569902
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-04-10T00:16:45.699Z,164954980569901
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:16:45.699Z,164954980569900
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:16:44.839Z,164954980483900
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-10T00:16:40.919Z,164954980091900
"""jean @ _qaxMUlwNf"" folds",2022-04-10T00:16:14.129Z,164954977412900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-04-10T00:16:11.575Z,164954977157506
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-10T00:16:11.575Z,164954977157505
"Your hand is 6♣, 2♠",2022-04-10T00:16:11.575Z,164954977157503
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (27.17) | #2 ""K Godel @ Di5cxDUTF9"" (41.77) | #3 ""jean @ _qaxMUlwNf"" (11.06)",2022-04-10T00:16:11.575Z,164954977157501
"-- starting hand #87  (No Limit Texas Hold'em) (dealer: ""jean @ _qaxMUlwNf"") --",2022-04-10T00:16:11.575Z,164954977157500
"-- ending hand #86 --",2022-04-10T00:16:08.573Z,164954976857302
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-04-10T00:16:08.573Z,164954976857301
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-10T00:16:08.573Z,164954976857300
"""jean @ _qaxMUlwNf"" folds",2022-04-10T00:16:07.667Z,164954976766700
"""K Godel @ Di5cxDUTF9"" folds",2022-04-10T00:16:05.193Z,164954976519300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-10T00:15:33.553Z,164954973355306
"""jean @ _qaxMUlwNf"" posts a small blind of 0.10",2022-04-10T00:15:33.553Z,164954973355305
"Your hand is 9♥, 4♣",2022-04-10T00:15:33.553Z,164954973355303
