entry,at,order
"The player ""Mag_Kirwin @ e4MtM50XXb"" stand up with the stack of 123.45.",2023-01-04T06:56:04.465Z,167281536446500
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 68.27.",2023-01-04T06:55:53.508Z,167281535350800
"-- ending hand #230 --",2023-01-04T06:55:50.503Z,167281535050302
"""K Godel @ TN11URmFSv"" collected 1.50 from pot",2023-01-04T06:55:50.503Z,167281535050301
"Uncalled bet of 0.75 returned to ""K Godel @ TN11URmFSv""",2023-01-04T06:55:50.503Z,167281535050300
"""Mag_Kirwin @ e4MtM50XXb"" folds",2023-01-04T06:55:49.615Z,167281534961500
"""K Godel @ TN11URmFSv"" bets 0.75",2023-01-04T06:55:47.635Z,167281534763500
"""Mag_Kirwin @ e4MtM50XXb"" checks",2023-01-04T06:55:38.569Z,167281533856900
"River: 3♠, 6♠, 8♦, A♣ [K♥]",2023-01-04T06:55:35.597Z,167281533559700
"""K Godel @ TN11URmFSv"" checks",2023-01-04T06:55:34.772Z,167281533477200
"""Mag_Kirwin @ e4MtM50XXb"" checks",2023-01-04T06:55:32.943Z,167281533294300
"Turn: 3♠, 6♠, 8♦ [A♣]",2023-01-04T06:55:25.186Z,167281532518600
"""K Godel @ TN11URmFSv"" checks",2023-01-04T06:55:24.336Z,167281532433600
"""Mag_Kirwin @ e4MtM50XXb"" checks",2023-01-04T06:54:58.684Z,167281529868400
"Flop:  [3♠, 6♠, 8♦]",2023-01-04T06:54:36.359Z,167281527635900
"""Mag_Kirwin @ e4MtM50XXb"" calls 0.75",2023-01-04T06:54:35.480Z,167281527548000
"""K Godel @ TN11URmFSv"" raises to 0.75",2023-01-04T06:54:31.072Z,167281527107200
"""Mag_Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2023-01-04T06:54:12.310Z,167281525231006
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2023-01-04T06:54:12.310Z,167281525231005
"Your hand is A♥, K♠, 5♦, 10♥",2023-01-04T06:54:12.310Z,167281525231003
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (67.52) | #3 ""Mag_Kirwin @ e4MtM50XXb"" (124.20)",2023-01-04T06:54:12.310Z,167281525231002
"-- starting hand #230 (id: ii32pqanzz04)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ TN11URmFSv"") --",2023-01-04T06:54:12.310Z,167281525231001
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 37.51.",2023-01-04T06:54:12.310Z,167281525231000
"-- ending hand #229 --",2023-01-04T06:54:09.396Z,167281524939602
"""Mag_Kirwin @ e4MtM50XXb"" collected 0.20 from pot",2023-01-04T06:54:09.396Z,167281524939601
"Uncalled bet of 0.15 returned to ""Mag_Kirwin @ e4MtM50XXb""",2023-01-04T06:54:09.396Z,167281524939600
"""K Godel @ TN11URmFSv"" folds",2023-01-04T06:54:08.516Z,167281524851600
"""Deckhole @ 3URETjsK60"" folds",2023-01-04T06:54:07.616Z,167281524761600
"""Mag_Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2023-01-04T06:54:03.302Z,167281524330206
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2023-01-04T06:54:03.302Z,167281524330205
"Your hand is 3♠, 5♦, 5♣, 5♥",2023-01-04T06:54:03.302Z,167281524330202
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (67.62) | #3 ""Mag_Kirwin @ e4MtM50XXb"" (124.10) | #6 ""Deckhole @ 3URETjsK60"" (37.51)",2023-01-04T06:54:03.302Z,167281524330201
"-- starting hand #229 (id: i3hxxncapa3e)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-04T06:54:03.302Z,167281524330200
"-- ending hand #228 --",2023-01-04T06:54:00.392Z,167281524039202
"""K Godel @ TN11URmFSv"" collected 3.00 from pot",2023-01-04T06:54:00.392Z,167281524039201
"Uncalled bet of 1.50 returned to ""K Godel @ TN11URmFSv""",2023-01-04T06:54:00.392Z,167281524039200
"""Deckhole @ 3URETjsK60"" folds",2023-01-04T06:53:59.569Z,167281523956900
"""Mag_Kirwin @ e4MtM50XXb"" folds",2023-01-04T06:53:58.695Z,167281523869500
"""K Godel @ TN11URmFSv"" bets 1.50",2023-01-04T06:53:44.138Z,167281522413800
"""Deckhole @ 3URETjsK60"" checks",2023-01-04T06:53:30.764Z,167281521076400
