entry,at,order
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 54.38.",2022-03-05T07:59:20.162Z,164646716016200
"""Deckhole @ _yf6aQFJyI"" shows a K♠, 10♥, K♣, 7♥.",2022-03-05T07:59:17.842Z,164646715784200
"-- ending hand #102 --",2022-03-05T07:59:16.553Z,164646715655302
"""Deckhole @ _yf6aQFJyI"" collected 0.10 from pot",2022-03-05T07:59:16.553Z,164646715655301
"Uncalled bet of 0.05 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-05T07:59:16.553Z,164646715655300
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-03-05T07:59:15.637Z,164646715563700
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.10",2022-03-05T07:58:39.931Z,164646711993106
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.05",2022-03-05T07:58:39.931Z,164646711993105
"Player stacks: #2 ""Mag Kirwin @ e4MtM50XXb"" (54.43) | #5 ""Deckhole @ _yf6aQFJyI"" (40.35)",2022-03-05T07:58:39.931Z,164646711993102
"-- starting hand #102  (Pot Limit Omaha Hi) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-03-05T07:58:39.931Z,164646711993101
"The player ""k Godel @ Di5cxDUTF9"" stand up with the stack of 15.22.",2022-03-05T07:58:39.931Z,164646711993100
"-- ending hand #101 --",2022-03-05T07:58:33.946Z,164646711394602
"""Mag Kirwin @ e4MtM50XXb"" collected 0.20 from pot",2022-03-05T07:58:33.946Z,164646711394601
"Uncalled bet of 0.20 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-03-05T07:58:33.946Z,164646711394600
"""Deckhole @ _yf6aQFJyI"" folds",2022-03-05T07:58:33.051Z,164646711305100
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.30",2022-03-05T07:58:13.283Z,164646709328300
"""k Godel @ Di5cxDUTF9"" folds",2022-03-05T07:58:00.923Z,164646708092300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.10",2022-03-05T07:57:31.128Z,164646705112807
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.05",2022-03-05T07:57:31.128Z,164646705112806
"Your hand is 5♥, 10♥, 8♣, 10♠",2022-03-05T07:57:31.128Z,164646705112803
"Player stacks: #1 ""k Godel @ Di5cxDUTF9"" (15.22) | #2 ""Mag Kirwin @ e4MtM50XXb"" (54.33) | #5 ""Deckhole @ _yf6aQFJyI"" (40.45)",2022-03-05T07:57:31.128Z,164646705112802
"-- starting hand #101  (Pot Limit Omaha Hi) (dealer: ""k Godel @ Di5cxDUTF9"") --",2022-03-05T07:57:31.128Z,164646705112801
"The player ""jean @ IR5E81bjnF"" quits the game with a stack of 0.00.",2022-03-05T07:57:31.128Z,164646705112800
"-- ending hand #100 --",2022-03-05T07:57:22.076Z,164646704207603
"""jean @ IR5E81bjnF"" shows a 7♥, 8♦, 4♦, J♦.",2022-03-05T07:57:22.076Z,164646704207602
"""Mag Kirwin @ e4MtM50XXb"" collected 28.85 from pot with Full House (combination: 9♥, 9♦, 9♠, 8♠, 8♣)",2022-03-05T07:57:22.076Z,164646704207601
"""Mag Kirwin @ e4MtM50XXb"" shows a 4♣, 9♥, A♦, 9♦.",2022-03-05T07:57:22.076Z,164646704207600
"""Mag Kirwin @ e4MtM50XXb"" calls 14.05",2022-03-05T07:57:21.202Z,164646704120200
"""jean @ IR5E81bjnF"" raises to 14.05 and go all in",2022-03-05T07:57:12.569Z,164646703256900
"""Mag Kirwin @ e4MtM50XXb"" raises to 9.75",2022-03-05T07:56:52.531Z,164646701253100
"""jean @ IR5E81bjnF"" raises to 3.00",2022-03-05T07:56:34.740Z,164646699474000
"""Mag Kirwin @ e4MtM50XXb"" bets 0.75",2022-03-05T07:56:27.602Z,164646698760200
"River: 5♠, 7♣, 9♠, 8♠ [8♣]",2022-03-05T07:56:20.046Z,164646698004600
"""jean @ IR5E81bjnF"" checks",2022-03-05T07:56:19.170Z,164646697917000
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-03-05T07:56:16.315Z,164646697631500
"Turn: 5♠, 7♣, 9♠ [8♠]",2022-03-05T07:56:13.558Z,164646697355800
"""jean @ IR5E81bjnF"" checks",2022-03-05T07:56:12.722Z,164646697272200
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-03-05T07:56:07.516Z,164646696751600
"Flop:  [5♠, 7♣, 9♠]",2022-03-05T07:56:02.548Z,164646696254800
"""jean @ IR5E81bjnF"" calls 0.35",2022-03-05T07:56:01.631Z,164646696163100
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.35",2022-03-05T07:55:59.161Z,164646695916100
"""k Godel @ Di5cxDUTF9"" folds",2022-03-05T07:55:55.194Z,164646695519400
"""jean @ IR5E81bjnF"" calls 0.10",2022-03-05T07:55:54.277Z,164646695427700
"""Deckhole @ _yf6aQFJyI"" folds",2022-03-05T07:55:52.174Z,164646695217400
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.10",2022-03-05T07:55:47.243Z,164646694724307
"""k Godel @ Di5cxDUTF9"" posts a small blind of 0.05",2022-03-05T07:55:47.243Z,164646694724306
"Your hand is 6♥, 2♥, 4♥, 8♥",2022-03-05T07:55:47.243Z,164646694724302
"Player stacks: #1 ""k Godel @ Di5cxDUTF9"" (15.27) | #2 ""Mag Kirwin @ e4MtM50XXb"" (39.88) | #5 ""Deckhole @ _yf6aQFJyI"" (40.45) | #6 ""jean @ IR5E81bjnF"" (14.40)",2022-03-05T07:55:47.243Z,164646694724301
"-- starting hand #100  (Pot Limit Omaha Hi) (dealer: ""jean @ IR5E81bjnF"") --",2022-03-05T07:55:47.243Z,164646694724300
"-- ending hand #99 --",2022-03-05T07:55:38.122Z,164646693812202
"""k Godel @ Di5cxDUTF9"" collected 0.60 from pot with Two Pair (combination: Q♦, Q♣, 10♥, 10♦, K♥)",2022-03-05T07:55:38.122Z,164646693812201
