entry,at,order
"The player ""K Godel @ TN11URmFSv"" passed the room ownership to ""Poindexter @ 3URETjsK60"".",2022-08-22T04:49:31.115Z,166114377111500
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 1.23.",2022-08-22T04:23:45.311Z,166114222531100
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 5.81.",2022-08-22T04:23:37.851Z,166114221785101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-08-22T04:23:37.851Z,166114221785100
"The player ""Poindexter @ 3URETjsK60"" quits the game with a stack of 14.14.",2022-08-22T04:23:20.022Z,166114220002201
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Poindexter @ 3URETjsK60"".",2022-08-22T04:23:20.022Z,166114220002200
"The player ""Mircra4 @ eU5rQ42pVS"" quits the game with a stack of 2.22.",2022-08-22T04:23:14.141Z,166114219414101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mircra4 @ eU5rQ42pVS"".",2022-08-22T04:23:14.141Z,166114219414100
"The player ""Lynn Mobile @ TqiFPfngQT"" quits the game with a stack of 4.67.",2022-08-22T04:22:59.113Z,166114217911303
"The player ""Lynn Mobile @ TqiFPfngQT"" stand up with the stack of 4.67.",2022-08-22T04:22:59.113Z,166114217911302
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 1.23.",2022-08-22T04:22:59.113Z,166114217911301
"The player ""Jean @ QLHzuQRo1C"" stand up with the stack of 5.81.",2022-08-22T04:22:59.113Z,166114217911300
"The admin ""K Godel @ TN11URmFSv"" forced the player ""Lynn Mobile @ TqiFPfngQT"" to away mode in the next hand.",2022-08-22T04:22:45.676Z,166114216567600
"-- ending hand #269 --",2022-08-22T04:21:35.757Z,166114209575703
"""Lynn Mobile @ TqiFPfngQT"" shows a K♠, 3♦.",2022-08-22T04:21:35.757Z,166114209575702
"""K Godel @ TN11URmFSv"" collected 0.04 from pot with Pair, 4's (combination: 4♥, 4♦, A♦, Q♣, 10♣)",2022-08-22T04:21:35.757Z,166114209575701
