entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 37.10.",2022-04-24T04:34:40.864Z,165077488086400
"-- ending hand #215 --",2022-04-24T04:34:37.863Z,165077487786302
"""K Godel @ Di5cxDUTF9"" collected 0.50 from pot",2022-04-24T04:34:37.863Z,165077487786301
"Uncalled bet of 0.50 returned to ""K Godel @ Di5cxDUTF9""",2022-04-24T04:34:37.863Z,165077487786300
"""Jean @ _qaxMUlwNf"" folds",2022-04-24T04:34:37.031Z,165077487703100
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-04-24T04:34:32.162Z,165077487216200
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.25",2022-04-24T04:34:19.039Z,165077485903907
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-04-24T04:34:19.039Z,165077485903906
"Your hand is A♦, 3♣",2022-04-24T04:34:19.039Z,165077485903904
"Player stacks: #5 ""K Godel @ Di5cxDUTF9"" (36.85) | #7 ""Jean @ _qaxMUlwNf"" (28.95)",2022-04-24T04:34:19.039Z,165077485903903
"-- starting hand #215  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-24T04:34:19.039Z,165077485903902
"The player ""scott @ nj_yF1nN56"" stand up with the stack of 54.59.",2022-04-24T04:34:19.039Z,165077485903901
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 64.22.",2022-04-24T04:34:19.039Z,165077485903900
"-- ending hand #214 --",2022-04-24T04:34:16.035Z,165077485603502
"""Jean @ _qaxMUlwNf"" collected 2.55 from pot",2022-04-24T04:34:16.035Z,165077485603501
"Uncalled bet of 2.55 returned to ""Jean @ _qaxMUlwNf""",2022-04-24T04:34:16.035Z,165077485603500
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-24T04:34:15.195Z,165077485519500
"""scott @ nj_yF1nN56"" folds",2022-04-24T04:34:05.420Z,165077484542000
"""Jean @ _qaxMUlwNf"" bets 2.55",2022-04-24T04:33:58.327Z,165077483832700
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-24T04:33:49.802Z,165077482980200
"""scott @ nj_yF1nN56"" checks",2022-04-24T04:33:39.134Z,165077481913400
"Flop:  [4♥, 7♠, 2♥]",2022-04-24T04:33:29.411Z,165077480941100
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-04-24T04:33:28.529Z,165077480852900
"""scott @ nj_yF1nN56"" calls 0.85",2022-04-24T04:33:23.036Z,165077480303600
"""Jean @ _qaxMUlwNf"" raises to 0.85",2022-04-24T04:33:17.628Z,165077479762800
"""K Godel @ Di5cxDUTF9"" folds",2022-04-24T04:33:12.591Z,165077479259100
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-24T04:33:07.596Z,165077478759607
"""scott @ nj_yF1nN56"" posts a small blind of 0.10",2022-04-24T04:33:07.596Z,165077478759606
"Your hand is 5♠, 6♥",2022-04-24T04:33:07.596Z,165077478759603
