entry,at,order
"The player ""Jean @ _qaxMUlwNf"" quits the game with a stack of 1.78.",2022-03-25T03:36:12.703Z,164817937270301
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 3.43.",2022-03-25T03:36:12.703Z,164817937270300
"-- ending hand #135 --",2022-03-25T03:36:03.614Z,164817936361403
"""K Godel @ Di5cxDUTF9"" shows a Q♦, K♦, A♥, 10♦.",2022-03-25T03:36:03.614Z,164817936361402
"""Lori @ T4dnUDNjdJ"" collected 0.12 from pot with Two Pair (combination: 9♦, 9♥, 4♠, 4♦, 5♦)",2022-03-25T03:36:03.614Z,164817936361401
"""Lori @ T4dnUDNjdJ"" shows a 4♠, 10♣, J♥, 4♦.",2022-03-25T03:36:03.614Z,164817936361400
"""Lori @ T4dnUDNjdJ"" checks",2022-03-25T03:36:02.802Z,164817936280200
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:36:00.525Z,164817936052500
"River: 9♦, 9♥, 3♥, 5♦ [5♥]",2022-03-25T03:35:51.875Z,164817935187500
"""Lori @ T4dnUDNjdJ"" checks",2022-03-25T03:35:51.019Z,164817935101900
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:35:48.834Z,164817934883400
"Turn: 9♦, 9♥, 3♥ [5♦]",2022-03-25T03:35:43.197Z,164817934319700
"""Lori @ T4dnUDNjdJ"" checks",2022-03-25T03:35:42.300Z,164817934230000
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:35:32.143Z,164817933214300
"Flop:  [9♦, 9♥, 3♥]",2022-03-25T03:35:08.658Z,164817930865800
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-03-25T03:35:07.794Z,164817930779400
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-03-25T03:35:02.975Z,164817930297500
"""Jean @ _qaxMUlwNf"" folds",2022-03-25T03:34:59.058Z,164817929905800
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-03-25T03:34:51.637Z,164817929163706
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-03-25T03:34:51.637Z,164817929163705
"Your hand is Q♦, K♦, A♥, 10♦",2022-03-25T03:34:51.637Z,164817929163703
"Player stacks: #1 ""Jean @ _qaxMUlwNf"" (1.78) | #2 ""K Godel @ Di5cxDUTF9"" (3.49) | #8 ""Lori @ T4dnUDNjdJ"" (4.88)",2022-03-25T03:34:51.637Z,164817929163701
"-- starting hand #135  (Pot Limit Omaha Hi) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-03-25T03:34:51.637Z,164817929163700
"""Lori @ T4dnUDNjdJ"" shows a 3♣, 10♣, Q♦, 7♠.",2022-03-25T03:34:47.897Z,164817928789700
"""K Godel @ Di5cxDUTF9"" shows a Q♠, K♣, 5♥, K♦.",2022-03-25T03:34:45.652Z,164817928565200
"-- ending hand #134 --",2022-03-25T03:34:42.306Z,164817928230602
"""Jean @ _qaxMUlwNf"" collected 0.24 from pot with Straight (combination: 8♦, 7♥, 6♠, 5♣, 4♥)",2022-03-25T03:34:42.306Z,164817928230601
"""Jean @ _qaxMUlwNf"" shows a 2♥, 8♦, 6♠, K♠.",2022-03-25T03:34:42.306Z,164817928230600
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-03-25T03:34:41.460Z,164817928146000
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-03-25T03:34:14.688Z,164817925468800
"""Jean @ _qaxMUlwNf"" bets 0.06",2022-03-25T03:34:05.950Z,164817924595000
"River: 5♣, 2♠, 7♥, 4♥ [7♦]",2022-03-25T03:33:50.051Z,164817923005100
"""Lori @ T4dnUDNjdJ"" checks",2022-03-25T03:33:49.183Z,164817922918300
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:33:47.054Z,164817922705400
"""Jean @ _qaxMUlwNf"" checks",2022-03-25T03:33:42.709Z,164817922270900
"Turn: 5♣, 2♠, 7♥ [4♥]",2022-03-25T03:33:39.374Z,164817921937400
"""Lori @ T4dnUDNjdJ"" checks",2022-03-25T03:33:38.445Z,164817921844500
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:33:33.450Z,164817921345000
"""Jean @ _qaxMUlwNf"" checks",2022-03-25T03:33:32.527Z,164817921252700
"Flop:  [5♣, 2♠, 7♥]",2022-03-25T03:33:25.770Z,164817920577000
"""K Godel @ Di5cxDUTF9"" checks",2022-03-25T03:33:24.931Z,164817920493100
"""Jean @ _qaxMUlwNf"" calls 0.02",2022-03-25T03:33:22.889Z,164817920288900
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-03-25T03:33:20.276Z,164817920027600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-03-25T03:33:17.559Z,164817919755906
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-03-25T03:33:17.559Z,164817919755905
"Your hand is Q♠, K♣, 5♥, K♦",2022-03-25T03:33:17.559Z,164817919755903
"Player stacks: #1 ""Jean @ _qaxMUlwNf"" (1.62) | #2 ""K Godel @ Di5cxDUTF9"" (3.57) | #8 ""Lori @ T4dnUDNjdJ"" (4.96)",2022-03-25T03:33:17.559Z,164817919755901
"-- starting hand #134  (Pot Limit Omaha Hi) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-03-25T03:33:17.559Z,164817919755900
"""Lori @ T4dnUDNjdJ"" shows a 6♦, A♣, A♦, 10♥.",2022-03-25T03:33:11.964Z,164817919196400
"""Jean @ _qaxMUlwNf"" shows a 9♦, 5♠, J♥, 8♣.",2022-03-25T03:33:11.735Z,164817919173500
"-- ending hand #133 --",2022-03-25T03:33:10.157Z,164817919015702
"""Lori @ T4dnUDNjdJ"" collected 0.04 from pot",2022-03-25T03:33:10.157Z,164817919015701
"Uncalled bet of 0.02 returned to ""Lori @ T4dnUDNjdJ""",2022-03-25T03:33:10.157Z,164817919015700
"""Jean @ _qaxMUlwNf"" folds",2022-03-25T03:33:09.286Z,164817918928600
"""Lori @ T4dnUDNjdJ"" bets 0.02",2022-03-25T03:33:06.359Z,164817918635900
"Flop:  [8♦, 7♦, 2♣]",2022-03-25T03:33:00.191Z,164817918019100
"""Jean @ _qaxMUlwNf"" checks",2022-03-25T03:32:59.351Z,164817917935100
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-03-25T03:32:55.428Z,164817917542800
"""K Godel @ Di5cxDUTF9"" folds",2022-03-25T03:32:51.841Z,164817917184100
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-03-25T03:32:47.931Z,164817916793106
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-03-25T03:32:47.931Z,164817916793105
"Your hand is 10♠, 9♣, 7♥, K♦",2022-03-25T03:32:47.931Z,164817916793103
"Player stacks: #1 ""Jean @ _qaxMUlwNf"" (1.64) | #2 ""K Godel @ Di5cxDUTF9"" (3.57) | #8 ""Lori @ T4dnUDNjdJ"" (4.94)",2022-03-25T03:32:47.931Z,164817916793101
"-- starting hand #133  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-25T03:32:47.931Z,164817916793100
"""Jean @ _qaxMUlwNf"" shows a 2♣, 8♠, 7♥, 9♦.",2022-03-25T03:32:43.595Z,164817916359500
"""Lori @ T4dnUDNjdJ"" shows a Q♥, 9♠, A♣, 10♣.",2022-03-25T03:32:42.774Z,164817916277400
"-- ending hand #132 --",2022-03-25T03:32:40.526Z,164817916052602
