entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 7.58.",2022-07-11T03:55:17.264Z,165751171726400
"The player ""jean @ QLHzuQRo1C"" quits the game with a stack of 1.28.",2022-07-11T03:55:06.342Z,165751170634201
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""jean @ QLHzuQRo1C"".",2022-07-11T03:55:06.342Z,165751170634200
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 3.26.",2022-07-11T03:54:59.166Z,165751169916601
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Poindexter @ _yf6aQFJyI"".",2022-07-11T03:54:59.166Z,165751169916600
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.58.",2022-07-11T03:10:25.133Z,165750902513300
"The player ""K Godel @ Di5cxDUTF9"" sit back with the stack of 7.58.",2022-07-11T03:10:22.330Z,165750902233000
"The player ""jean @ QLHzuQRo1C"" stand up with the stack of 1.28.",2022-07-11T03:09:22.864Z,165750896286401
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.58.",2022-07-11T03:09:22.864Z,165750896286400
"-- ending hand #127 --",2022-07-11T03:09:13.756Z,165750895375602
"""jean @ QLHzuQRo1C"" collected 0.12 from pot with Two Pair (combination: A♣, A♠, 9♠, 9♦, K♥)",2022-07-11T03:09:13.756Z,165750895375601
"""jean @ QLHzuQRo1C"" shows a A♣, 9♠, J♠, 4♦.",2022-07-11T03:09:13.756Z,165750895375600
"""jean @ QLHzuQRo1C"" checks",2022-07-11T03:09:12.942Z,165750895294200
"""K Godel @ Di5cxDUTF9"" checks",2022-07-11T03:09:11.950Z,165750895195000
"River: 8♦, K♥, 5♦, A♠ [9♦]",2022-07-11T03:09:07.259Z,165750894725900
"""jean @ QLHzuQRo1C"" checks",2022-07-11T03:09:06.341Z,165750894634100
"""K Godel @ Di5cxDUTF9"" checks",2022-07-11T03:09:05.392Z,165750894539200
"Turn: 8♦, K♥, 5♦ [A♠]",2022-07-11T03:08:45.934Z,165750892593400
"""jean @ QLHzuQRo1C"" checks",2022-07-11T03:08:45.080Z,165750892508000
"""K Godel @ Di5cxDUTF9"" checks",2022-07-11T03:08:42.834Z,165750892283400
"Flop:  [8♦, K♥, 5♦]",2022-07-11T03:08:39.523Z,165750891952300
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-07-11T03:08:38.661Z,165750891866100
"""jean @ QLHzuQRo1C"" raises to 0.06",2022-07-11T03:08:35.042Z,165750891504200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-07-11T03:08:19.120Z,165750889912006
"""jean @ QLHzuQRo1C"" posts a small blind of 0.01",2022-07-11T03:08:19.120Z,165750889912005
"Your hand is Q♠, 10♥, 9♥, 10♣",2022-07-11T03:08:19.120Z,165750889912003
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (7.64) | #10 ""jean @ QLHzuQRo1C"" (1.22)",2022-07-11T03:08:19.120Z,165750889912002
"-- starting hand #127  (Pot Limit Omaha Hi) (dealer: ""jean @ QLHzuQRo1C"") --",2022-07-11T03:08:19.120Z,165750889912001
"The player ""TLS33 @ tfHtIxkcZq"" quits the game with a stack of 0.00.",2022-07-11T03:08:19.120Z,165750889912000
"""jean @ QLHzuQRo1C"" shows a 4♠, 2♠, 6♠, J♥.",2022-07-11T03:08:12.526Z,165750889252600
"-- ending hand #126 --",2022-07-11T03:08:09.914Z,165750888991403
"""TLS33 @ tfHtIxkcZq"" shows a Q♥, J♣, 9♠, 2♦.",2022-07-11T03:08:09.914Z,165750888991402
