entry,at,order
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 8.06.",2022-06-27T03:58:49.335Z,165630232933500
"-- ending hand #289 --",2022-06-27T03:58:46.330Z,165630232633002
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-06-27T03:58:46.330Z,165630232633001
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-06-27T03:58:46.330Z,165630232633000
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-06-27T03:58:45.457Z,165630232545700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-27T03:58:30.117Z,165630231011705
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.01",2022-06-27T03:58:30.117Z,165630231011704
"Your hand is 8♥, 3♣, 4♠, J♦",2022-06-27T03:58:30.117Z,165630231011702
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (18.14) | #6 ""Mag Kirwin @ e4MtM50XXb"" (8.07)",2022-06-27T03:58:30.117Z,165630231011701
"-- starting hand #289  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-06-27T03:58:30.117Z,165630231011700
"-- ending hand #288 --",2022-06-27T03:58:23.993Z,165630230399304
"""K Godel @ Di5cxDUTF9"" collected 0.60 from pot with low hand with seven high (combination: A♠, 3♠, 4♠, 6♥, 7♦)",2022-06-27T03:58:23.993Z,165630230399303
"""K Godel @ Di5cxDUTF9"" shows a 3♠, J♠, A♠, 4♥.",2022-06-27T03:58:23.993Z,165630230399302
"""Mag Kirwin @ e4MtM50XXb"" collected 0.60 from pot with hi hand with two pair queens and sevens (combination: J♦, 7♦, 7♠, Q♦, Q♠)",2022-06-27T03:58:23.993Z,165630230399301
"""Mag Kirwin @ e4MtM50XXb"" shows a Q♦, 8♣, Q♠, 8♠.",2022-06-27T03:58:23.993Z,165630230399300
"""Mag Kirwin @ e4MtM50XXb"" calls 0.30",2022-06-27T03:58:23.146Z,165630230314600
"""K Godel @ Di5cxDUTF9"" bets 0.30",2022-06-27T03:58:17.197Z,165630229719700
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-06-27T03:58:12.412Z,165630229241200
"River: 6♥, 7♦, 4♠, J♦ [7♠]",2022-06-27T03:58:08.705Z,165630228870500
"""Mag Kirwin @ e4MtM50XXb"" calls 0.18",2022-06-27T03:58:07.872Z,165630228787200
"""K Godel @ Di5cxDUTF9"" bets 0.18",2022-06-27T03:57:59.222Z,165630227922200
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-06-27T03:57:54.739Z,165630227473900
"Turn: 6♥, 7♦, 4♠ [J♦]",2022-06-27T03:57:51.372Z,165630227137200
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-27T03:57:50.493Z,165630227049300
"""Mag Kirwin @ e4MtM50XXb"" bets 0.06",2022-06-27T03:57:39.775Z,165630225977500
"Flop:  [6♥, 7♦, 4♠]",2022-06-27T03:57:27.553Z,165630224755300
