entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 16.29.",2022-05-30T03:36:38.963Z,165388179896300
"""K Godel @ Di5cxDUTF9"" shows a J♦, 5♠, 2♦, K♥.",2022-05-30T03:36:18.450Z,165388177845000
"-- ending hand #224 --",2022-05-30T03:36:16.454Z,165388177645402
"""K Godel @ Di5cxDUTF9"" collected 6.48 from pot",2022-05-30T03:36:16.454Z,165388177645401
"Uncalled bet of 0.86 returned to ""K Godel @ Di5cxDUTF9""",2022-05-30T03:36:16.454Z,165388177645400
"""Poindexter @ _yf6aQFJyI"" folds",2022-05-30T03:36:15.605Z,165388177560500
"""K Godel @ Di5cxDUTF9"" bets 0.86",2022-05-30T03:36:13.144Z,165388177314400
"""Poindexter @ _yf6aQFJyI"" checks",2022-05-30T03:36:09.336Z,165388176933600
"River: 6♥, 10♣, Q♥, A♣ [2♠]",2022-05-30T03:36:02.355Z,165388176235500
"""Poindexter @ _yf6aQFJyI"" calls 2.88",2022-05-30T03:36:01.463Z,165388176146300
"""K Godel @ Di5cxDUTF9"" raises to 2.88",2022-05-30T03:35:58.464Z,165388175846400
"""Poindexter @ _yf6aQFJyI"" bets 0.72",2022-05-30T03:35:50.081Z,165388175008100
"Turn: 6♥, 10♣, Q♥ [A♣]",2022-05-30T03:35:42.626Z,165388174262600
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-05-30T03:35:41.752Z,165388174175200
"""Poindexter @ _yf6aQFJyI"" bets 0.18",2022-05-30T03:35:38.176Z,165388173817600
"Flop:  [6♥, 10♣, Q♥]",2022-05-30T03:35:32.513Z,165388173251300
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-05-30T03:35:31.635Z,165388173163500
"""Poindexter @ _yf6aQFJyI"" raises to 0.18",2022-05-30T03:35:29.412Z,165388172941200
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-05-30T03:35:26.602Z,165388172660200
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-05-30T03:35:21.701Z,165388172170105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-30T03:35:21.701Z,165388172170104
"Your hand is J♦, 5♠, 2♦, K♥",2022-05-30T03:35:21.701Z,165388172170103
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (4.10) | #2 ""K Godel @ Di5cxDUTF9"" (13.05)",2022-05-30T03:35:21.701Z,165388172170101
"-- starting hand #224  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-30T03:35:21.701Z,165388172170100
"-- ending hand #223 --",2022-05-30T03:35:18.710Z,165388171871002
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-05-30T03:35:18.710Z,165388171871001
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-05-30T03:35:18.710Z,165388171871000
"""Poindexter @ _yf6aQFJyI"" folds",2022-05-30T03:35:17.821Z,165388171782100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-30T03:35:15.107Z,165388171510705
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-05-30T03:35:15.107Z,165388171510704
"Your hand is 3♣, 6♥, A♠, 9♥",2022-05-30T03:35:15.107Z,165388171510703
