entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 166.14.",2022-06-25T05:36:28.602Z,165613538860200
"""K Godel @ Di5cxDUTF9"" shows a 4♦, 9♥, 8♥, 6♣.",2022-06-25T05:36:26.052Z,165613538605200
"-- ending hand #193 --",2022-06-25T05:36:24.991Z,165613538499102
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot",2022-06-25T05:36:24.991Z,165613538499101
"Uncalled bet of 0.75 returned to ""K Godel @ Di5cxDUTF9""",2022-06-25T05:36:24.991Z,165613538499100
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-25T05:36:24.103Z,165613538410300
"""K Godel @ Di5cxDUTF9"" bets 0.75",2022-06-25T05:36:21.552Z,165613538155200
"Turn: 7♣, 6♥, 7♦ [10♥]",2022-06-25T05:36:13.685Z,165613537368500
"""Deckhole @ _yf6aQFJyI"" checks",2022-06-25T05:36:12.816Z,165613537281600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-25T05:36:09.409Z,165613536940900
"Flop:  [7♣, 6♥, 7♦]",2022-06-25T05:36:05.080Z,165613536508000
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-06-25T05:36:04.205Z,165613536420500
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-06-25T05:35:56.624Z,165613535662400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-06-25T05:35:45.070Z,165613534507006
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-06-25T05:35:45.070Z,165613534507005
"Your hand is 4♦, 9♥, 8♥, 6♣",2022-06-25T05:35:45.070Z,165613534507003
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (165.39) | #2 ""Deckhole @ _yf6aQFJyI"" (122.18)",2022-06-25T05:35:45.070Z,165613534507002
"-- starting hand #193  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-06-25T05:35:45.070Z,165613534507001
"The player ""TLS33 @ tfHtIxkcZq"" quits the game with a stack of 0.00.",2022-06-25T05:35:45.070Z,165613534507000
"-- ending hand #192 --",2022-06-25T05:35:38.974Z,165613533897403
"""TLS33 @ tfHtIxkcZq"" shows a 5♥, 8♦, A♥, 6♠.",2022-06-25T05:35:38.974Z,165613533897402
"""K Godel @ Di5cxDUTF9"" collected 86.41 from pot with Three of a Kind (combination: K♣, K♦, K♥, 9♥, 8♠)",2022-06-25T05:35:38.974Z,165613533897401
"""K Godel @ Di5cxDUTF9"" shows a K♣, K♦, J♠, Q♦.",2022-06-25T05:35:38.974Z,165613533897400
"""K Godel @ Di5cxDUTF9"" calls 24.11",2022-06-25T05:35:38.104Z,165613533810400
"""TLS33 @ tfHtIxkcZq"" bets 24.11 and go all in",2022-06-25T05:35:18.054Z,165613531805400
"River: 9♥, K♥, 6♣, 2♦ [8♠]",2022-06-25T05:35:00.742Z,165613530074200
"""TLS33 @ tfHtIxkcZq"" calls 15.91",2022-06-25T05:34:59.898Z,165613529989800
"""K Godel @ Di5cxDUTF9"" raises to 15.91",2022-06-25T05:34:53.478Z,165613529347800
"""TLS33 @ tfHtIxkcZq"" bets 3.18",2022-06-25T05:34:40.692Z,165613528069200
"Turn: 9♥, K♥, 6♣ [2♦]",2022-06-25T05:34:33.425Z,165613527342500
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-25T05:34:32.602Z,165613527260200
"""K Godel @ Di5cxDUTF9"" calls 1.91",2022-06-25T05:34:26.683Z,165613526668300
"""TLS33 @ tfHtIxkcZq"" bets 1.91",2022-06-25T05:34:18.875Z,165613525887500
"""Deckhole @ _yf6aQFJyI"" checks",2022-06-25T05:34:10.630Z,165613525063000
"Flop:  [9♥, K♥, 6♣]",2022-06-25T05:34:07.207Z,165613524720700
"""TLS33 @ tfHtIxkcZq"" calls 0.85",2022-06-25T05:34:06.330Z,165613524633000
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-06-25T05:34:03.409Z,165613524340900
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-06-25T05:33:52.132Z,165613523213200
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 0.25",2022-06-25T05:33:41.980Z,165613522198006
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-06-25T05:33:41.980Z,165613522198005
"Your hand is K♣, K♦, J♠, Q♦",2022-06-25T05:33:41.980Z,165613522198002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (121.76) | #2 ""Deckhole @ _yf6aQFJyI"" (123.03) | #6 ""TLS33 @ tfHtIxkcZq"" (42.78)",2022-06-25T05:33:41.980Z,165613522198001
"-- starting hand #192  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-25T05:33:41.980Z,165613522198000
"""TLS33 @ tfHtIxkcZq"" shows a 4♣, J♦, J♠, 8♦.",2022-06-25T05:33:37.101Z,165613521710100
"-- ending hand #191 --",2022-06-25T05:33:35.379Z,165613521537902
"""Deckhole @ _yf6aQFJyI"" collected 10.17 from pot with One Pair (combination: K♠, K♦, Q♦, 10♣, 6♥)",2022-06-25T05:33:35.379Z,165613521537901
"""Deckhole @ _yf6aQFJyI"" shows a Q♦, 5♦, 9♦, K♠.",2022-06-25T05:33:35.379Z,165613521537900
"""TLS33 @ tfHtIxkcZq"" checks",2022-06-25T05:33:34.538Z,165613521453800
"""Deckhole @ _yf6aQFJyI"" checks",2022-06-25T05:33:32.134Z,165613521213400
"River: K♦, 10♣, 4♦, 2♠ [6♥]",2022-06-25T05:33:20.361Z,165613520036100
"""TLS33 @ tfHtIxkcZq"" calls 2.54",2022-06-25T05:33:19.478Z,165613519947800
"""Deckhole @ _yf6aQFJyI"" bets 2.54",2022-06-25T05:33:12.545Z,165613519254500
"Turn: K♦, 10♣, 4♦ [2♠]",2022-06-25T05:32:56.944Z,165613517694400
"""K Godel @ Di5cxDUTF9"" folds",2022-06-25T05:32:56.060Z,165613517606000
"""TLS33 @ tfHtIxkcZq"" calls 1.27",2022-06-25T05:32:26.842Z,165613514684200
"""Deckhole @ _yf6aQFJyI"" bets 1.27",2022-06-25T05:32:18.693Z,165613513869300
"""K Godel @ Di5cxDUTF9"" checks",2022-06-25T05:32:13.924Z,165613513392400
"Flop:  [K♦, 10♣, 4♦]",2022-06-25T05:32:00.507Z,165613512050700
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-06-25T05:31:59.604Z,165613511960400
"""K Godel @ Di5cxDUTF9"" calls 0.85",2022-06-25T05:31:48.938Z,165613510893800
"""TLS33 @ tfHtIxkcZq"" raises to 0.85",2022-06-25T05:31:32.404Z,165613509240400
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-06-25T05:31:27.090Z,165613508709006
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-06-25T05:31:27.090Z,165613508709005
"Your hand is K♣, A♠, J♥, 4♠",2022-06-25T05:31:27.090Z,165613508709002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (122.61) | #2 ""Deckhole @ _yf6aQFJyI"" (117.52) | #6 ""TLS33 @ tfHtIxkcZq"" (47.44)",2022-06-25T05:31:27.090Z,165613508709001
"-- starting hand #191  (Pot Limit Omaha Hi) (dealer: ""TLS33 @ tfHtIxkcZq"") --",2022-06-25T05:31:27.090Z,165613508709000
"-- ending hand #190 --",2022-06-25T05:31:21.167Z,165613508116702
"""Deckhole @ _yf6aQFJyI"" collected 5.59 from pot",2022-06-25T05:31:21.167Z,165613508116701
"Uncalled bet of 3.54 returned to ""Deckhole @ _yf6aQFJyI""",2022-06-25T05:31:21.167Z,165613508116700
"""TLS33 @ tfHtIxkcZq"" folds",2022-06-25T05:31:20.329Z,165613508032900
"""Deckhole @ _yf6aQFJyI"" bets 3.54",2022-06-25T05:31:02.154Z,165613506215400
"""TLS33 @ tfHtIxkcZq"" checks",2022-06-25T05:30:56.606Z,165613505660600
"Turn: 9♠, 5♥, 2♣ [K♠]",2022-06-25T05:30:52.255Z,165613505225500
"""K Godel @ Di5cxDUTF9"" folds",2022-06-25T05:30:51.371Z,165613505137100
"""TLS33 @ tfHtIxkcZq"" calls 1.52",2022-06-25T05:30:50.422Z,165613505042200
"""Deckhole @ _yf6aQFJyI"" bets 1.52",2022-06-25T05:30:46.296Z,165613504629600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-25T05:30:41.406Z,165613504140600
"""TLS33 @ tfHtIxkcZq"" checks",2022-06-25T05:30:39.106Z,165613503910600
"Flop:  [9♠, 5♥, 2♣]",2022-06-25T05:30:33.522Z,165613503352200
"""K Godel @ Di5cxDUTF9"" calls 0.85",2022-06-25T05:30:32.651Z,165613503265100
"""TLS33 @ tfHtIxkcZq"" calls 0.85",2022-06-25T05:30:28.676Z,165613502867600
"""Deckhole @ _yf6aQFJyI"" raises to 0.85",2022-06-25T05:30:25.823Z,165613502582300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-06-25T05:30:22.836Z,165613502283606
"""TLS33 @ tfHtIxkcZq"" posts a small blind of 0.10",2022-06-25T05:30:22.836Z,165613502283605
"Your hand is 10♥, 8♠, 3♦, 10♣",2022-06-25T05:30:22.836Z,165613502283602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (123.46) | #2 ""Deckhole @ _yf6aQFJyI"" (114.30) | #6 ""TLS33 @ tfHtIxkcZq"" (49.81)",2022-06-25T05:30:22.836Z,165613502283601
"-- starting hand #190  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-06-25T05:30:22.836Z,165613502283600
"""TLS33 @ tfHtIxkcZq"" shows a 8♦, 9♣.",2022-06-25T05:30:17.172Z,165613501717200
"-- ending hand #189 --",2022-06-25T05:30:16.112Z,165613501611202
"""TLS33 @ tfHtIxkcZq"" collected 1.50 from pot",2022-06-25T05:30:16.112Z,165613501611201
"Uncalled bet of 0.75 returned to ""TLS33 @ tfHtIxkcZq""",2022-06-25T05:30:16.112Z,165613501611200
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-25T05:30:15.254Z,165613501525400
"""TLS33 @ tfHtIxkcZq"" bets 0.75",2022-06-25T05:30:12.831Z,165613501283100
"""Deckhole @ _yf6aQFJyI"" checks",2022-06-25T05:30:02.801Z,165613500280100
"Flop:  [7♠, 9♥, A♣]",2022-06-25T05:29:58.768Z,165613499876800
"""TLS33 @ tfHtIxkcZq"" calls 0.75",2022-06-25T05:29:57.951Z,165613499795100
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-06-25T05:29:55.847Z,165613499584700
"""K Godel @ Di5cxDUTF9"" folds",2022-06-25T05:29:40.395Z,165613498039500
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 0.25",2022-06-25T05:29:19.734Z,165613495973406
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-06-25T05:29:19.734Z,165613495973405
"Your hand is 9♠, 5♣",2022-06-25T05:29:19.734Z,165613495973402
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (123.46) | #2 ""Deckhole @ _yf6aQFJyI"" (115.05) | #6 ""TLS33 @ tfHtIxkcZq"" (49.06)",2022-06-25T05:29:19.734Z,165613495973401
"-- starting hand #189  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-25T05:29:19.734Z,165613495973400
