entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 23.00.",2023-01-09T05:12:50.951Z,167324117095100
"The player ""Mircra4 @ OCyfHJNqgQ"" quits the game with a stack of 0.00.",2023-01-09T05:09:06.298Z,167324094629800
"-- ending hand #196 --",2023-01-09T05:08:58.290Z,167324093829002
"""Deckhole @ 3URETjsK60"" collected 6.55 from pot with Pair, 7's on the second run  (combination: 7♥, 7♣, A♣, K♣, 10♥)",2023-01-09T05:08:58.290Z,167324093829001
"""Deckhole @ 3URETjsK60"" collected 6.55 from pot with Full House, 7's over A's (combination: 7♥, 7♣, 7♠, A♦, A♠)",2023-01-09T05:08:58.290Z,167324093829000
"River (second run): 8♦, A♣, 10♥, 4♦ [K♣]",2023-01-09T05:08:54.284Z,167324093428400
"Turn (second run): 8♦, A♣, 10♥ [4♦]",2023-01-09T05:08:50.221Z,167324093022100
"Flop (second run):  [8♦, A♣, 10♥]",2023-01-09T05:08:46.204Z,167324092620400
"River: A♦, 7♠, 6♥, A♠ [3♦]",2023-01-09T05:08:42.195Z,167324092219500
"Turn: A♦, 7♠, 6♥ [A♠]",2023-01-09T05:08:38.187Z,167324091818700
"Flop:  [A♦, 7♠, 6♥]",2023-01-09T05:08:34.178Z,167324091417800
"""Mircra4 @ OCyfHJNqgQ"" shows a 9♥, J♣.",2023-01-09T05:08:30.088Z,167324091008801
"""Deckhole @ 3URETjsK60"" shows a 7♥, 7♣.",2023-01-09T05:08:30.088Z,167324091008800
"All players in hand choose to run it twice.",2023-01-09T05:08:29.224Z,167324090922401
"""Mircra4 @ OCyfHJNqgQ"" chooses to  run it twice.",2023-01-09T05:08:29.224Z,167324090922400
"""Deckhole @ 3URETjsK60"" chooses to  run it twice.",2023-01-09T05:08:26.441Z,167324090644100
"Remaining players decide whether to run it twice.",2023-01-09T05:08:24.518Z,167324090451801
"""Mircra4 @ OCyfHJNqgQ"" calls 6.55 and go all in",2023-01-09T05:08:24.518Z,167324090451800
"""Deckhole @ 3URETjsK60"" raises to 6.55",2023-01-09T05:08:22.421Z,167324090242100
"""Mircra4 @ OCyfHJNqgQ"" raises to 1.00",2023-01-09T05:08:17.960Z,167324089796000
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-09T05:08:12.482Z,167324089248205
"""Mircra4 @ OCyfHJNqgQ"" posts a small blind of 0.10",2023-01-09T05:08:12.482Z,167324089248204
"Player stacks: #6 ""Deckhole @ 3URETjsK60"" (89.61) | #10 ""Mircra4 @ OCyfHJNqgQ"" (6.55)",2023-01-09T05:08:12.482Z,167324089248201
"-- starting hand #196 (id: srfrxhjtexcm)  (No Limit Texas Hold'em) (dealer: ""Mircra4 @ OCyfHJNqgQ"") --",2023-01-09T05:08:12.482Z,167324089248200
"-- ending hand #195 --",2023-01-09T05:08:09.561Z,167324088956102
"""Mircra4 @ OCyfHJNqgQ"" collected 0.20 from pot",2023-01-09T05:08:09.561Z,167324088956101
"Uncalled bet of 0.15 returned to ""Mircra4 @ OCyfHJNqgQ""",2023-01-09T05:08:09.561Z,167324088956100
"""Deckhole @ 3URETjsK60"" folds",2023-01-09T05:08:08.685Z,167324088868500
"""Mircra4 @ OCyfHJNqgQ"" posts a big blind of 0.25",2023-01-09T05:08:07.077Z,167324088707705
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-09T05:08:07.077Z,167324088707704
"Player stacks: #6 ""Deckhole @ 3URETjsK60"" (89.71) | #10 ""Mircra4 @ OCyfHJNqgQ"" (6.45)",2023-01-09T05:08:07.077Z,167324088707701
"-- starting hand #195 (id: 1sfqxoe93ri9)  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-09T05:08:07.077Z,167324088707700
"-- ending hand #194 --",2023-01-09T05:08:04.160Z,167324088416002
"""Deckhole @ 3URETjsK60"" collected 2.24 from pot",2023-01-09T05:08:04.160Z,167324088416001
"Uncalled bet of 6.45 returned to ""Deckhole @ 3URETjsK60""",2023-01-09T05:08:04.160Z,167324088416000
"""Mircra4 @ OCyfHJNqgQ"" folds",2023-01-09T05:08:03.353Z,167324088335300
"""Deckhole @ 3URETjsK60"" bets 6.45",2023-01-09T05:08:01.745Z,167324088174500
"River: Q♠, 4♣, 5♥, 10♦ [3♠]",2023-01-09T05:07:55.349Z,167324087534900
"""Mircra4 @ OCyfHJNqgQ"" checks",2023-01-09T05:07:54.542Z,167324087454200
"""Deckhole @ 3URETjsK60"" checks",2023-01-09T05:07:51.597Z,167324087159700
"Turn: Q♠, 4♣, 5♥ [10♦]",2023-01-09T05:07:49.944Z,167324086994400
"""Deckhole @ 3URETjsK60"" calls 0.50",2023-01-09T05:07:49.138Z,167324086913800
"""Mircra4 @ OCyfHJNqgQ"" bets 0.50",2023-01-09T05:07:46.222Z,167324086622200
"""Deckhole @ 3URETjsK60"" checks",2023-01-09T05:07:40.839Z,167324086083900
"Flop:  [Q♠, 4♣, 5♥]",2023-01-09T05:07:38.182Z,167324085818200
"""Deckhole @ 3URETjsK60"" calls 0.62",2023-01-09T05:07:37.363Z,167324085736300
