entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-02-28T05:22:57.185Z,164602577718500
"-- ending hand #227 --",2022-02-28T05:22:48.170Z,164602576817003
"""Malarkey @ Ia-cNlUwV8"" shows a K♦, 6♠.",2022-02-28T05:22:48.170Z,164602576817002
"""Jean @ IR5E81bjnF"" collected 7.14 from pot with Full House, 4's over 8's (combination: 4♣, 4♥, 4♦, 8♠, 8♣)",2022-02-28T05:22:48.170Z,164602576817001
"""Jean @ IR5E81bjnF"" shows a 8♠, 4♣.",2022-02-28T05:22:48.170Z,164602576817000
"""Malarkey @ Ia-cNlUwV8"" calls 3.03 and go all in",2022-02-28T05:22:47.322Z,164602576732200
"""Jean @ IR5E81bjnF"" bets 3.03 and go all in",2022-02-28T05:22:45.676Z,164602576567600
"River: 4♥, 4♦, K♠, 8♣ [7♦]",2022-02-28T05:22:39.673Z,164602575967300
"""Malarkey @ Ia-cNlUwV8"" calls 0.36",2022-02-28T05:22:38.775Z,164602575877500
"""Jean @ IR5E81bjnF"" bets 0.36",2022-02-28T05:22:37.161Z,164602575716100
"Turn: 4♥, 4♦, K♠ [8♣]",2022-02-28T05:22:31.690Z,164602575169000
"""Malarkey @ Ia-cNlUwV8"" calls 0.12",2022-02-28T05:22:30.873Z,164602575087300
"""Jean @ IR5E81bjnF"" bets 0.12",2022-02-28T05:22:29.196Z,164602574919600
"Flop:  [4♥, 4♦, K♠]",2022-02-28T05:22:23.654Z,164602574365400
"""Jean @ IR5E81bjnF"" calls 0.06",2022-02-28T05:22:22.791Z,164602574279100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-02-28T05:22:19.677Z,164602573967700
"""Jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-02-28T05:22:15.275Z,164602573527505
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-02-28T05:22:15.275Z,164602573527504
"Player stacks: #2 ""Malarkey @ Ia-cNlUwV8"" (3.57) | #6 ""Jean @ IR5E81bjnF"" (11.68)",2022-02-28T05:22:15.275Z,164602573527501
"-- starting hand #227  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-02-28T05:22:15.275Z,164602573527500
"""Jean @ IR5E81bjnF"" shows a 6♠, 2♠.",2022-02-28T05:22:12.684Z,164602573268400
"-- ending hand #226 --",2022-02-28T05:22:11.606Z,164602573160602
"""Jean @ IR5E81bjnF"" collected 0.08 from pot",2022-02-28T05:22:11.606Z,164602573160601
"Uncalled bet of 0.02 returned to ""Jean @ IR5E81bjnF""",2022-02-28T05:22:11.606Z,164602573160600
"""Malarkey @ Ia-cNlUwV8"" folds",2022-02-28T05:22:10.710Z,164602573071000
"""Jean @ IR5E81bjnF"" bets 0.02",2022-02-28T05:22:09.130Z,164602572913000
"""Malarkey @ Ia-cNlUwV8"" checks",2022-02-28T05:22:06.114Z,164602572611400
"Flop:  [J♣, 7♦, 6♣]",2022-02-28T05:22:04.583Z,164602572458300
"""Malarkey @ Ia-cNlUwV8"" calls 0.04",2022-02-28T05:22:03.717Z,164602572371700
