entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 50.46.",2022-08-06T05:34:27.525Z,165976406752500
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 115.60.",2022-08-06T05:34:12.602Z,165976405260201
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-08-06T05:34:12.602Z,165976405260200
"The player ""jean @ QLHzuQRo1C"" quits the game with a stack of 53.94.",2022-08-06T05:34:02.883Z,165976404288301
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""jean @ QLHzuQRo1C"".",2022-08-06T05:34:02.883Z,165976404288300
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 50.46.",2022-08-06T05:21:04.422Z,165976326442200
"-- ending hand #212 --",2022-08-06T05:21:01.491Z,165976326149102
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-08-06T05:21:01.491Z,165976326149101
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-08-06T05:21:01.491Z,165976326149100
"""K Godel @ TN11URmFSv"" folds",2022-08-06T05:21:00.641Z,165976326064100
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-08-06T05:20:49.539Z,165976324953905
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-08-06T05:20:49.539Z,165976324953904
"Your hand is 4♣, 3♣",2022-08-06T05:20:49.539Z,165976324953903
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (115.50) | #9 ""K Godel @ TN11URmFSv"" (50.56)",2022-08-06T05:20:49.539Z,165976324953901
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-08-06T05:20:49.539Z,165976324953900
"""K Godel @ TN11URmFSv"" shows a Q♠, 9♠.",2022-08-06T05:20:48.212Z,165976324821200
"-- ending hand #211 --",2022-08-06T05:20:45.882Z,165976324588202
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-08-06T05:20:45.882Z,165976324588201
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-08-06T05:20:45.882Z,165976324588200
"""Deckhole @ 3URETjsK60"" folds",2022-08-06T05:20:45.029Z,165976324502900
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-08-06T05:20:42.009Z,165976324200905
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-08-06T05:20:42.009Z,165976324200904
"Your hand is Q♠, 9♠",2022-08-06T05:20:42.009Z,165976324200903
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (115.60) | #9 ""K Godel @ TN11URmFSv"" (50.46)",2022-08-06T05:20:42.009Z,165976324200901
"-- starting hand #211  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-08-06T05:20:42.009Z,165976324200900
"""K Godel @ TN11URmFSv"" shows a 10♠, 3♠.",2022-08-06T05:20:38.685Z,165976323868500
"""Deckhole @ 3URETjsK60"" shows a K♥, 4♥.",2022-08-06T05:20:38.378Z,165976323837800
"-- ending hand #210 --",2022-08-06T05:20:37.673Z,165976323767302
"""K Godel @ TN11URmFSv"" collected 3.00 from pot",2022-08-06T05:20:37.673Z,165976323767301
"Uncalled bet of 1.50 returned to ""K Godel @ TN11URmFSv""",2022-08-06T05:20:37.673Z,165976323767300
"""Deckhole @ 3URETjsK60"" folds",2022-08-06T05:20:36.850Z,165976323685000
"""K Godel @ TN11URmFSv"" bets 1.50",2022-08-06T05:20:19.652Z,165976321965200
"""Deckhole @ 3URETjsK60"" checks",2022-08-06T05:20:15.433Z,165976321543300
"Turn: 5♠, 10♥, 4♠ [7♣]",2022-08-06T05:20:13.300Z,165976321330000
"""Deckhole @ 3URETjsK60"" calls 0.75",2022-08-06T05:20:12.468Z,165976321246800
"""K Godel @ TN11URmFSv"" bets 0.75",2022-08-06T05:20:11.010Z,165976321101000
"""Deckhole @ 3URETjsK60"" checks",2022-08-06T05:20:05.763Z,165976320576300
"Flop:  [5♠, 10♥, 4♠]",2022-08-06T05:20:03.694Z,165976320369400
"""Deckhole @ 3URETjsK60"" calls 0.75",2022-08-06T05:20:02.881Z,165976320288100
