entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 152.42.",2022-10-29T05:44:22.258Z,166702226225800
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 273.60.",2022-10-29T05:44:08.316Z,166702224831601
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-10-29T05:44:08.316Z,166702224831600
"The player ""lynn @ YMhIHFu1Cm"" quits the game with a stack of 99.78.",2022-10-29T05:44:02.730Z,166702224273001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""lynn @ YMhIHFu1Cm"".",2022-10-29T05:44:02.730Z,166702224273000
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 24.55.",2022-10-29T05:43:58.240Z,166702223824001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-10-29T05:43:58.240Z,166702223824000
"The player ""lynn @ YMhIHFu1Cm"" stand up with the stack of 99.78.",2022-10-29T05:35:57.386Z,166702175738600
"-- ending hand #212 --",2022-10-29T05:35:54.384Z,166702175438402
"""Jean @ QLHzuQRo1C"" collected 0.20 from pot",2022-10-29T05:35:54.384Z,166702175438401
"Uncalled bet of 0.15 returned to ""Jean @ QLHzuQRo1C""",2022-10-29T05:35:54.384Z,166702175438400
"""lynn @ YMhIHFu1Cm"" folds",2022-10-29T05:35:53.481Z,166702175348101
"The admin ""K Godel @ TN11URmFSv"" forced the player ""lynn @ YMhIHFu1Cm"" to away mode in the next hand.",2022-10-29T05:35:53.481Z,166702175348100
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2022-10-29T05:35:22.261Z,166702172226105
"""lynn @ YMhIHFu1Cm"" posts a small blind of 0.10",2022-10-29T05:35:22.261Z,166702172226104
"Player stacks: #7 ""Jean @ QLHzuQRo1C"" (24.45) | #10 ""lynn @ YMhIHFu1Cm"" (99.88)",2022-10-29T05:35:22.261Z,166702172226101
"-- starting hand #212  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ YMhIHFu1Cm"") --",2022-10-29T05:35:22.261Z,166702172226100
"-- ending hand #211 --",2022-10-29T05:35:19.261Z,166702171926102
"""lynn @ YMhIHFu1Cm"" collected 0.20 from pot",2022-10-29T05:35:19.261Z,166702171926101
"Uncalled bet of 0.15 returned to ""lynn @ YMhIHFu1Cm""",2022-10-29T05:35:19.261Z,166702171926100
"""Jean @ QLHzuQRo1C"" folds",2022-10-29T05:35:18.392Z,166702171839200
"""lynn @ YMhIHFu1Cm"" posts a big blind of 0.25",2022-10-29T05:35:05.254Z,166702170525407
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2022-10-29T05:35:05.254Z,166702170525406
"Player stacks: #7 ""Jean @ QLHzuQRo1C"" (24.55) | #10 ""lynn @ YMhIHFu1Cm"" (99.78)",2022-10-29T05:35:05.254Z,166702170525403
"-- starting hand #211  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Jean @ QLHzuQRo1C"") --",2022-10-29T05:35:05.254Z,166702170525402
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 152.42.",2022-10-29T05:35:05.254Z,166702170525401
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 273.60.",2022-10-29T05:35:05.254Z,166702170525400
"-- ending hand #210 --",2022-10-29T05:35:02.333Z,166702170233302
"""K Godel @ TN11URmFSv"" collected 1.50 from pot",2022-10-29T05:35:02.333Z,166702170233301
"Uncalled bet of 1.50 returned to ""K Godel @ TN11URmFSv""",2022-10-29T05:35:02.333Z,166702170233300
"""Jean @ QLHzuQRo1C"" folds",2022-10-29T05:35:01.491Z,166702170149100
"""K Godel @ TN11URmFSv"" bets 1.50",2022-10-29T05:34:53.257Z,166702169325700
"Turn: 2♥, 2♦, 2♠ [7♦]",2022-10-29T05:34:48.120Z,166702168812000
"""Jean @ QLHzuQRo1C"" checks",2022-10-29T05:34:47.265Z,166702168726500
"""K Godel @ TN11URmFSv"" checks",2022-10-29T05:34:44.724Z,166702168472400
"Flop:  [2♥, 2♦, 2♠]",2022-10-29T05:34:41.116Z,166702168111600
"""Jean @ QLHzuQRo1C"" calls 0.75",2022-10-29T05:34:40.220Z,166702168022000
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-10-29T05:34:35.783Z,166702167578300
"""lynn @ YMhIHFu1Cm"" folds",2022-10-29T05:34:27.210Z,166702166721000
"""Deckhole @ 3URETjsK60"" folds",2022-10-29T05:33:56.262Z,166702163626200
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2022-10-29T05:33:51.282Z,166702163128207
