entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 79.21.",2022-09-03T08:55:38.673Z,166219533867300
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 101.69.",2022-09-03T08:52:36.283Z,166219515628300
"The player ""Malarkey @ Ia-cNlUwV8"" stand up with the stack of 101.69.",2022-09-03T08:52:01.732Z,166219512173200
"-- ending hand #479 --",2022-09-03T08:51:58.733Z,166219511873302
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-09-03T08:51:58.733Z,166219511873301
"Uncalled bet of 0.50 returned to ""K Godel @ TN11URmFSv""",2022-09-03T08:51:58.733Z,166219511873300
"""Malarkey @ Ia-cNlUwV8"" folds",2022-09-03T08:51:57.830Z,166219511783000
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-09-03T08:51:55.078Z,166219511507800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-09-03T08:51:33.799Z,166219509379905
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-03T08:51:33.799Z,166219509379904
"Your hand is 9♦, K♠, 8♣, 8♥",2022-09-03T08:51:33.799Z,166219509379903
"Player stacks: #3 ""Malarkey @ Ia-cNlUwV8"" (101.94) | #6 ""K Godel @ TN11URmFSv"" (78.96)",2022-09-03T08:51:33.799Z,166219509379901
"-- starting hand #479  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-09-03T08:51:33.799Z,166219509379900
"-- ending hand #478 --",2022-09-03T08:51:27.795Z,166219508779503
"""K Godel @ TN11URmFSv"" shows a 2♠, 8♠, K♠, 7♦.",2022-09-03T08:51:27.795Z,166219508779502
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot with High Card (combination: A♣, K♥, Q♦, 10♣, 9♠)",2022-09-03T08:51:27.795Z,166219508779501
"""Malarkey @ Ia-cNlUwV8"" shows a 10♣, 8♥, K♥, 2♣.",2022-09-03T08:51:27.795Z,166219508779500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-09-03T08:51:26.909Z,166219508690900
"""K Godel @ TN11URmFSv"" checks",2022-09-03T08:51:23.645Z,166219508364500
"River: 4♦, Q♦, 5♥, A♣ [9♠]",2022-09-03T08:51:10.291Z,166219507029100
"""Malarkey @ Ia-cNlUwV8"" checks",2022-09-03T08:51:09.392Z,166219506939200
"""K Godel @ TN11URmFSv"" checks",2022-09-03T08:51:02.483Z,166219506248300
"Turn: 4♦, Q♦, 5♥ [A♣]",2022-09-03T08:50:56.479Z,166219505647900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-09-03T08:50:55.570Z,166219505557000
"""K Godel @ TN11URmFSv"" checks",2022-09-03T08:50:40.318Z,166219504031800
"Flop:  [4♦, Q♦, 5♥]",2022-09-03T08:50:37.142Z,166219503714200
"""K Godel @ TN11URmFSv"" calls 0.75",2022-09-03T08:50:36.270Z,166219503627000
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-09-03T08:50:34.679Z,166219503467900
