entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 77.23.",2022-09-25T07:52:17.127Z,166409233712700
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 329.12.",2022-09-25T07:52:05.873Z,166409232587301
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-09-25T07:52:05.873Z,166409232587300
"The player ""Mag Kirwin @ e4MtM50XXb"" quits the game with a stack of 365.52.",2022-09-25T07:50:59.302Z,166409225930201
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mag Kirwin @ e4MtM50XXb"".",2022-09-25T07:50:59.302Z,166409225930200
"The player ""scott @ nj_yF1nN56"" quits the game with a stack of 31.10.",2022-09-25T07:50:49.807Z,166409224980701
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""scott @ nj_yF1nN56"".",2022-09-25T07:50:49.807Z,166409224980700
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 365.52.",2022-09-25T07:36:59.300Z,166409141930000
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 77.23.",2022-09-25T07:36:58.778Z,166409141877800
"-- ending hand #312 --",2022-09-25T07:36:55.849Z,166409141584902
"""Mag Kirwin @ e4MtM50XXb"" collected 0.20 from pot",2022-09-25T07:36:55.849Z,166409141584901
"Uncalled bet of 0.15 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-09-25T07:36:55.849Z,166409141584900
"""K Godel @ TN11URmFSv"" folds",2022-09-25T07:36:54.990Z,166409141499000
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2022-09-25T07:36:49.165Z,166409140916506
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-25T07:36:49.165Z,166409140916505
"Your hand is 4♠, 10♥",2022-09-25T07:36:49.165Z,166409140916503
"Player stacks: #6 ""K Godel @ TN11URmFSv"" (77.33) | #10 ""Mag Kirwin @ e4MtM50XXb"" (365.42)",2022-09-25T07:36:49.165Z,166409140916502
"-- starting hand #312  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-09-25T07:36:49.165Z,166409140916501
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 329.12.",2022-09-25T07:36:49.165Z,166409140916500
"-- ending hand #311 --",2022-09-25T07:36:46.244Z,166409140624402
"""Mag Kirwin @ e4MtM50XXb"" collected 0.20 from pot",2022-09-25T07:36:46.244Z,166409140624401
"Uncalled bet of 0.15 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-09-25T07:36:46.244Z,166409140624400
"""K Godel @ TN11URmFSv"" folds",2022-09-25T07:36:45.410Z,166409140541000
"""Deckhole @ 3URETjsK60"" folds",2022-09-25T07:36:42.922Z,166409140292200
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2022-09-25T07:36:38.761Z,166409139876106
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-25T07:36:38.761Z,166409139876105
"Your hand is 6♥, 10♥",2022-09-25T07:36:38.761Z,166409139876103
"Player stacks: #5 ""Deckhole @ 3URETjsK60"" (329.12) | #6 ""K Godel @ TN11URmFSv"" (77.43) | #10 ""Mag Kirwin @ e4MtM50XXb"" (365.32)",2022-09-25T07:36:38.761Z,166409139876101
"-- starting hand #311  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-09-25T07:36:38.761Z,166409139876100
"-- ending hand #310 --",2022-09-25T07:36:32.745Z,166409139274504
"""Mag Kirwin @ e4MtM50XXb"" collected 2.34 from pot with A High (combination: A♣, Q♠, 10♦, 9♣, 7♦)",2022-09-25T07:36:32.745Z,166409139274503
"""Mag Kirwin @ e4MtM50XXb"" shows a 6♠, A♣.",2022-09-25T07:36:32.745Z,166409139274502
"""Deckhole @ 3URETjsK60"" collected 2.35 from pot with A High (combination: A♦, Q♠, 10♦, 9♣, 7♦)",2022-09-25T07:36:32.745Z,166409139274501
"""Deckhole @ 3URETjsK60"" shows a A♦, 2♠.",2022-09-25T07:36:32.745Z,166409139274500
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-25T07:36:31.935Z,166409139193500
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:36:30.467Z,166409139046700
"River: 5♠, 10♦, 9♣, 7♦ [Q♠]",2022-09-25T07:36:27.743Z,166409138774300
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-25T07:36:26.845Z,166409138684500
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:36:23.663Z,166409138366300
"Turn: 5♠, 10♦, 9♣ [7♦]",2022-09-25T07:36:20.611Z,166409138061100
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-25T07:36:19.724Z,166409137972400
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:36:16.661Z,166409137666100
"Flop:  [5♠, 10♦, 9♣]",2022-09-25T07:36:12.510Z,166409137251000
"""Mag Kirwin @ e4MtM50XXb"" calls 2.22",2022-09-25T07:36:11.697Z,166409137169700
"""K Godel @ TN11URmFSv"" folds",2022-09-25T07:36:09.274Z,166409136927400
"""Deckhole @ 3URETjsK60"" raises to 2.22",2022-09-25T07:35:48.821Z,166409134882100
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.70",2022-09-25T07:35:39.382Z,166409133938200
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-09-25T07:35:35.186Z,166409133518606
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-09-25T07:35:35.186Z,166409133518605
"Your hand is 10♠, 7♣",2022-09-25T07:35:35.186Z,166409133518603
"Player stacks: #5 ""Deckhole @ 3URETjsK60"" (328.99) | #6 ""K Godel @ TN11URmFSv"" (77.68) | #10 ""Mag Kirwin @ e4MtM50XXb"" (365.20)",2022-09-25T07:35:35.186Z,166409133518601
"-- starting hand #310  (No Limit Texas Hold'em) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-09-25T07:35:35.186Z,166409133518600
"-- ending hand #309 --",2022-09-25T07:35:29.175Z,166409132917504
"""K Godel @ TN11URmFSv"" collected 5.40 from pot with Pair, J's (combination: J♦, J♣, K♠, Q♥, 7♠)",2022-09-25T07:35:29.175Z,166409132917503
"""K Godel @ TN11URmFSv"" shows a J♦, K♠.",2022-09-25T07:35:29.175Z,166409132917502
"""Deckhole @ 3URETjsK60"" collected 5.40 from pot with Pair, J's (combination: J♥, J♣, K♦, Q♥, 7♠)",2022-09-25T07:35:29.175Z,166409132917501
"""Deckhole @ 3URETjsK60"" shows a K♦, J♥.",2022-09-25T07:35:29.175Z,166409132917500
"""K Godel @ TN11URmFSv"" calls 3.60",2022-09-25T07:35:28.283Z,166409132828300
"""Deckhole @ 3URETjsK60"" bets 3.60",2022-09-25T07:35:22.694Z,166409132269400
"River: Q♥, 5♦, J♣, 7♠ [3♥]",2022-09-25T07:35:13.664Z,166409131366400
"""K Godel @ TN11URmFSv"" checks",2022-09-25T07:35:12.820Z,166409131282000
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:35:05.871Z,166409130587100
"Turn: Q♥, 5♦, J♣ [7♠]",2022-09-25T07:35:02.262Z,166409130226200
"""Deckhole @ 3URETjsK60"" calls 0.90",2022-09-25T07:35:01.388Z,166409130138800
"""K Godel @ TN11URmFSv"" bets 0.90",2022-09-25T07:34:59.536Z,166409129953600
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:34:48.385Z,166409128838500
"Flop:  [Q♥, 5♦, J♣]",2022-09-25T07:34:45.851Z,166409128585100
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-09-25T07:34:45.032Z,166409128503200
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-09-25T07:34:42.380Z,166409128238000
"""K Godel @ TN11URmFSv"" raises to 0.85",2022-09-25T07:34:40.449Z,166409128044900
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-09-25T07:34:31.841Z,166409127184106
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2022-09-25T07:34:31.841Z,166409127184105
"Your hand is J♦, K♠",2022-09-25T07:34:31.841Z,166409127184103
"Player stacks: #5 ""Deckhole @ 3URETjsK60"" (328.94) | #6 ""K Godel @ TN11URmFSv"" (77.63) | #10 ""Mag Kirwin @ e4MtM50XXb"" (365.30)",2022-09-25T07:34:31.841Z,166409127184101
"-- starting hand #309  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-09-25T07:34:31.841Z,166409127184100
"-- ending hand #308 --",2022-09-25T07:34:25.898Z,166409126589802
"""Deckhole @ 3URETjsK60"" collected 1.80 from pot",2022-09-25T07:34:25.898Z,166409126589801
"Uncalled bet of 0.99 returned to ""Deckhole @ 3URETjsK60""",2022-09-25T07:34:25.898Z,166409126589800
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-09-25T07:34:25.069Z,166409126506900
"""Deckhole @ 3URETjsK60"" bets 0.99",2022-09-25T07:34:21.708Z,166409126170800
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-25T07:34:13.589Z,166409125358900
"Flop:  [A♠, 6♠, 7♥]",2022-09-25T07:34:11.222Z,166409125122200
"""Mag Kirwin @ e4MtM50XXb"" calls 0.85",2022-09-25T07:34:10.377Z,166409125037700
"""K Godel @ TN11URmFSv"" folds",2022-09-25T07:34:08.965Z,166409124896500
"""Deckhole @ 3URETjsK60"" raises to 0.85",2022-09-25T07:34:08.055Z,166409124805500
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.25",2022-09-25T07:34:04.019Z,166409124401907
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-25T07:34:04.019Z,166409124401906
"Your hand is 5♦, J♣",2022-09-25T07:34:04.019Z,166409124401904
"Player stacks: #5 ""Deckhole @ 3URETjsK60"" (327.99) | #6 ""K Godel @ TN11URmFSv"" (77.73) | #10 ""Mag Kirwin @ e4MtM50XXb"" (366.15)",2022-09-25T07:34:04.019Z,166409124401902
"-- starting hand #308  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-09-25T07:34:04.019Z,166409124401901
"The player ""Breezy @ _8CiDq023a"" quits the game with a stack of 138.03.",2022-09-25T07:34:04.019Z,166409124401900
"Undealt cards: A♦, 6♥, Q♣, 7♦ [4♥]",2022-09-25T07:33:59.733Z,166409123973300
"-- ending hand #307 --",2022-09-25T07:33:58.082Z,166409123808202
"""Deckhole @ 3URETjsK60"" collected 1.50 from pot",2022-09-25T07:33:58.082Z,166409123808201
"Uncalled bet of 0.75 returned to ""Deckhole @ 3URETjsK60""",2022-09-25T07:33:58.082Z,166409123808200
"""K Godel @ TN11URmFSv"" folds",2022-09-25T07:33:57.250Z,166409123725000
"""Deckhole @ 3URETjsK60"" bets 0.75",2022-09-25T07:33:55.751Z,166409123575100
"Turn: A♦, 6♥, Q♣ [7♦]",2022-09-25T07:33:50.205Z,166409123020500
"""K Godel @ TN11URmFSv"" checks",2022-09-25T07:33:49.375Z,166409122937500
"""Deckhole @ 3URETjsK60"" checks",2022-09-25T07:33:44.730Z,166409122473000
"Flop:  [A♦, 6♥, Q♣]",2022-09-25T07:33:42.205Z,166409122220500
"""K Godel @ TN11URmFSv"" calls 0.75",2022-09-25T07:33:41.358Z,166409122135800
"""Deckhole @ 3URETjsK60"" raises to 0.75",2022-09-25T07:33:36.578Z,166409121657800
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-09-25T07:33:27.433Z,166409120743300
"""Breezy @ _8CiDq023a"" folds",2022-09-25T07:33:04.677Z,166409118467700
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-09-25T07:33:02.852Z,166409118285207
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-09-25T07:33:02.852Z,166409118285206
"Your hand is 10♠, 8♠",2022-09-25T07:33:02.852Z,166409118285203
"Player stacks: #5 ""Deckhole @ 3URETjsK60"" (327.24) | #6 ""K Godel @ TN11URmFSv"" (78.48) | #8 ""Breezy @ _8CiDq023a"" (138.03) | #10 ""Mag Kirwin @ e4MtM50XXb"" (366.15)",2022-09-25T07:33:02.852Z,166409118285201
"-- starting hand #307  (No Limit Texas Hold'em) (dead button) --",2022-09-25T07:33:02.852Z,166409118285200
"-- ending hand #306 --",2022-09-25T07:32:56.839Z,166409117683904
"""Breezy @ _8CiDq023a"" collected 3.12 from pot with low hand with seven high (combination: 2♣, 3♦, 4♠, 5♣, 7♥)",2022-09-25T07:32:56.839Z,166409117683903
"""Breezy @ _8CiDq023a"" shows a 7♥, 7♦, 4♠, 5♥.",2022-09-25T07:32:56.839Z,166409117683902
"""Deckhole @ 3URETjsK60"" collected 3.13 from pot with hi hand with two pair queens and threes (combination: K♣, 3♠, 3♦, Q♠, Q♥)",2022-09-25T07:32:56.839Z,166409117683901
