entry,at,order
"The player ""linnux @ qRLMfzBQ8s"" stand up with the stack of 89.77.",2023-01-12T06:09:35.539Z,167350377553901
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 44.81.",2023-01-12T06:09:35.539Z,167350377553900
"-- ending hand #136 --",2023-01-12T06:09:32.608Z,167350377260802
"""Jean @ QLHzuQRo1C"" collected 1.95 from pot",2023-01-12T06:09:32.608Z,167350377260801
"Uncalled bet of 1.95 returned to ""Jean @ QLHzuQRo1C""",2023-01-12T06:09:32.608Z,167350377260800
"""K Godel @ TN11URmFSv"" folds",2023-01-12T06:09:31.776Z,167350377177600
"""Jean @ QLHzuQRo1C"" bets 1.95",2023-01-12T06:09:29.643Z,167350376964300
"Flop:  [K♣, 8♦, 8♠]",2023-01-12T06:09:22.596Z,167350376259600
"""linnux @ qRLMfzBQ8s"" folds",2023-01-12T06:09:21.726Z,167350376172600
"""Jean @ QLHzuQRo1C"" calls 0.85",2023-01-12T06:09:20.796Z,167350376079600
"""K Godel @ TN11URmFSv"" raises to 0.85",2023-01-12T06:09:18.971Z,167350375897100
"""linnux @ qRLMfzBQ8s"" posts a big blind of 0.25",2023-01-12T06:09:12.567Z,167350375256706
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2023-01-12T06:09:12.567Z,167350375256705
"Your hand is Q♥, 2♥",2023-01-12T06:09:12.567Z,167350375256702
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (45.66) | #2 ""Jean @ QLHzuQRo1C"" (25.83) | #8 ""linnux @ qRLMfzBQ8s"" (90.02)",2023-01-12T06:09:12.567Z,167350375256701
"-- starting hand #136 (id: fouswgee7tg2)  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2023-01-12T06:09:12.567Z,167350375256700
"""linnux @ qRLMfzBQ8s"" shows a 7♥, 8♠, 7♠, 4♣.",2023-01-12T06:09:10.140Z,167350375014000
"-- ending hand #135 --",2023-01-12T06:09:06.046Z,167350374604603
"""K Godel @ TN11URmFSv"" collected 1.50 from pot with low hand with eight high (combination: 3♦, 4♥, 5♥, 6♣, 8♣)",2023-01-12T06:09:06.046Z,167350374604602
"""K Godel @ TN11URmFSv"" collected 1.50 from pot with hi hand with straight eight high (combination: 4♥, 5♥, 6♣, 7♦, 8♣)",2023-01-12T06:09:06.046Z,167350374604601
"""K Godel @ TN11URmFSv"" shows a 5♥, 3♦, 7♦, 10♦.",2023-01-12T06:09:06.046Z,167350374604600
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:09:05.207Z,167350374520700
"""Jean @ QLHzuQRo1C"" checks",2023-01-12T06:09:03.110Z,167350374311000
"""K Godel @ TN11URmFSv"" checks",2023-01-12T06:09:01.001Z,167350374100100
"River: Q♣, 10♥, 4♥, 6♣ [8♣]",2023-01-12T06:08:57.956Z,167350373795600
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:08:57.123Z,167350373712300
"""Jean @ QLHzuQRo1C"" checks",2023-01-12T06:08:39.347Z,167350371934700
"""K Godel @ TN11URmFSv"" checks",2023-01-12T06:08:37.326Z,167350371732600
"Turn: Q♣, 10♥, 4♥ [6♣]",2023-01-12T06:08:32.910Z,167350371291000
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:08:32.088Z,167350371208800
"""Jean @ QLHzuQRo1C"" checks",2023-01-12T06:08:31.206Z,167350371120600
"""K Godel @ TN11URmFSv"" checks",2023-01-12T06:08:29.495Z,167350370949500
"Flop:  [Q♣, 10♥, 4♥]",2023-01-12T06:08:16.905Z,167350369690500
"""linnux @ qRLMfzBQ8s"" calls 1.00",2023-01-12T06:08:16.077Z,167350369607700
"""Jean @ QLHzuQRo1C"" calls 1.00",2023-01-12T06:08:13.971Z,167350369397100
"""K Godel @ TN11URmFSv"" raises to 1.00",2023-01-12T06:08:11.115Z,167350369111500
"""linnux @ qRLMfzBQ8s"" calls 0.25",2023-01-12T06:08:01.337Z,167350368133700
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2023-01-12T06:07:58.590Z,167350367859006
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2023-01-12T06:07:58.590Z,167350367859005
"Your hand is 5♥, 3♦, 7♦, 10♦",2023-01-12T06:07:58.590Z,167350367859002
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (43.66) | #2 ""Jean @ QLHzuQRo1C"" (26.83) | #8 ""linnux @ qRLMfzBQ8s"" (91.02)",2023-01-12T06:07:58.590Z,167350367859001
"-- starting hand #135 (id: b7wjmrtlaulu)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""linnux @ qRLMfzBQ8s"") --",2023-01-12T06:07:58.590Z,167350367859000
"-- ending hand #134 --",2023-01-12T06:07:52.582Z,167350367258204
"""linnux @ qRLMfzBQ8s"" collected 7.82 from pot with low hand with seven high (combination: A♣, 3♠, 5♣, 6♦, 7♥)",2023-01-12T06:07:52.582Z,167350367258203
"""linnux @ qRLMfzBQ8s"" shows a J♥, 3♠, A♣, 5♠.",2023-01-12T06:07:52.582Z,167350367258202
"""Jean @ QLHzuQRo1C"" collected 7.83 from pot with hi hand with a pair of nines (combination: 7♥, 10♦, Q♥, 9♣, 9♥)",2023-01-12T06:07:52.582Z,167350367258201
"""Jean @ QLHzuQRo1C"" shows a 3♦, 9♣, 2♦, 9♥.",2023-01-12T06:07:52.582Z,167350367258200
"""Jean @ QLHzuQRo1C"" checks",2023-01-12T06:07:51.706Z,167350367170600
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:07:49.464Z,167350366946400
"River: 10♦, 6♦, Q♥, 7♥ [5♣]",2023-01-12T06:07:44.650Z,167350366465000
"""Jean @ QLHzuQRo1C"" calls 4.50",2023-01-12T06:07:43.834Z,167350366383400
"""linnux @ qRLMfzBQ8s"" bets 4.50",2023-01-12T06:07:42.437Z,167350366243700
"Turn: 10♦, 6♦, Q♥ [7♥]",2023-01-12T06:07:32.573Z,167350365257300
"""Jean @ QLHzuQRo1C"" calls 1.75",2023-01-12T06:07:31.739Z,167350365173900
"""linnux @ qRLMfzBQ8s"" bets 1.75",2023-01-12T06:07:30.100Z,167350365010000
"Flop:  [10♦, 6♦, Q♥]",2023-01-12T06:07:17.270Z,167350363727000
"""Jean @ QLHzuQRo1C"" calls 1.45",2023-01-12T06:07:16.462Z,167350363646200
"""K Godel @ TN11URmFSv"" folds",2023-01-12T06:07:15.482Z,167350363548200
"""linnux @ qRLMfzBQ8s"" raises to 1.45",2023-01-12T06:07:12.760Z,167350363276000
"""Jean @ QLHzuQRo1C"" raises to 0.85",2023-01-12T06:07:08.887Z,167350362888700
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2023-01-12T06:07:02.351Z,167350362235106
"""linnux @ qRLMfzBQ8s"" posts a small blind of 0.10",2023-01-12T06:07:02.351Z,167350362235105
"Your hand is Q♦, K♥, 10♣, 2♠",2023-01-12T06:07:02.351Z,167350362235102
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (43.91) | #2 ""Jean @ QLHzuQRo1C"" (26.70) | #8 ""linnux @ qRLMfzBQ8s"" (90.90)",2023-01-12T06:07:02.351Z,167350362235101
"-- starting hand #134 (id: 32hspvwwzivs)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Jean @ QLHzuQRo1C"") --",2023-01-12T06:07:02.351Z,167350362235100
"-- ending hand #133 --",2023-01-12T06:06:56.345Z,167350361634504
"""Jean @ QLHzuQRo1C"" collected 6.75 from pot with low hand with seven high (combination: A♥, 2♦, 3♣, 4♦, 7♠)",2023-01-12T06:06:56.345Z,167350361634503
"""Jean @ QLHzuQRo1C"" shows a 3♣, 4♣, 5♥, A♥.",2023-01-12T06:06:56.345Z,167350361634502
"""linnux @ qRLMfzBQ8s"" collected 6.75 from pot with hi hand with two pair eights and sevens (combination: Q♦, 7♣, 7♠, 8♥, 8♦)",2023-01-12T06:06:56.345Z,167350361634501
"""linnux @ qRLMfzBQ8s"" shows a 8♥, 10♥, K♥, 7♣.",2023-01-12T06:06:56.345Z,167350361634500
"""linnux @ qRLMfzBQ8s"" calls 4.50",2023-01-12T06:06:55.501Z,167350361550100
"""Jean @ QLHzuQRo1C"" bets 4.50",2023-01-12T06:06:53.139Z,167350361313900
"River: 8♦, 7♠, 4♦, Q♦ [2♦]",2023-01-12T06:06:41.649Z,167350360164900
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:06:40.814Z,167350360081400
"""Jean @ QLHzuQRo1C"" checks",2023-01-12T06:06:37.967Z,167350359796700
"Turn: 8♦, 7♠, 4♦ [Q♦]",2023-01-12T06:06:33.244Z,167350359324400
"""linnux @ qRLMfzBQ8s"" calls 1.50",2023-01-12T06:06:32.357Z,167350359235700
"""Jean @ QLHzuQRo1C"" bets 1.50",2023-01-12T06:06:30.682Z,167350359068200
"Flop:  [8♦, 7♠, 4♦]",2023-01-12T06:06:23.636Z,167350358363600
"""linnux @ qRLMfzBQ8s"" calls 0.75",2023-01-12T06:06:22.765Z,167350358276500
"""Jean @ QLHzuQRo1C"" raises to 0.75",2023-01-12T06:06:20.335Z,167350358033500
"""K Godel @ TN11URmFSv"" folds",2023-01-12T06:06:16.619Z,167350357661900
"""linnux @ qRLMfzBQ8s"" posts a big blind of 0.25",2023-01-12T06:06:13.320Z,167350357332006
"""Jean @ QLHzuQRo1C"" posts a small blind of 0.10",2023-01-12T06:06:13.320Z,167350357332005
"Your hand is 9♦, J♠, J♣, 5♦",2023-01-12T06:06:13.320Z,167350357332002
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (43.91) | #2 ""Jean @ QLHzuQRo1C"" (26.70) | #8 ""linnux @ qRLMfzBQ8s"" (90.90)",2023-01-12T06:06:13.320Z,167350357332001
"-- starting hand #133 (id: hkhsv6bzfzw2)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ TN11URmFSv"") --",2023-01-12T06:06:13.320Z,167350357332000
"-- ending hand #132 --",2023-01-12T06:06:07.317Z,167350356731704
"""linnux @ qRLMfzBQ8s"" collected 2.19 from pot with low hand with seven high (combination: A♠, 2♠, 3♦, 5♣, 7♠)",2023-01-12T06:06:07.317Z,167350356731703
"""linnux @ qRLMfzBQ8s"" shows a Q♣, J♥, A♠, 3♦.",2023-01-12T06:06:07.317Z,167350356731702
"""K Godel @ TN11URmFSv"" collected 2.20 from pot with hi hand with flush eight high (combination: 2♠, 4♠, 5♠, 7♠, 8♠)",2023-01-12T06:06:07.317Z,167350356731701
"""K Godel @ TN11URmFSv"" shows a Q♦, 4♠, 5♥, 8♠.",2023-01-12T06:06:07.317Z,167350356731700
"""linnux @ qRLMfzBQ8s"" checks",2023-01-12T06:06:06.502Z,167350356650200
"""K Godel @ TN11URmFSv"" checks",2023-01-12T06:06:02.458Z,167350356245800
"River: 5♣, 5♠, K♣, 7♠ [2♠]",2023-01-12T06:05:54.302Z,167350355430200
