entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 47.92.",2022-08-24T05:08:25.152Z,166131770515200
"The player ""Lynn @ LbqJGJ3sQl"" stand up with the stack of 36.81.",2022-08-24T05:08:13.500Z,166131769350000
"-- ending hand #190 --",2022-08-24T05:08:07.494Z,166131768749402
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-08-24T05:08:07.494Z,166131768749401
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-08-24T05:08:07.494Z,166131768749400
"""Lynn @ LbqJGJ3sQl"" folds",2022-08-24T05:08:06.625Z,166131768662500
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-08-24T05:07:59.069Z,166131767906907
"""Lynn @ LbqJGJ3sQl"" posts a small blind of 0.10",2022-08-24T05:07:59.069Z,166131767906906
"Your hand is 9♥, 3♠, 3♦, 7♣",2022-08-24T05:07:59.069Z,166131767906904
"Player stacks: #2 ""K Godel @ TN11URmFSv"" (47.82) | #9 ""Lynn @ LbqJGJ3sQl"" (36.91)",2022-08-24T05:07:59.069Z,166131767906903
"-- starting hand #190  (Pot Limit Omaha Hi) (dealer: ""Lynn @ LbqJGJ3sQl"") --",2022-08-24T05:07:59.069Z,166131767906902
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 126.14.",2022-08-24T05:07:59.069Z,166131767906901
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 80.95.",2022-08-24T05:07:59.069Z,166131767906900
"-- ending hand #189 --",2022-08-24T05:07:53.079Z,166131767307902
"""Mag Kirwin @ e4MtM50XXb"" collected 2.10 from pot",2022-08-24T05:07:53.079Z,166131767307901
"Uncalled bet of 1.05 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-08-24T05:07:53.079Z,166131767307900
"""Deckhole @ 3URETjsK60"" folds",2022-08-24T05:07:52.229Z,166131767222900
"""Mag Kirwin @ e4MtM50XXb"" bets 1.05",2022-08-24T05:07:50.218Z,166131767021800
"""Deckhole @ 3URETjsK60"" checks",2022-08-24T05:07:45.483Z,166131766548300
"Flop:  [A♣, 3♥, 2♦]",2022-08-24T05:07:41.659Z,166131766165900
"""Deckhole @ 3URETjsK60"" calls 0.95",2022-08-24T05:07:40.781Z,166131766078100
"""Lynn @ LbqJGJ3sQl"" folds",2022-08-24T05:07:38.169Z,166131765816900
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.95",2022-08-24T05:07:36.289Z,166131765628900
"""K Godel @ TN11URmFSv"" folds",2022-08-24T05:07:32.509Z,166131765250900
"""Deckhole @ 3URETjsK60"" posts a missing small blind of 0.10",2022-08-24T05:07:23.877Z,166131764387709
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-08-24T05:07:23.877Z,166131764387708
"""Lynn @ LbqJGJ3sQl"" posts a small blind of 0.10",2022-08-24T05:07:23.877Z,166131764387707
"Your hand is 10♠, 9♦, Q♣, 6♥",2022-08-24T05:07:23.877Z,166131764387704
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (82.00) | #2 ""K Godel @ TN11URmFSv"" (47.82) | #3 ""Mag Kirwin @ e4MtM50XXb"" (124.99) | #9 ""Lynn @ LbqJGJ3sQl"" (37.01)",2022-08-24T05:07:23.877Z,166131764387702
"-- starting hand #189  (Pot Limit Omaha Hi) (dealer: ""Mag Kirwin @ e4MtM50XXb"") --",2022-08-24T05:07:23.877Z,166131764387701
"The player ""Deckhole @ 3URETjsK60"" joined the game with a stack of 82.00.",2022-08-24T05:07:23.877Z,166131764387700
"-- ending hand #188 --",2022-08-24T05:07:17.825Z,166131763782503
"""Mag Kirwin @ e4MtM50XXb"" shows a 10♦, 9♣, A♥, 7♥.",2022-08-24T05:07:17.825Z,166131763782502
"""Lynn @ LbqJGJ3sQl"" collected 5.50 from pot with Full House (combination: Q♦, Q♥, Q♣, 8♠, 8♣)",2022-08-24T05:07:17.825Z,166131763782501
"""Lynn @ LbqJGJ3sQl"" shows a J♥, Q♦, Q♥, J♦.",2022-08-24T05:07:17.825Z,166131763782500
"""Lynn @ LbqJGJ3sQl"" checks",2022-08-24T05:07:16.909Z,166131763690900
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-08-24T05:07:14.720Z,166131763472000
"River: 6♣, 2♥, Q♣, 8♠ [8♣]",2022-08-24T05:07:10.614Z,166131763061400
"""Mag Kirwin @ e4MtM50XXb"" calls 1.25",2022-08-24T05:07:09.719Z,166131762971900
