entry,at,order
"The player ""jean @ _I_YnTCjVs"" stand up with the stack of 2.54.",2022-06-20T03:32:59.869Z,165569597986900
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 1.91.",2022-06-20T03:32:50.618Z,165569597061800
"-- ending hand #135 --",2022-06-20T03:32:47.710Z,165569596771002
"""jean @ _I_YnTCjVs"" collected 0.12 from pot",2022-06-20T03:32:47.710Z,165569596771001
"Uncalled bet of 0.12 returned to ""jean @ _I_YnTCjVs""",2022-06-20T03:32:47.710Z,165569596771000
"""K Godel @ Di5cxDUTF9"" folds",2022-06-20T03:32:46.833Z,165569596683300
"""jean @ _I_YnTCjVs"" bets 0.12",2022-06-20T03:32:45.724Z,165569596572400
"""K Godel @ Di5cxDUTF9"" checks",2022-06-20T03:32:40.364Z,165569596036400
"River: 9♥, 10♥, J♠, 8♠ [2♦]",2022-06-20T03:32:37.400Z,165569595740000
"""jean @ _I_YnTCjVs"" checks",2022-06-20T03:32:36.517Z,165569595651700
"""K Godel @ Di5cxDUTF9"" checks",2022-06-20T03:32:35.616Z,165569595561600
"Turn: 9♥, 10♥, J♠ [8♠]",2022-06-20T03:32:31.707Z,165569595170700
"""jean @ _I_YnTCjVs"" checks",2022-06-20T03:32:30.802Z,165569595080200
"""K Godel @ Di5cxDUTF9"" checks",2022-06-20T03:32:29.979Z,165569594997900
"Flop:  [9♥, 10♥, J♠]",2022-06-20T03:32:26.908Z,165569594690800
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-20T03:32:26.098Z,165569594609800
"""jean @ _I_YnTCjVs"" raises to 0.06",2022-06-20T03:32:22.910Z,165569594291000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-20T03:32:13.099Z,165569593309908
"""jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-06-20T03:32:13.099Z,165569593309907
"Your hand is 5♠, 6♦, 6♠, 5♦",2022-06-20T03:32:13.099Z,165569593309906
"Player stacks: #2 ""jean @ _I_YnTCjVs"" (2.48) | #6 ""K Godel @ Di5cxDUTF9"" (1.97)",2022-06-20T03:32:13.099Z,165569593309904
"-- starting hand #135  (Pot Limit Omaha Hi) (dealer: ""jean @ _I_YnTCjVs"") --",2022-06-20T03:32:13.099Z,165569593309903
"The player ""Sean @ Yf3zdTpnqW"" quits the game with a stack of 0.45.",2022-06-20T03:32:13.099Z,165569593309902
"The player ""Lori @ T4dnUDNjdJ"" quits the game with a stack of 3.78.",2022-06-20T03:32:13.099Z,165569593309901
"The player ""Lori @ T4dnUDNjdJ"" stand up with the stack of 3.78.",2022-06-20T03:32:13.099Z,165569593309900
"""Sean @ Yf3zdTpnqW"" shows a 4♦, 3♦, K♥, 6♠.",2022-06-20T03:32:07.687Z,165569592768700
"""jean @ _I_YnTCjVs"" shows a 6♦, 2♥, A♠, 5♦.",2022-06-20T03:32:06.970Z,165569592697000
"-- ending hand #134 --",2022-06-20T03:32:05.694Z,165569592569402
"""Lori @ T4dnUDNjdJ"" collected 0.21 from pot",2022-06-20T03:32:05.694Z,165569592569401
"Uncalled bet of 0.06 returned to ""Lori @ T4dnUDNjdJ""",2022-06-20T03:32:05.694Z,165569592569400
"""jean @ _I_YnTCjVs"" folds",2022-06-20T03:32:04.798Z,165569592479800
"""K Godel @ Di5cxDUTF9"" folds",2022-06-20T03:31:59.294Z,165569591929400
"""Lori @ T4dnUDNjdJ"" bets 0.06",2022-06-20T03:31:55.805Z,165569591580500
"""jean @ _I_YnTCjVs"" checks",2022-06-20T03:31:47.552Z,165569590755200
"Flop:  [8♠, 3♥, 8♦]",2022-06-20T03:31:43.873Z,165569590387300
"""Lori @ T4dnUDNjdJ"" calls 0.07",2022-06-20T03:31:42.978Z,165569590297800
"""jean @ _I_YnTCjVs"" calls 0.07",2022-06-20T03:31:41.836Z,165569590183600
"""K Godel @ Di5cxDUTF9"" raises to 0.07",2022-06-20T03:31:39.807Z,165569589980700
"""Sean @ Yf3zdTpnqW"" folds",2022-06-20T03:31:36.401Z,165569589640100
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-06-20T03:31:26.078Z,165569588607807
"""jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-06-20T03:31:26.078Z,165569588607806
"Your hand is 5♥, 6♣, A♦, 3♠",2022-06-20T03:31:26.078Z,165569588607805
"Player stacks: #2 ""jean @ _I_YnTCjVs"" (2.55) | #3 ""Lori @ T4dnUDNjdJ"" (3.64) | #4 ""Sean @ Yf3zdTpnqW"" (0.45) | #6 ""K Godel @ Di5cxDUTF9"" (2.04)",2022-06-20T03:31:26.078Z,165569588607801
"-- starting hand #134  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-20T03:31:26.078Z,165569588607800
"""Lori @ T4dnUDNjdJ"" shows a Q♥, 2♥, 4♠, J♣.",2022-06-20T03:31:24.558Z,165569588455800
"""jean @ _I_YnTCjVs"" shows a 3♠, 4♦, 2♦, 3♥.",2022-06-20T03:31:22.557Z,165569588255700
"""Sean @ Yf3zdTpnqW"" shows a Q♠, Q♦, 6♥, 7♥.",2022-06-20T03:31:22.118Z,165569588211800
"-- ending hand #133 --",2022-06-20T03:31:21.052Z,165569588105202
"""Lori @ T4dnUDNjdJ"" collected 0.32 from pot",2022-06-20T03:31:21.052Z,165569588105201
"Uncalled bet of 0.16 returned to ""Lori @ T4dnUDNjdJ""",2022-06-20T03:31:21.052Z,165569588105200
"""Sean @ Yf3zdTpnqW"" folds",2022-06-20T03:31:20.186Z,165569588018600
"""Lori @ T4dnUDNjdJ"" bets 0.16",2022-06-20T03:31:14.752Z,165569587475200
"River: 9♦, 8♥, J♥, 4♣ [3♦]",2022-06-20T03:31:10.255Z,165569587025500
"""Sean @ Yf3zdTpnqW"" calls 0.08",2022-06-20T03:31:09.425Z,165569586942500
"""Lori @ T4dnUDNjdJ"" bets 0.08",2022-06-20T03:31:02.169Z,165569586216900
"Turn: 9♦, 8♥, J♥ [4♣]",2022-06-20T03:30:58.385Z,165569585838500
"""jean @ _I_YnTCjVs"" folds",2022-06-20T03:30:57.545Z,165569585754500
"""K Godel @ Di5cxDUTF9"" folds",2022-06-20T03:30:52.720Z,165569585272000
"""Sean @ Yf3zdTpnqW"" calls 0.04",2022-06-20T03:30:51.744Z,165569585174400
"""Lori @ T4dnUDNjdJ"" bets 0.04",2022-06-20T03:30:48.525Z,165569584852500
"""jean @ _I_YnTCjVs"" checks",2022-06-20T03:30:44.766Z,165569584476600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-20T03:30:42.632Z,165569584263200
"Flop:  [9♦, 8♥, J♥]",2022-06-20T03:30:36.939Z,165569583693900
"""jean @ _I_YnTCjVs"" checks",2022-06-20T03:30:36.082Z,165569583608200
"""K Godel @ Di5cxDUTF9"" calls 0.02",2022-06-20T03:30:31.569Z,165569583156900
"""Sean @ Yf3zdTpnqW"" calls 0.02",2022-06-20T03:30:28.087Z,165569582808700
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-06-20T03:30:25.225Z,165569582522500
"""jean @ _I_YnTCjVs"" posts a big blind of 0.02",2022-06-20T03:30:21.531Z,165569582153107
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-20T03:30:21.531Z,165569582153106
"Your hand is 9♠, 6♦, A♥, 2♣",2022-06-20T03:30:21.531Z,165569582153105
