entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 4.66.",2022-09-05T05:16:26.998Z,166235498699800
"The player ""lynn @ LbqJGJ3sQl"" quits the game with a stack of 2.71.",2022-09-05T05:16:19.561Z,166235497956101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""lynn @ LbqJGJ3sQl"".",2022-09-05T05:16:19.561Z,166235497956100
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 13.19.",2022-09-05T05:16:01.603Z,166235496160301
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-09-05T05:16:01.603Z,166235496160300
"The player ""Poindexter @ 3URETjsK60"" quits the game with a stack of 21.00.",2022-09-05T05:15:54.970Z,166235495497001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Poindexter @ 3URETjsK60"".",2022-09-05T05:15:54.970Z,166235495497000
"The player ""lynn @ LbqJGJ3sQl"" stand up with the stack of 2.71.",2022-09-05T04:30:43.258Z,166235224325801
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 4.66.",2022-09-05T04:30:43.258Z,166235224325800
"-- ending hand #254 --",2022-09-05T04:30:37.350Z,166235223735002
"""K Godel @ TN11URmFSv"" collected 0.36 from pot",2022-09-05T04:30:37.350Z,166235223735001
"Uncalled bet of 0.18 returned to ""K Godel @ TN11URmFSv""",2022-09-05T04:30:37.350Z,166235223735000
"""lynn @ LbqJGJ3sQl"" folds",2022-09-05T04:30:36.454Z,166235223645400
"""Jean @ QLHzuQRo1C"" folds",2022-09-05T04:30:35.636Z,166235223563600
"""K Godel @ TN11URmFSv"" bets 0.18",2022-09-05T04:30:25.693Z,166235222569300
"""lynn @ LbqJGJ3sQl"" checks",2022-09-05T04:30:14.473Z,166235221447300
"Turn: 2♦, J♣, 5♠ [8♠]",2022-09-05T04:30:11.044Z,166235221104400
"""Jean @ QLHzuQRo1C"" checks",2022-09-05T04:30:10.185Z,166235221018500
"""K Godel @ TN11URmFSv"" checks",2022-09-05T04:29:56.489Z,166235219648900
"""lynn @ LbqJGJ3sQl"" checks",2022-09-05T04:29:45.811Z,166235218581100
"Flop:  [2♦, J♣, 5♠]",2022-09-05T04:29:31.097Z,166235217109700
"""Jean @ QLHzuQRo1C"" calls 0.12",2022-09-05T04:29:30.285Z,166235217028500
"""K Godel @ TN11URmFSv"" calls 0.12",2022-09-05T04:29:27.222Z,166235216722200
"""lynn @ LbqJGJ3sQl"" raises to 0.12",2022-09-05T04:29:20.996Z,166235216099600
"""Jean @ QLHzuQRo1C"" raises to 0.07",2022-09-05T04:29:16.853Z,166235215685300
"""K Godel @ TN11URmFSv"" posts a big blind of 0.02",2022-09-05T04:29:07.388Z,166235214738807
"""lynn @ LbqJGJ3sQl"" posts a small blind of 0.01",2022-09-05T04:29:07.388Z,166235214738806
"Your hand is Q♠, 10♠",2022-09-05T04:29:07.388Z,166235214738803
