entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 8.74.",2022-06-02T02:57:13.810Z,165413863381000
"The player ""She’s cake @ rMEEwzMegO"" quits the game with a stack of 5.81.",2022-06-02T02:57:00.434Z,165413862043401
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""She’s cake @ rMEEwzMegO"".",2022-06-02T02:57:00.434Z,165413862043400
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 2.66.",2022-06-02T02:56:48.659Z,165413860865901
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Poindexter @ _yf6aQFJyI"".",2022-06-02T02:56:48.659Z,165413860865900
"The player ""Breezy @ _8CiDq023a"" quits the game with a stack of 4.01.",2022-06-02T02:41:06.211Z,165413766621100
"The player ""Breezy @ _8CiDq023a"" stand up with the stack of 4.01.",2022-06-02T02:40:21.562Z,165413762156200
"""K Godel @ Di5cxDUTF9"" shows a K♥, 8♠.",2022-06-02T02:40:15.388Z,165413761538800
"-- ending hand #103 --",2022-06-02T02:40:12.359Z,165413761235902
"""Breezy @ _8CiDq023a"" collected 2.32 from pot with Pair, J's (combination: J♦, J♥, Q♥, 8♣, 4♥)",2022-06-02T02:40:12.359Z,165413761235901
"""Breezy @ _8CiDq023a"" shows a Q♥, J♦.",2022-06-02T02:40:12.359Z,165413761235900
"""K Godel @ Di5cxDUTF9"" calls 0.41",2022-06-02T02:40:11.469Z,165413761146900
"""Breezy @ _8CiDq023a"" bets 0.41",2022-06-02T02:40:09.313Z,165413760931300
"River: J♥, 4♥, 8♣, 2♥ [3♠]",2022-06-02T02:39:53.149Z,165413759314900
"""K Godel @ Di5cxDUTF9"" calls 0.45",2022-06-02T02:39:52.274Z,165413759227400
"""Breezy @ _8CiDq023a"" bets 0.45",2022-06-02T02:39:49.688Z,165413758968800
"Turn: J♥, 4♥, 8♣ [2♥]",2022-06-02T02:39:45.545Z,165413758554500
"""K Godel @ Di5cxDUTF9"" calls 0.12",2022-06-02T02:39:44.695Z,165413758469500
"""Breezy @ _8CiDq023a"" bets 0.12",2022-06-02T02:39:42.960Z,165413758296000
"Flop:  [J♥, 4♥, 8♣]",2022-06-02T02:39:38.336Z,165413757833600
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-06-02T02:39:37.483Z,165413757748300
"""Breezy @ _8CiDq023a"" raises to 0.18",2022-06-02T02:39:34.959Z,165413757495900
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-02T02:39:29.963Z,165413756996300
"""Breezy @ _8CiDq023a"" posts a big blind of 0.02",2022-06-02T02:39:25.133Z,165413756513305
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-02T02:39:25.133Z,165413756513304
"Your hand is K♥, 8♠",2022-06-02T02:39:25.133Z,165413756513302
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.90) | #10 ""Breezy @ _8CiDq023a"" (2.85)",2022-06-02T02:39:25.133Z,165413756513301
"-- starting hand #103  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-02T02:39:25.133Z,165413756513300
"-- ending hand #102 --",2022-06-02T02:39:16.001Z,165413755600103
"""Breezy @ _8CiDq023a"" shows a 7♠, 8♠.",2022-06-02T02:39:16.001Z,165413755600102
"""K Godel @ Di5cxDUTF9"" collected 0.48 from pot with Pair, A's (combination: A♠, A♣, K♦, Q♠, 8♥)",2022-06-02T02:39:16.001Z,165413755600101
"""K Godel @ Di5cxDUTF9"" shows a A♠, 8♥.",2022-06-02T02:39:16.001Z,165413755600100
"""Breezy @ _8CiDq023a"" checks",2022-06-02T02:39:15.144Z,165413755514400
"""K Godel @ Di5cxDUTF9"" checks",2022-06-02T02:39:06.536Z,165413754653600
"River: A♣, 6♦, Q♠, 5♦ [K♦]",2022-06-02T02:39:02.889Z,165413754288900
"""Breezy @ _8CiDq023a"" calls 0.12",2022-06-02T02:39:02.044Z,165413754204400
"""K Godel @ Di5cxDUTF9"" bets 0.12",2022-06-02T02:38:59.617Z,165413753961700
"Turn: A♣, 6♦, Q♠ [5♦]",2022-06-02T02:38:55.688Z,165413753568800
"""Breezy @ _8CiDq023a"" calls 0.06",2022-06-02T02:38:54.876Z,165413753487600
"""K Godel @ Di5cxDUTF9"" bets 0.06",2022-06-02T02:38:51.571Z,165413753157100
"Flop:  [A♣, 6♦, Q♠]",2022-06-02T02:38:46.284Z,165413752628400
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-02T02:38:45.473Z,165413752547300
"""Breezy @ _8CiDq023a"" raises to 0.06",2022-06-02T02:38:44.083Z,165413752408300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-02T02:38:42.274Z,165413752227405
"""Breezy @ _8CiDq023a"" posts a small blind of 0.01",2022-06-02T02:38:42.274Z,165413752227404
"Your hand is A♠, 8♥",2022-06-02T02:38:42.274Z,165413752227402
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.66) | #10 ""Breezy @ _8CiDq023a"" (3.09)",2022-06-02T02:38:42.274Z,165413752227401
"-- starting hand #102  (No Limit Texas Hold'em) (dealer: ""Breezy @ _8CiDq023a"") --",2022-06-02T02:38:42.274Z,165413752227400
"Undealt cards:  [Q♣, 10♦, J♥, 9♦, 6♦]",2022-06-02T02:38:38.182Z,165413751818200
"""K Godel @ Di5cxDUTF9"" shows a 4♦, Q♦.",2022-06-02T02:38:35.907Z,165413751590700
"""Breezy @ _8CiDq023a"" shows a 3♣, 7♦.",2022-06-02T02:38:35.430Z,165413751543000
"-- ending hand #101 --",2022-06-02T02:38:34.871Z,165413751487102
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-06-02T02:38:34.871Z,165413751487101
"Uncalled bet of 0.04 returned to ""K Godel @ Di5cxDUTF9""",2022-06-02T02:38:34.871Z,165413751487100
"""Breezy @ _8CiDq023a"" folds",2022-06-02T02:38:34.024Z,165413751402400
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-02T02:38:20.957Z,165413750095700
"""Breezy @ _8CiDq023a"" posts a big blind of 0.02",2022-06-02T02:38:17.864Z,165413749786405
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-02T02:38:17.864Z,165413749786404
"Your hand is 4♦, Q♦",2022-06-02T02:38:17.864Z,165413749786402
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.64) | #10 ""Breezy @ _8CiDq023a"" (3.11)",2022-06-02T02:38:17.864Z,165413749786401
"-- starting hand #101  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-02T02:38:17.864Z,165413749786400
"""K Godel @ Di5cxDUTF9"" shows a 2♣, 5♦.",2022-06-02T02:38:12.556Z,165413749255600
"""Breezy @ _8CiDq023a"" shows a Q♠, A♥.",2022-06-02T02:38:11.263Z,165413749126300
"-- ending hand #100 --",2022-06-02T02:38:10.536Z,165413749053602
"""Breezy @ _8CiDq023a"" collected 0.04 from pot",2022-06-02T02:38:10.536Z,165413749053601
"Uncalled bet of 0.04 returned to ""Breezy @ _8CiDq023a""",2022-06-02T02:38:10.536Z,165413749053600
"""K Godel @ Di5cxDUTF9"" folds",2022-06-02T02:38:09.686Z,165413748968600
"""Breezy @ _8CiDq023a"" raises to 0.06",2022-06-02T02:38:08.552Z,165413748855200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-02T02:38:06.233Z,165413748623305
"""Breezy @ _8CiDq023a"" posts a small blind of 0.01",2022-06-02T02:38:06.233Z,165413748623304
"Your hand is 2♣, 5♦",2022-06-02T02:38:06.233Z,165413748623302
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.66) | #10 ""Breezy @ _8CiDq023a"" (3.09)",2022-06-02T02:38:06.233Z,165413748623301
"-- starting hand #100  (No Limit Texas Hold'em) (dealer: ""Breezy @ _8CiDq023a"") --",2022-06-02T02:38:06.233Z,165413748623300
"""K Godel @ Di5cxDUTF9"" shows a J♠, K♥.",2022-06-02T02:37:59.956Z,165413747995600
"""Breezy @ _8CiDq023a"" shows a 3♠, 9♣.",2022-06-02T02:37:59.378Z,165413747937800
"-- ending hand #99 --",2022-06-02T02:37:58.833Z,165413747883302
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-06-02T02:37:58.833Z,165413747883301
"Uncalled bet of 0.04 returned to ""K Godel @ Di5cxDUTF9""",2022-06-02T02:37:58.833Z,165413747883300
"""Breezy @ _8CiDq023a"" folds",2022-06-02T02:37:58.023Z,165413747802300
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-02T02:37:56.322Z,165413747632200
"""Breezy @ _8CiDq023a"" posts a big blind of 0.02",2022-06-02T02:37:53.030Z,165413747303005
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-02T02:37:53.030Z,165413747303004
"Your hand is J♠, K♥",2022-06-02T02:37:53.030Z,165413747303002
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.64) | #10 ""Breezy @ _8CiDq023a"" (3.11)",2022-06-02T02:37:53.030Z,165413747303001
"-- starting hand #99  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-02T02:37:53.030Z,165413747303000
"""Breezy @ _8CiDq023a"" shows a 2♦, 9♦.",2022-06-02T02:37:51.805Z,165413747180500
"""K Godel @ Di5cxDUTF9"" shows a J♥, Q♣.",2022-06-02T02:37:49.558Z,165413746955800
"-- ending hand #98 --",2022-06-02T02:37:48.638Z,165413746863802
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-06-02T02:37:48.638Z,165413746863801
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-06-02T02:37:48.638Z,165413746863800
"""Breezy @ _8CiDq023a"" folds",2022-06-02T02:37:47.772Z,165413746777200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-02T02:37:45.737Z,165413746573705
"""Breezy @ _8CiDq023a"" posts a small blind of 0.01",2022-06-02T02:37:45.737Z,165413746573704
"Your hand is J♥, Q♣",2022-06-02T02:37:45.737Z,165413746573702
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (9.63) | #10 ""Breezy @ _8CiDq023a"" (3.12)",2022-06-02T02:37:45.737Z,165413746573701
"-- starting hand #98  (No Limit Texas Hold'em) (dealer: ""Breezy @ _8CiDq023a"") --",2022-06-02T02:37:45.737Z,165413746573700
"""K Godel @ Di5cxDUTF9"" shows a 8♥, A♦.",2022-06-02T02:37:39.303Z,165413745930300
"-- ending hand #97 --",2022-06-02T02:37:36.622Z,165413745662202
"""Breezy @ _8CiDq023a"" collected 1.00 from pot with Full House, 10's over 7's (combination: 10♦, 10♥, 10♠, 7♣, 7♥)",2022-06-02T02:37:36.622Z,165413745662201
"""Breezy @ _8CiDq023a"" shows a 10♦, Q♠.",2022-06-02T02:37:36.622Z,165413745662200
"""K Godel @ Di5cxDUTF9"" calls 0.20",2022-06-02T02:37:35.756Z,165413745575600
"""Breezy @ _8CiDq023a"" bets 0.20",2022-06-02T02:37:32.635Z,165413745263500
"River: 7♣, 10♥, 10♠, 5♥ [7♥]",2022-06-02T02:37:08.311Z,165413742831100
"""K Godel @ Di5cxDUTF9"" calls 0.12",2022-06-02T02:37:07.404Z,165413742740400
"""Breezy @ _8CiDq023a"" bets 0.12",2022-06-02T02:37:05.041Z,165413742504100
"Turn: 7♣, 10♥, 10♠ [5♥]",2022-06-02T02:37:00.332Z,165413742033200
"""K Godel @ Di5cxDUTF9"" checks",2022-06-02T02:36:59.497Z,165413741949700
"""Breezy @ _8CiDq023a"" checks",2022-06-02T02:36:57.456Z,165413741745600
"Flop:  [7♣, 10♥, 10♠]",2022-06-02T02:36:47.387Z,165413740738700
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-06-02T02:36:46.526Z,165413740652600
"""Breezy @ _8CiDq023a"" raises to 0.18",2022-06-02T02:36:42.311Z,165413740231100
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-02T02:36:34.990Z,165413739499000
"""Breezy @ _8CiDq023a"" posts a big blind of 0.02",2022-06-02T02:36:30.487Z,165413739048705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-02T02:36:30.487Z,165413739048704
"Your hand is 8♥, A♦",2022-06-02T02:36:30.487Z,165413739048702
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (10.13) | #10 ""Breezy @ _8CiDq023a"" (2.62)",2022-06-02T02:36:30.487Z,165413739048701
"-- starting hand #97  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-02T02:36:30.487Z,165413739048700
"""K Godel @ Di5cxDUTF9"" shows a A♣, 6♠.",2022-06-02T02:36:22.517Z,165413738251700
"-- ending hand #96 --",2022-06-02T02:36:21.285Z,165413738128502
"""Breezy @ _8CiDq023a"" collected 0.96 from pot with Two Pair, 5's & 4's (combination: 5♠, 5♣, 4♠, 4♦, K♣)",2022-06-02T02:36:21.285Z,165413738128501
"""Breezy @ _8CiDq023a"" shows a 5♠, 7♦.",2022-06-02T02:36:21.285Z,165413738128500
"""K Godel @ Di5cxDUTF9"" calls 0.24",2022-06-02T02:36:20.394Z,165413738039400
"""Breezy @ _8CiDq023a"" bets 0.24",2022-06-02T02:36:15.303Z,165413737530300
"""K Godel @ Di5cxDUTF9"" checks",2022-06-02T02:35:56.557Z,165413735655700
"River: 5♣, 3♦, 4♠, 4♦ [K♣]",2022-06-02T02:35:53.733Z,165413735373300
"""Breezy @ _8CiDq023a"" calls 0.12",2022-06-02T02:35:52.896Z,165413735289600
"""K Godel @ Di5cxDUTF9"" bets 0.12",2022-06-02T02:35:41.008Z,165413734100800
"Turn: 5♣, 3♦, 4♠ [4♦]",2022-06-02T02:35:37.045Z,165413733704500
"""Breezy @ _8CiDq023a"" calls 0.06",2022-06-02T02:35:36.142Z,165413733614200
"""K Godel @ Di5cxDUTF9"" bets 0.06",2022-06-02T02:35:32.340Z,165413733234000
"Flop:  [5♣, 3♦, 4♠]",2022-06-02T02:35:25.524Z,165413732552400
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-02T02:35:24.656Z,165413732465600
"""Breezy @ _8CiDq023a"" raises to 0.06",2022-06-02T02:35:23.017Z,165413732301700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-02T02:35:20.520Z,165413732052005
"""Breezy @ _8CiDq023a"" posts a small blind of 0.01",2022-06-02T02:35:20.520Z,165413732052004
"Your hand is A♣, 6♠",2022-06-02T02:35:20.520Z,165413732052002
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (10.61) | #10 ""Breezy @ _8CiDq023a"" (2.14)",2022-06-02T02:35:20.520Z,165413732052001
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""Breezy @ _8CiDq023a"") --",2022-06-02T02:35:20.520Z,165413732052000
