entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 75.03.",2023-01-08T07:58:48.540Z,167316472854001
"The player ""Malarkey @ Ia-cNlUwV8"" stand up with the stack of 75.03.",2023-01-08T07:58:48.540Z,167316472854000
"-- ending hand #446 --",2023-01-08T07:58:45.613Z,167316472561302
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2023-01-08T07:58:45.613Z,167316472561301
"Uncalled bet of 0.50 returned to ""Deckhole @ 3URETjsK60""",2023-01-08T07:58:45.613Z,167316472561300
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-08T07:58:44.782Z,167316472478201
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Malarkey @ Ia-cNlUwV8"".",2023-01-08T07:58:44.782Z,167316472478200
"""Deckhole @ 3URETjsK60"" raises to 0.75",2023-01-08T07:58:30.591Z,167316471059100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2023-01-08T07:58:11.100Z,167316469110005
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-08T07:58:11.100Z,167316469110004
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (50.70) | #3 ""Malarkey @ Ia-cNlUwV8"" (75.28)",2023-01-08T07:58:11.100Z,167316469110001
"-- starting hand #446 (id: udtej2wvlraz)  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-08T07:58:11.100Z,167316469110000
"-- ending hand #445 --",2023-01-08T07:58:08.119Z,167316468811902
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2023-01-08T07:58:08.119Z,167316468811901
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2023-01-08T07:58:08.119Z,167316468811900
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-08T07:58:07.295Z,167316468729500
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-08T07:57:47.271Z,167316466727105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2023-01-08T07:57:47.271Z,167316466727104
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (50.60) | #3 ""Malarkey @ Ia-cNlUwV8"" (75.38)",2023-01-08T07:57:47.271Z,167316466727101
"-- starting hand #445 (id: xypzt0so4ccg)  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-08T07:57:47.271Z,167316466727100
"-- ending hand #444 --",2023-01-08T07:57:44.303Z,167316466430302
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2023-01-08T07:57:44.303Z,167316466430301
"Uncalled bet of 0.50 returned to ""Deckhole @ 3URETjsK60""",2023-01-08T07:57:44.303Z,167316466430300
