entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 5.07.",2022-06-13T06:50:50.631Z,165510305063100
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 24.00.",2022-06-13T06:50:33.309Z,165510303330901
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Poindexter @ _yf6aQFJyI"".",2022-06-13T06:50:33.309Z,165510303330900
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 5.07.",2022-06-13T04:09:04.644Z,165509334464400
"-- ending hand #182 --",2022-06-13T04:08:55.626Z,165509333562604
"""Poindexter @ _yf6aQFJyI"" collected 0.24 from pot with low hand with seven high (combination: 2♦, 3♠, 4♣, 5♥, 7♣)",2022-06-13T04:08:55.626Z,165509333562603
"""Poindexter @ _yf6aQFJyI"" shows a 7♣, 4♣, 8♣, 4♠.",2022-06-13T04:08:55.626Z,165509333562602
"""K Godel @ Di5cxDUTF9"" collected 0.24 from pot with hi hand with three of a kind queens (combination: 5♥, K♦, Q♥, Q♠, Q♣)",2022-06-13T04:08:55.626Z,165509333562601
"""K Godel @ Di5cxDUTF9"" shows a J♣, Q♥, J♦, K♦.",2022-06-13T04:08:55.626Z,165509333562600
"""Poindexter @ _yf6aQFJyI"" calls 0.12",2022-06-13T04:08:54.733Z,165509333473300
"""K Godel @ Di5cxDUTF9"" bets 0.12",2022-06-13T04:08:53.647Z,165509333364700
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:08:49.028Z,165509332902800
"River: Q♠, 3♠, 5♥, 2♦ [Q♣]",2022-06-13T04:08:46.613Z,165509332661300
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:08:45.741Z,165509332574100
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:08:44.721Z,165509332472100
"Turn: Q♠, 3♠, 5♥ [2♦]",2022-06-13T04:08:39.104Z,165509331910400
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-13T04:08:38.293Z,165509331829300
"""Poindexter @ _yf6aQFJyI"" bets 0.06",2022-06-13T04:08:36.494Z,165509331649400
"Flop:  [Q♠, 3♠, 5♥]",2022-06-13T04:08:25.800Z,165509330580000
"""Poindexter @ _yf6aQFJyI"" calls 0.06",2022-06-13T04:08:24.902Z,165509330490200
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-13T04:08:18.740Z,165509329874000
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-06-13T04:08:08.092Z,165509328809205
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-13T04:08:08.092Z,165509328809204
"Your hand is J♣, Q♥, J♦, K♦",2022-06-13T04:08:08.092Z,165509328809202
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (5.07) | #7 ""Poindexter @ _yf6aQFJyI"" (24.00)",2022-06-13T04:08:08.092Z,165509328809201
"-- starting hand #182  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-13T04:08:08.092Z,165509328809200
"""Poindexter @ _yf6aQFJyI"" shows a 10♦, 10♣, 4♣, Q♦.",2022-06-13T04:08:02.116Z,165509328211600
"-- ending hand #181 --",2022-06-13T04:07:58.925Z,165509327892502
"""K Godel @ Di5cxDUTF9"" collected 0.72 from pot with hi hand with two pair kings and sixes (combination: A♦, 6♥, 6♣, K♥, K♠)",2022-06-13T04:07:58.925Z,165509327892501
"""K Godel @ Di5cxDUTF9"" shows a 2♣, 3♣, K♥, A♦.",2022-06-13T04:07:58.925Z,165509327892500
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:07:58.009Z,165509327800900
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:07:37.871Z,165509325787100
"River: 6♥, 6♣, K♠, Q♥ [9♠]",2022-06-13T04:07:35.305Z,165509325530500
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-06-13T04:07:34.468Z,165509325446800
"""Poindexter @ _yf6aQFJyI"" bets 0.18",2022-06-13T04:07:32.496Z,165509325249600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:07:22.848Z,165509324284800
"Turn: 6♥, 6♣, K♠ [Q♥]",2022-06-13T04:07:18.903Z,165509323890300
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:07:18.066Z,165509323806600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:07:08.909Z,165509322890900
"Flop:  [6♥, 6♣, K♠]",2022-06-13T04:07:02.757Z,165509322275700
"""Poindexter @ _yf6aQFJyI"" calls 0.18",2022-06-13T04:07:01.941Z,165509322194100
"""K Godel @ Di5cxDUTF9"" raises to 0.18",2022-06-13T04:06:34.373Z,165509319437300
"""Poindexter @ _yf6aQFJyI"" raises to 0.06",2022-06-13T04:06:24.294Z,165509318429400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-13T04:05:54.604Z,165509315460405
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-06-13T04:05:54.604Z,165509315460404
"Your hand is 2♣, 3♣, K♥, A♦",2022-06-13T04:05:54.604Z,165509315460402
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (4.71) | #7 ""Poindexter @ _yf6aQFJyI"" (24.36)",2022-06-13T04:05:54.604Z,165509315460401
"-- starting hand #181  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Poindexter @ _yf6aQFJyI"") --",2022-06-13T04:05:54.604Z,165509315460400
"""K Godel @ Di5cxDUTF9"" shows a 2♦, K♦, 5♥, 3♥.",2022-06-13T04:05:52.495Z,165509315249500
"""Poindexter @ _yf6aQFJyI"" shows a 7♦, Q♦, 4♥, 9♦.",2022-06-13T04:05:51.023Z,165509315102300
"-- ending hand #180 --",2022-06-13T04:05:50.207Z,165509315020702
"""Poindexter @ _yf6aQFJyI"" collected 0.48 from pot",2022-06-13T04:05:50.207Z,165509315020701
"Uncalled bet of 0.48 returned to ""Poindexter @ _yf6aQFJyI""",2022-06-13T04:05:50.207Z,165509315020700
"""K Godel @ Di5cxDUTF9"" folds",2022-06-13T04:05:49.324Z,165509314932400
"""Poindexter @ _yf6aQFJyI"" bets 0.48",2022-06-13T04:05:43.718Z,165509314371800
"River: 4♣, 7♥, 10♣, 7♣ [10♠]",2022-06-13T04:05:34.700Z,165509313470000
"""K Godel @ Di5cxDUTF9"" calls 0.12",2022-06-13T04:05:33.845Z,165509313384500
"""Poindexter @ _yf6aQFJyI"" bets 0.12",2022-06-13T04:05:32.332Z,165509313233200
"Turn: 4♣, 7♥, 10♣ [7♣]",2022-06-13T04:05:17.488Z,165509311748800
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-13T04:05:16.658Z,165509311665800
"""Poindexter @ _yf6aQFJyI"" bets 0.06",2022-06-13T04:05:09.113Z,165509310911300
"Flop:  [4♣, 7♥, 10♣]",2022-06-13T04:04:57.477Z,165509309747700
"""Poindexter @ _yf6aQFJyI"" calls 0.06",2022-06-13T04:04:56.627Z,165509309662700
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-06-13T04:04:40.110Z,165509308011000
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-06-13T04:04:29.059Z,165509306905905
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-06-13T04:04:29.059Z,165509306905904
"Your hand is 2♦, K♦, 5♥, 3♥",2022-06-13T04:04:29.059Z,165509306905902
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (4.95) | #7 ""Poindexter @ _yf6aQFJyI"" (24.12)",2022-06-13T04:04:29.059Z,165509306905901
"-- starting hand #180  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-13T04:04:29.059Z,165509306905900
"""Poindexter @ _yf6aQFJyI"" shows a 6♠, 3♣, 2♦, 5♥.",2022-06-13T04:04:23.826Z,165509306382600
"-- ending hand #179 --",2022-06-13T04:04:19.855Z,165509305985502
"""K Godel @ Di5cxDUTF9"" collected 0.12 from pot with hi hand with a pair of tens (combination: 8♦, Q♦, K♥, 10♠, 10♥)",2022-06-13T04:04:19.855Z,165509305985501
"""K Godel @ Di5cxDUTF9"" shows a 4♦, 8♠, 8♦, 10♠.",2022-06-13T04:04:19.855Z,165509305985500
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:04:18.924Z,165509305892400
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:04:11.321Z,165509305132100
"River: 10♥, 7♣, 9♥, K♥ [Q♦]",2022-06-13T04:04:04.842Z,165509304484200
"""Poindexter @ _yf6aQFJyI"" checks",2022-06-13T04:04:03.950Z,165509304395000
"""K Godel @ Di5cxDUTF9"" checks",2022-06-13T04:03:55.172Z,165509303517200
"Turn: 10♥, 7♣, 9♥ [K♥]",2022-06-13T04:03:53.227Z,165509303322700
