entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" passed the room ownership to ""Deckhole @ _yf6aQFJyI"".",2022-06-19T09:12:41.601Z,165562996160100
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-06-19T08:47:18.687Z,165562843868701
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.00.",2022-06-19T08:47:18.687Z,165562843868700
"-- ending hand #435 --",2022-06-19T08:47:12.672Z,165562843267202
"""Deckhole @ _yf6aQFJyI"" collected 60.82 from pot with Full House (combination: K♠, K♣, K♦, 6♠, 6♣)",2022-06-19T08:47:12.672Z,165562843267201
"""Deckhole @ _yf6aQFJyI"" collected 308.76 from pot with Full House (combination: K♠, K♣, K♦, 6♠, 6♣)",2022-06-19T08:47:12.672Z,165562843267200
"River: 5♦, 6♠, K♦, 2♣ [6♣]",2022-06-19T08:47:08.614Z,165562842861400
"""K Godel @ Di5cxDUTF9"" shows a A♦, 8♥, 7♣, 10♦.",2022-06-19T08:47:04.605Z,165562842460502
"""Malarkey @ Ia-cNlUwV8"" shows a 4♦, 5♠, 7♦, 8♦.",2022-06-19T08:47:04.605Z,165562842460501
"""Deckhole @ _yf6aQFJyI"" shows a K♠, J♣, K♣, 3♦.",2022-06-19T08:47:04.605Z,165562842460500
"Some players choose to not run it twice.",2022-06-19T08:47:03.770Z,165562842377001
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2022-06-19T08:47:03.770Z,165562842377000
"Remaining players decide whether to run it twice.",2022-06-19T08:47:03.719Z,165562842371901
"""Malarkey @ Ia-cNlUwV8"" calls 30.41 and go all in",2022-06-19T08:47:03.719Z,165562842371900
"""Deckhole @ _yf6aQFJyI"" bets 30.41",2022-06-19T08:47:00.253Z,165562842025300
"Turn: 5♦, 6♠, K♦ [2♣]",2022-06-19T08:46:56.597Z,165562841659700
"""Malarkey @ Ia-cNlUwV8"" calls 100.12",2022-06-19T08:46:55.764Z,165562841576400
"""Deckhole @ _yf6aQFJyI"" calls 100.12",2022-06-19T08:46:48.863Z,165562840886300
"""K Godel @ Di5cxDUTF9"" raises to 100.12 and go all in",2022-06-19T08:46:41.346Z,165562840134600
"""Malarkey @ Ia-cNlUwV8"" calls 58.80",2022-06-19T08:46:18.876Z,165562837887600
"""Deckhole @ _yf6aQFJyI"" raises to 58.80",2022-06-19T08:46:05.178Z,165562836517800
"""K Godel @ Di5cxDUTF9"" calls 12.60",2022-06-19T08:46:01.988Z,165562836198800
"""Malarkey @ Ia-cNlUwV8"" raises to 12.60",2022-06-19T08:45:48.920Z,165562834892000
"""Deckhole @ _yf6aQFJyI"" bets 4.20",2022-06-19T08:45:38.908Z,165562833890800
"Flop:  [5♦, 6♠, K♦]",2022-06-19T08:45:34.330Z,165562833433000
"""K Godel @ Di5cxDUTF9"" calls 2.80",2022-06-19T08:45:33.456Z,165562833345600
"""Malarkey @ Ia-cNlUwV8"" calls 2.80",2022-06-19T08:45:31.935Z,165562833193500
"""Deckhole @ _yf6aQFJyI"" raises to 2.80",2022-06-19T08:45:27.239Z,165562832723900
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-06-19T08:45:21.650Z,165562832165000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-06-19T08:45:14.315Z,165562831431506
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-06-19T08:45:14.315Z,165562831431505
"Your hand is A♦, 8♥, 7♣, 10♦",2022-06-19T08:45:14.315Z,165562831431504
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (310.82) | #4 ""Malarkey @ Ia-cNlUwV8"" (133.33) | #5 ""K Godel @ Di5cxDUTF9"" (102.92)",2022-06-19T08:45:14.315Z,165562831431501
"-- starting hand #435  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-19T08:45:14.315Z,165562831431500
"-- ending hand #434 --",2022-06-19T08:45:08.193Z,165562830819302
"""K Godel @ Di5cxDUTF9"" collected 25.33 from pot with Full House (combination: 5♠, 5♣, 5♦, K♠, K♥)",2022-06-19T08:45:08.193Z,165562830819301
"""K Godel @ Di5cxDUTF9"" shows a 3♦, Q♣, K♠, 5♠.",2022-06-19T08:45:08.193Z,165562830819300
"""Malarkey @ Ia-cNlUwV8"" calls 5.03",2022-06-19T08:45:07.349Z,165562830734900
"""K Godel @ Di5cxDUTF9"" bets 5.03",2022-06-19T08:45:05.776Z,165562830577600
"River: 5♣, 5♦, K♥, 6♥ [9♣]",2022-06-19T08:44:44.872Z,165562828487200
"""K Godel @ Di5cxDUTF9"" calls 5.09",2022-06-19T08:44:43.996Z,165562828399600
"""Malarkey @ Ia-cNlUwV8"" bets 5.09",2022-06-19T08:44:41.555Z,165562828155500
"""K Godel @ Di5cxDUTF9"" checks",2022-06-19T08:44:36.419Z,165562827641900
"Turn: 5♣, 5♦, K♥ [6♥]",2022-06-19T08:44:32.958Z,165562827295800
"""Deckhole @ _yf6aQFJyI"" folds",2022-06-19T08:44:32.083Z,165562827208300
"""K Godel @ Di5cxDUTF9"" calls 1.27",2022-06-19T08:44:28.658Z,165562826865800
