entry,at,order
"The player ""lynn @ 9CcL0DjUmK"" sit back with the stack of 1.85.",2022-09-12T03:41:09.172Z,166295406917200
"The player ""Jean @ _I_YnTCjVs"" stand up with the stack of 2.42.",2022-09-12T02:26:41.184Z,166294960118400
"-- ending hand #180 --",2022-09-12T02:26:38.185Z,166294959818502
"""K Godel @ TN11URmFSv"" collected 0.02 from pot",2022-09-12T02:26:38.185Z,166294959818501
"Uncalled bet of 0.01 returned to ""K Godel @ TN11URmFSv""",2022-09-12T02:26:38.185Z,166294959818500
"""Jean @ _I_YnTCjVs"" folds",2022-09-12T02:26:37.312Z,166294959731200
"""K Godel @ TN11URmFSv"" posts a big blind of 0.02",2022-09-12T02:26:19.172Z,166294957917207
"""Jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-09-12T02:26:19.172Z,166294957917206
"Your hand is 9♥, 2♠, 4♣, 5♦",2022-09-12T02:26:19.172Z,166294957917205
"Player stacks: #2 ""Jean @ _I_YnTCjVs"" (2.43) | #3 ""K Godel @ TN11URmFSv"" (3.99)",2022-09-12T02:26:19.172Z,166294957917203
"-- starting hand #180  (Pot Limit Omaha Hi) (dealer: ""Jean @ _I_YnTCjVs"") --",2022-09-12T02:26:19.172Z,166294957917202
"The player ""Breezy @ _8CiDq023a"" quits the game with a stack of 4.01.",2022-09-12T02:26:19.172Z,166294957917201
"The player ""Poindexter @ 3URETjsK60"" stand up with the stack of 8.76.",2022-09-12T02:26:19.172Z,166294957917200
"-- ending hand #179 --",2022-09-12T02:26:16.167Z,166294957616702
"""K Godel @ TN11URmFSv"" collected 0.30 from pot",2022-09-12T02:26:16.167Z,166294957616701
"Uncalled bet of 0.30 returned to ""K Godel @ TN11URmFSv""",2022-09-12T02:26:16.167Z,166294957616700
"""Jean @ _I_YnTCjVs"" folds",2022-09-12T02:26:15.264Z,166294957526400
"""K Godel @ TN11URmFSv"" bets 0.30",2022-09-12T02:26:12.395Z,166294957239500
"""Jean @ _I_YnTCjVs"" checks",2022-09-12T02:26:07.933Z,166294956793300
"River: 4♣, Q♠, 10♠, 5♥ [J♥]",2022-09-12T02:26:04.438Z,166294956443800
"""K Godel @ TN11URmFSv"" checks",2022-09-12T02:26:03.570Z,166294956357000
"""Jean @ _I_YnTCjVs"" checks",2022-09-12T02:25:54.976Z,166294955497600
"Turn: 4♣, Q♠, 10♠ [5♥]",2022-09-12T02:25:52.424Z,166294955242400
"""Jean @ _I_YnTCjVs"" calls 0.09",2022-09-12T02:25:51.511Z,166294955151100
"""K Godel @ TN11URmFSv"" bets 0.09",2022-09-12T02:25:50.060Z,166294955006000
"""Jean @ _I_YnTCjVs"" checks",2022-09-12T02:25:44.776Z,166294954477600
"Flop:  [4♣, Q♠, 10♠]",2022-09-12T02:25:36.438Z,166294953643800
"""K Godel @ TN11URmFSv"" calls 0.06",2022-09-12T02:25:35.582Z,166294953558200
"""Jean @ _I_YnTCjVs"" raises to 0.06",2022-09-12T02:25:29.679Z,166294952967900
"""Poindexter @ 3URETjsK60"" folds",2022-09-12T02:25:23.030Z,166294952303000
"""Breezy @ _8CiDq023a"" folds",2022-09-12T02:25:10.741Z,166294951074100
"""K Godel @ TN11URmFSv"" posts a big blind of 0.02",2022-09-12T02:25:09.006Z,166294950900607
"""Jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-09-12T02:25:09.006Z,166294950900606
"Your hand is 8♣, 5♣, 7♠, 7♥",2022-09-12T02:25:09.006Z,166294950900604
"Player stacks: #1 ""Poindexter @ 3URETjsK60"" (8.76) | #2 ""Jean @ _I_YnTCjVs"" (2.58) | #3 ""K Godel @ TN11URmFSv"" (3.84) | #9 ""Breezy @ _8CiDq023a"" (4.01)",2022-09-12T02:25:09.006Z,166294950900601
"-- starting hand #179  (Pot Limit Omaha Hi) (dealer: ""Poindexter @ 3URETjsK60"") --",2022-09-12T02:25:09.006Z,166294950900600
"-- ending hand #178 --",2022-09-12T02:25:03.005Z,166294950300502
"""Breezy @ _8CiDq023a"" collected 0.05 from pot",2022-09-12T02:25:03.005Z,166294950300501
"Uncalled bet of 0.04 returned to ""Breezy @ _8CiDq023a""",2022-09-12T02:25:03.005Z,166294950300500
"""Jean @ _I_YnTCjVs"" folds",2022-09-12T02:25:02.075Z,166294950207500
"""Poindexter @ 3URETjsK60"" folds",2022-09-12T02:24:58.803Z,166294949880300
"""Breezy @ _8CiDq023a"" raises to 0.06",2022-09-12T02:24:55.073Z,166294949507300
"""K Godel @ TN11URmFSv"" folds",2022-09-12T02:24:51.845Z,166294949184500
"""Jean @ _I_YnTCjVs"" posts a big blind of 0.02",2022-09-12T02:24:35.985Z,166294947598507
"""Poindexter @ 3URETjsK60"" posts a small blind of 0.01",2022-09-12T02:24:35.985Z,166294947598506
"Your hand is Q♥, K♥, 7♣, 2♦",2022-09-12T02:24:35.985Z,166294947598504
"Player stacks: #1 ""Poindexter @ 3URETjsK60"" (8.77) | #2 ""Jean @ _I_YnTCjVs"" (2.60) | #3 ""K Godel @ TN11URmFSv"" (3.84) | #9 ""Breezy @ _8CiDq023a"" (3.98)",2022-09-12T02:24:35.985Z,166294947598501
"-- starting hand #178  (Pot Limit Omaha Hi) (dealer: ""Breezy @ _8CiDq023a"") --",2022-09-12T02:24:35.985Z,166294947598500
