entry,at,order
"The player ""Mag Kirwin @ e4MtM50XXb"" quits the game with a stack of 133.63.",2022-09-08T04:48:09.639Z,166261248963901
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mag Kirwin @ e4MtM50XXb"".",2022-09-08T04:48:09.639Z,166261248963900
"The player ""lynn @ LbqJGJ3sQl"" quits the game with a stack of 105.81.",2022-09-08T04:48:01.821Z,166261248182101
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""lynn @ LbqJGJ3sQl"".",2022-09-08T04:48:01.821Z,166261248182100
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 25.22.",2022-09-08T04:47:54.046Z,166261247404600
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 25.22.",2022-09-08T04:46:53.969Z,166261241396900
"The player ""lynn @ LbqJGJ3sQl"" stand up with the stack of 105.81.",2022-09-08T04:46:49.222Z,166261240922200
"-- ending hand #201 --",2022-09-08T04:46:43.210Z,166261240321002
"""lynn @ LbqJGJ3sQl"" collected 0.50 from pot with One Pair (combination: 10♣, 10♥, A♥, J♠, 7♠)",2022-09-08T04:46:43.210Z,166261240321001
"""lynn @ LbqJGJ3sQl"" shows a Q♣, K♦, 10♣, 10♥.",2022-09-08T04:46:43.210Z,166261240321000
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:46:42.369Z,166261240236900
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:46:41.410Z,166261240141000
"River: 2♠, 7♠, J♠, A♥ [3♣]",2022-09-08T04:46:38.207Z,166261239820700
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:46:37.369Z,166261239736900
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:46:36.461Z,166261239646100
"Turn: 2♠, 7♠, J♠ [A♥]",2022-09-08T04:46:33.215Z,166261239321500
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:46:32.381Z,166261239238100
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:46:30.140Z,166261239014000
"Flop:  [2♠, 7♠, J♠]",2022-09-08T04:46:23.484Z,166261238348400
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:46:22.636Z,166261238263600
"""lynn @ LbqJGJ3sQl"" calls 0.25",2022-09-08T04:46:19.989Z,166261237998900
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-09-08T04:46:05.974Z,166261236597405
"""lynn @ LbqJGJ3sQl"" posts a small blind of 0.10",2022-09-08T04:46:05.974Z,166261236597404
"Your hand is 4♣, 6♦, 8♥, 2♣",2022-09-08T04:46:05.974Z,166261236597402
"Player stacks: #5 ""K Godel @ TN11URmFSv"" (25.47) | #7 ""lynn @ LbqJGJ3sQl"" (105.56)",2022-09-08T04:46:05.974Z,166261236597401
"-- starting hand #201  (Pot Limit Omaha Hi) (dealer: ""lynn @ LbqJGJ3sQl"") --",2022-09-08T04:46:05.974Z,166261236597400
"-- ending hand #200 --",2022-09-08T04:46:02.978Z,166261236297802
"""lynn @ LbqJGJ3sQl"" collected 9.00 from pot",2022-09-08T04:46:02.978Z,166261236297801
"Uncalled bet of 4.50 returned to ""lynn @ LbqJGJ3sQl""",2022-09-08T04:46:02.978Z,166261236297800
"""K Godel @ TN11URmFSv"" folds",2022-09-08T04:46:02.111Z,166261236211100
"""lynn @ LbqJGJ3sQl"" bets 4.50",2022-09-08T04:46:00.626Z,166261236062600
"River: 9♠, 10♣, J♣, 10♠ [4♥]",2022-09-08T04:45:54.668Z,166261235466800
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:45:53.807Z,166261235380700
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:45:51.472Z,166261235147200
"Turn: 9♠, 10♣, J♣ [10♠]",2022-09-08T04:45:47.855Z,166261234785500
"""K Godel @ TN11URmFSv"" calls 3.75",2022-09-08T04:45:47.028Z,166261234702800
"""lynn @ LbqJGJ3sQl"" raises to 3.75",2022-09-08T04:45:44.894Z,166261234489400
"""K Godel @ TN11URmFSv"" bets 1.50",2022-09-08T04:45:38.432Z,166261233843200
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:45:23.846Z,166261232384600
"Flop:  [9♠, 10♣, J♣]",2022-09-08T04:45:14.827Z,166261231482700
"""lynn @ LbqJGJ3sQl"" calls 0.75",2022-09-08T04:45:13.966Z,166261231396600
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-09-08T04:45:06.584Z,166261230658400
"""lynn @ LbqJGJ3sQl"" posts a big blind of 0.25",2022-09-08T04:44:54.609Z,166261229460906
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-08T04:44:54.609Z,166261229460905
"Your hand is 4♠, A♣, 6♣, 8♠",2022-09-08T04:44:54.609Z,166261229460903
"Player stacks: #5 ""K Godel @ TN11URmFSv"" (29.97) | #7 ""lynn @ LbqJGJ3sQl"" (101.06)",2022-09-08T04:44:54.609Z,166261229460902
"-- starting hand #200  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-09-08T04:44:54.609Z,166261229460901
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 133.63.",2022-09-08T04:44:54.609Z,166261229460900
"-- ending hand #199 --",2022-09-08T04:44:48.605Z,166261228860503
"""K Godel @ TN11URmFSv"" shows a J♠, 9♠, 9♥, 6♣.",2022-09-08T04:44:48.605Z,166261228860502
"""lynn @ LbqJGJ3sQl"" collected 5.50 from pot with Two Pair (combination: J♣, J♦, 8♦, 8♥, A♣)",2022-09-08T04:44:48.605Z,166261228860501
"""lynn @ LbqJGJ3sQl"" shows a 2♥, J♣, A♣, 7♥.",2022-09-08T04:44:48.605Z,166261228860500
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:44:47.784Z,166261228778400
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:44:44.235Z,166261228423500
"River: 8♦, Q♣, 5♦, J♦ [8♥]",2022-09-08T04:44:41.532Z,166261228153200
"""K Godel @ TN11URmFSv"" calls 1.25",2022-09-08T04:44:40.680Z,166261228068000
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-09-08T04:44:21.825Z,166261226182500
"""lynn @ LbqJGJ3sQl"" bets 1.25",2022-09-08T04:44:17.993Z,166261225799300
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:44:09.459Z,166261224945900
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-08T04:43:55.897Z,166261223589700
"Turn: 8♦, Q♣, 5♦ [J♦]",2022-09-08T04:43:52.106Z,166261223210600
"""lynn @ LbqJGJ3sQl"" checks",2022-09-08T04:43:51.266Z,166261223126600
"""K Godel @ TN11URmFSv"" checks",2022-09-08T04:43:49.082Z,166261222908200
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-09-08T04:43:42.624Z,166261222262400
"Flop:  [8♦, Q♣, 5♦]",2022-09-08T04:43:36.768Z,166261221676800
"""lynn @ LbqJGJ3sQl"" calls 1.00",2022-09-08T04:43:35.894Z,166261221589400
"""K Godel @ TN11URmFSv"" calls 1.00",2022-09-08T04:43:28.263Z,166261220826300
"""Mag Kirwin @ e4MtM50XXb"" raises to 1.00",2022-09-08T04:43:21.708Z,166261220170800
"""lynn @ LbqJGJ3sQl"" calls 0.25",2022-09-08T04:43:04.492Z,166261218449200
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-09-08T04:43:00.355Z,166261218035508
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.10",2022-09-08T04:43:00.355Z,166261218035507
"Your hand is J♠, 9♠, 9♥, 6♣",2022-09-08T04:43:00.355Z,166261218035505
"Player stacks: #3 ""Mag Kirwin @ e4MtM50XXb"" (134.63) | #5 ""K Godel @ TN11URmFSv"" (32.22) | #7 ""lynn @ LbqJGJ3sQl"" (97.81)",2022-09-08T04:43:00.355Z,166261218035503
"-- starting hand #199  (Pot Limit Omaha Hi) (dealer: ""lynn @ LbqJGJ3sQl"") --",2022-09-08T04:43:00.355Z,166261218035502
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 41.31.",2022-09-08T04:43:00.355Z,166261218035501
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 41.31.",2022-09-08T04:43:00.355Z,166261218035500
"""Mag Kirwin @ e4MtM50XXb"" shows a 5♥, 9♣, K♠, 10♠.",2022-09-08T04:42:58.156Z,166261217815600
"-- ending hand #198 --",2022-09-08T04:42:56.749Z,166261217674902
"""Mag Kirwin @ e4MtM50XXb"" collected 30.57 from pot",2022-09-08T04:42:56.749Z,166261217674901
"Uncalled bet of 22.92 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-09-08T04:42:56.749Z,166261217674900
"""K Godel @ TN11URmFSv"" folds",2022-09-08T04:42:55.934Z,166261217593400
"""Mag Kirwin @ e4MtM50XXb"" bets 22.92",2022-09-08T04:42:26.680Z,166261214668000
