entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 6.60.",2022-06-01T03:34:18.624Z,165405445862400
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 6.60.",2022-06-01T03:34:16.063Z,165405445606300
"The player ""K Godel @ Di5cxDUTF9"" sit back with the stack of 6.60.",2022-06-01T03:34:13.359Z,165405445335900
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 6.61.",2022-06-01T03:34:01.143Z,165405444114301
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Malarkey @ Ia-cNlUwV8"".",2022-06-01T03:34:01.143Z,165405444114300
"The player ""She’s cake @ rMEEwzMegO"" quits the game with a stack of 6.04.",2022-06-01T03:33:44.230Z,165405442423001
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""She’s cake @ rMEEwzMegO"".",2022-06-01T03:33:44.230Z,165405442423000
"The player ""Jean @ _qaxMUlwNf"" quits the game with a stack of 7.73.",2022-06-01T03:33:25.682Z,165405440568201
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Jean @ _qaxMUlwNf"".",2022-06-01T03:33:25.682Z,165405440568200
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 2.32.",2022-06-01T03:33:06.052Z,165405438605201
"The admin ""K Godel @ Di5cxDUTF9"" enqueued the removal of the player ""Poindexter @ _yf6aQFJyI"".",2022-06-01T03:33:06.052Z,165405438605200
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 7.73.",2022-06-01T03:32:22.300Z,165405434230001
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 6.60.",2022-06-01T03:32:22.300Z,165405434230000
"-- ending hand #139 --",2022-06-01T03:32:13.196Z,165405433319602
"""Malarkey @ Ia-cNlUwV8"" collected 0.30 from pot with Pair, K's (combination: K♣, K♦, A♠, Q♠, 10♦)",2022-06-01T03:32:13.196Z,165405433319601
"""Malarkey @ Ia-cNlUwV8"" shows a 7♦, K♣.",2022-06-01T03:32:13.196Z,165405433319600
"""K Godel @ Di5cxDUTF9"" checks",2022-06-01T03:32:12.312Z,165405433231200
"""Malarkey @ Ia-cNlUwV8"" checks",2022-06-01T03:32:08.120Z,165405432812000
"River: 3♠, K♦, Q♠, A♠ [10♦]",2022-06-01T03:32:05.405Z,165405432540500
"""K Godel @ Di5cxDUTF9"" checks",2022-06-01T03:32:04.565Z,165405432456500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-06-01T03:32:00.775Z,165405432077500
"Turn: 3♠, K♦, Q♠ [A♠]",2022-06-01T03:31:58.689Z,165405431868900
"""K Godel @ Di5cxDUTF9"" calls 0.09",2022-06-01T03:31:57.839Z,165405431783900
"""Malarkey @ Ia-cNlUwV8"" bets 0.09",2022-06-01T03:31:55.431Z,165405431543100
"Flop:  [3♠, K♦, Q♠]",2022-06-01T03:31:50.685Z,165405431068500
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-06-01T03:31:49.831Z,165405430983100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-06-01T03:31:34.028Z,165405429402800
"""Jean @ _qaxMUlwNf"" folds",2022-06-01T03:31:30.322Z,165405429032200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-06-01T03:31:24.358Z,165405428435806
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-06-01T03:31:24.358Z,165405428435805
"Your hand is 8♠, Q♣",2022-06-01T03:31:24.358Z,165405428435802
