entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 47.70.",2022-07-09T04:26:26.098Z,165734078609800
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 53.31.",2022-07-09T04:22:57.829Z,165734057782900
"-- ending hand #89 --",2022-07-09T04:22:51.814Z,165734057181402
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot with Two Pair (combination: 7♥, 7♣, 5♥, 5♦, J♣)",2022-07-09T04:22:51.814Z,165734057181401
"""K Godel @ Di5cxDUTF9"" shows a K♣, 7♥, 2♠, 5♥.",2022-07-09T04:22:51.814Z,165734057181400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:22:50.911Z,165734057091100
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:22:49.406Z,165734056940600
"River: 9♣, 3♦, J♣, 7♣ [5♦]",2022-07-09T04:22:44.398Z,165734056439800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:22:43.512Z,165734056351200
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:22:39.478Z,165734055947800
"Turn: 9♣, 3♦, J♣ [7♣]",2022-07-09T04:22:37.598Z,165734055759800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:22:36.757Z,165734055675700
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:22:34.982Z,165734055498200
"Flop:  [9♣, 3♦, J♣]",2022-07-09T04:22:31.486Z,165734055148600
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-07-09T04:22:30.655Z,165734055065500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-07-09T04:22:29.630Z,165734054963000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-09T04:22:26.591Z,165734054659105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-09T04:22:26.591Z,165734054659104
"Your hand is K♣, 7♥, 2♠, 5♥",2022-07-09T04:22:26.591Z,165734054659102
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (46.95) | #5 ""Malarkey @ Ia-cNlUwV8"" (54.06)",2022-07-09T04:22:26.591Z,165734054659101
"-- starting hand #89  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-09T04:22:26.591Z,165734054659100
"-- ending hand #88 --",2022-07-09T04:22:23.674Z,165734054367402
"""Malarkey @ Ia-cNlUwV8"" collected 3.00 from pot",2022-07-09T04:22:23.674Z,165734054367401
"Uncalled bet of 3.00 returned to ""Malarkey @ Ia-cNlUwV8""",2022-07-09T04:22:23.674Z,165734054367400
"""K Godel @ Di5cxDUTF9"" folds",2022-07-09T04:22:22.791Z,165734054279100
"""Malarkey @ Ia-cNlUwV8"" bets 3.00",2022-07-09T04:22:18.234Z,165734053823400
"River: 7♥, A♠, 5♣, 6♣ [J♦]",2022-07-09T04:22:15.274Z,165734053527400
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:22:14.393Z,165734053439300
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:22:12.598Z,165734053259800
"Turn: 7♥, A♠, 5♣ [6♣]",2022-07-09T04:22:06.179Z,165734052617900
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:22:05.330Z,165734052533000
"""K Godel @ Di5cxDUTF9"" bets 0.75",2022-07-09T04:22:03.744Z,165734052374400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:21:56.168Z,165734051616800
"Flop:  [7♥, A♠, 5♣]",2022-07-09T04:21:47.164Z,165734050716400
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:21:46.288Z,165734050628800
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-07-09T04:21:44.170Z,165734050417000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-07-09T04:21:40.758Z,165734050075805
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-09T04:21:40.758Z,165734050075804
"Your hand is 3♣, A♦, K♥, 7♣",2022-07-09T04:21:40.758Z,165734050075802
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (48.45) | #5 ""Malarkey @ Ia-cNlUwV8"" (52.56)",2022-07-09T04:21:40.758Z,165734050075801
"-- starting hand #88  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-09T04:21:40.758Z,165734050075800
"-- ending hand #87 --",2022-07-09T04:21:37.762Z,165734049776202
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-07-09T04:21:37.762Z,165734049776201
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-07-09T04:21:37.762Z,165734049776200
"""Malarkey @ Ia-cNlUwV8"" folds",2022-07-09T04:21:36.940Z,165734049694000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-09T04:21:34.611Z,165734049461105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-09T04:21:34.611Z,165734049461104
"Your hand is 9♣, 4♦, Q♥, 6♥",2022-07-09T04:21:34.611Z,165734049461102
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (48.35) | #5 ""Malarkey @ Ia-cNlUwV8"" (52.66)",2022-07-09T04:21:34.611Z,165734049461101
"-- starting hand #87  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-09T04:21:34.611Z,165734049461100
"-- ending hand #86 --",2022-07-09T04:21:28.605Z,165734048860502
"""K Godel @ Di5cxDUTF9"" collected 7.74 from pot with Flush (combination: K♠, 9♠, 8♠, 7♠, 6♠)",2022-07-09T04:21:28.605Z,165734048860501
"""K Godel @ Di5cxDUTF9"" shows a 6♠, K♠, 8♣, J♣.",2022-07-09T04:21:28.605Z,165734048860500
"""Malarkey @ Ia-cNlUwV8"" calls 2.00",2022-07-09T04:21:27.760Z,165734048776000
"""K Godel @ Di5cxDUTF9"" bets 2.00",2022-07-09T04:21:26.444Z,165734048644400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:21:20.797Z,165734048079700
"River: Q♥, 4♣, 9♠, 7♠ [8♠]",2022-07-09T04:21:17.806Z,165734047780600
"""K Godel @ Di5cxDUTF9"" calls 1.12",2022-07-09T04:21:16.988Z,165734047698800
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-07-09T04:21:14.435Z,165734047443500
"Turn: Q♥, 4♣, 9♠ [7♠]",2022-07-09T04:21:10.199Z,165734047019900
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:21:09.383Z,165734046938300
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:21:08.442Z,165734046844200
"Flop:  [Q♥, 4♣, 9♠]",2022-07-09T04:21:05.501Z,165734046550100
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:21:04.617Z,165734046461700
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-07-09T04:21:00.942Z,165734046094200
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-07-09T04:20:55.992Z,165734045599205
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-09T04:20:55.992Z,165734045599204
"Your hand is 6♠, K♠, 8♣, J♣",2022-07-09T04:20:55.992Z,165734045599202
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (44.48) | #5 ""Malarkey @ Ia-cNlUwV8"" (56.53)",2022-07-09T04:20:55.992Z,165734045599201
"-- starting hand #86  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-09T04:20:55.992Z,165734045599200
"-- ending hand #85 --",2022-07-09T04:20:49.909Z,165734044990902
"""K Godel @ Di5cxDUTF9"" collected 18.24 from pot with Three of a Kind (combination: A♠, A♥, A♣, K♥, 9♠)",2022-07-09T04:20:49.909Z,165734044990901
"""K Godel @ Di5cxDUTF9"" shows a 4♣, 4♦, A♠, A♥.",2022-07-09T04:20:49.909Z,165734044990900
"""Malarkey @ Ia-cNlUwV8"" calls 3.50",2022-07-09T04:20:49.084Z,165734044908400
"""K Godel @ Di5cxDUTF9"" bets 3.50",2022-07-09T04:20:44.446Z,165734044444600
"River: 5♥, K♥, 3♣, 9♠ [A♣]",2022-07-09T04:20:20.773Z,165734042077300
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:20:19.902Z,165734041990200
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:20:18.494Z,165734041849400
"Turn: 5♥, K♥, 3♣ [9♠]",2022-07-09T04:20:16.571Z,165734041657100
"""K Godel @ Di5cxDUTF9"" calls 3.37",2022-07-09T04:20:15.768Z,165734041576800
"""Malarkey @ Ia-cNlUwV8"" bets 3.37",2022-07-09T04:20:13.735Z,165734041373500
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:20:09.899Z,165734040989900
"Flop:  [5♥, K♥, 3♣]",2022-07-09T04:20:04.278Z,165734040427800
"""Malarkey @ Ia-cNlUwV8"" calls 2.25",2022-07-09T04:20:03.461Z,165734040346100
"""K Godel @ Di5cxDUTF9"" raises to 2.25",2022-07-09T04:20:01.829Z,165734040182900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-07-09T04:19:57.494Z,165734039749400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-09T04:19:54.060Z,165734039406005
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-09T04:19:54.060Z,165734039406004
"Your hand is 4♣, 4♦, A♠, A♥",2022-07-09T04:19:54.060Z,165734039406002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (35.36) | #5 ""Malarkey @ Ia-cNlUwV8"" (65.65)",2022-07-09T04:19:54.060Z,165734039406001
"-- starting hand #85  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-09T04:19:54.060Z,165734039406000
"""Malarkey @ Ia-cNlUwV8"" shows a 10♠, 9♦, A♣, 8♣.",2022-07-09T04:19:51.788Z,165734039178800
"-- ending hand #84 --",2022-07-09T04:19:50.363Z,165734039036302
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-07-09T04:19:50.363Z,165734039036301
"Uncalled bet of 1.12 returned to ""Malarkey @ Ia-cNlUwV8""",2022-07-09T04:19:50.363Z,165734039036300
"""K Godel @ Di5cxDUTF9"" folds",2022-07-09T04:19:49.522Z,165734038952200
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-07-09T04:19:43.493Z,165734038349300
"Flop:  [10♣, J♠, 7♥]",2022-07-09T04:19:26.336Z,165734036633600
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:19:25.511Z,165734036551100
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-07-09T04:19:23.569Z,165734036356900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-07-09T04:19:19.726Z,165734035972605
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-09T04:19:19.726Z,165734035972604
"Your hand is Q♣, Q♦, 5♠, 10♦",2022-07-09T04:19:19.726Z,165734035972602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (36.11) | #5 ""Malarkey @ Ia-cNlUwV8"" (64.90)",2022-07-09T04:19:19.726Z,165734035972601
"-- starting hand #84  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-09T04:19:19.726Z,165734035972600
"-- ending hand #83 --",2022-07-09T04:19:16.760Z,165734035676002
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-07-09T04:19:16.760Z,165734035676001
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-07-09T04:19:16.760Z,165734035676000
"""Malarkey @ Ia-cNlUwV8"" folds",2022-07-09T04:19:15.907Z,165734035590700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-09T04:19:13.119Z,165734035311905
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-09T04:19:13.119Z,165734035311904
"Your hand is 3♦, K♣, A♠, K♠",2022-07-09T04:19:13.119Z,165734035311902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (36.01) | #5 ""Malarkey @ Ia-cNlUwV8"" (65.00)",2022-07-09T04:19:13.119Z,165734035311901
"-- starting hand #83  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-09T04:19:13.119Z,165734035311900
"-- ending hand #82 --",2022-07-09T04:19:07.010Z,165734034701004
"""Malarkey @ Ia-cNlUwV8"" collected 3.00 from pot with Straight (combination: A♥, K♦, Q♦, J♠, 10♠)",2022-07-09T04:19:07.010Z,165734034701003
"""Malarkey @ Ia-cNlUwV8"" shows a J♠, 4♣, 6♣, Q♦.",2022-07-09T04:19:07.010Z,165734034701002
"""K Godel @ Di5cxDUTF9"" collected 3.00 from pot with Straight (combination: A♥, K♦, Q♣, J♦, 10♠)",2022-07-09T04:19:07.010Z,165734034701001
"""K Godel @ Di5cxDUTF9"" shows a J♦, J♣, 5♠, Q♣.",2022-07-09T04:19:07.010Z,165734034701000
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:19:06.136Z,165734034613600
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:19:03.886Z,165734034388600
"River: 7♦, K♦, 10♠, K♣ [A♥]",2022-07-09T04:18:58.450Z,165734033845000
"""Malarkey @ Ia-cNlUwV8"" calls 1.50",2022-07-09T04:18:57.584Z,165734033758400
"""K Godel @ Di5cxDUTF9"" bets 1.50",2022-07-09T04:18:56.117Z,165734033611700
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:18:52.109Z,165734033210900
"Turn: 7♦, K♦, 10♠ [K♣]",2022-07-09T04:18:49.400Z,165734032940000
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:18:48.572Z,165734032857200
"""K Godel @ Di5cxDUTF9"" bets 0.75",2022-07-09T04:18:47.035Z,165734032703500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-09T04:18:40.781Z,165734032078100
"Flop:  [7♦, K♦, 10♠]",2022-07-09T04:18:30.382Z,165734031038200
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-07-09T04:18:29.504Z,165734030950400
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-07-09T04:18:26.644Z,165734030664400
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-07-09T04:18:20.852Z,165734030085205
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-09T04:18:20.852Z,165734030085204
"Your hand is J♦, J♣, 5♠, Q♣",2022-07-09T04:18:20.852Z,165734030085202
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (36.01) | #5 ""Malarkey @ Ia-cNlUwV8"" (65.00)",2022-07-09T04:18:20.852Z,165734030085201
"-- starting hand #82  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-09T04:18:20.852Z,165734030085200
"""Malarkey @ Ia-cNlUwV8"" shows a J♣, 3♦, A♥, 3♣.",2022-07-09T04:18:18.777Z,165734029877700
"-- ending hand #81 --",2022-07-09T04:18:17.179Z,165734029717902
"""Malarkey @ Ia-cNlUwV8"" collected 3.74 from pot",2022-07-09T04:18:17.179Z,165734029717901
"Uncalled bet of 3.74 returned to ""Malarkey @ Ia-cNlUwV8""",2022-07-09T04:18:17.179Z,165734029717900
"""K Godel @ Di5cxDUTF9"" folds",2022-07-09T04:18:16.354Z,165734029635400
"""Malarkey @ Ia-cNlUwV8"" bets 3.74",2022-07-09T04:18:14.540Z,165734029454000
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:18:11.397Z,165734029139700
"Turn: 10♥, 6♥, Q♦ [K♥]",2022-07-09T04:18:09.257Z,165734028925700
"""K Godel @ Di5cxDUTF9"" calls 1.12",2022-07-09T04:18:08.421Z,165734028842100
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-07-09T04:18:04.884Z,165734028488400
"""K Godel @ Di5cxDUTF9"" checks",2022-07-09T04:17:57.602Z,165734027760200
"Flop:  [10♥, 6♥, Q♦]",2022-07-09T04:17:50.216Z,165734027021600
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-07-09T04:17:49.338Z,165734026933800
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-07-09T04:17:46.923Z,165734026692300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-09T04:17:43.521Z,165734026352105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-09T04:17:43.521Z,165734026352104
"Your hand is 10♦, 4♠, 6♣, 8♠",2022-07-09T04:17:43.521Z,165734026352102
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (37.88) | #5 ""Malarkey @ Ia-cNlUwV8"" (63.13)",2022-07-09T04:17:43.521Z,165734026352101
"-- starting hand #81  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-09T04:17:43.521Z,165734026352100
"-- ending hand #80 --",2022-07-09T04:17:40.601Z,165734026060102
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2022-07-09T04:17:40.601Z,165734026060101
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2022-07-09T04:17:40.601Z,165734026060100
"""K Godel @ Di5cxDUTF9"" folds",2022-07-09T04:17:39.734Z,165734025973400
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-07-09T04:17:37.715Z,165734025771505
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-07-09T04:17:37.715Z,165734025771504
"Your hand is 2♥, 9♣, Q♥, 2♠",2022-07-09T04:17:37.715Z,165734025771502
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (37.98) | #5 ""Malarkey @ Ia-cNlUwV8"" (63.03)",2022-07-09T04:17:37.715Z,165734025771501
"-- starting hand #80  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-09T04:17:37.715Z,165734025771500
"-- ending hand #79 --",2022-07-09T04:17:34.804Z,165734025480402
