entry,at,order
"The player ""Mircra4 @ OCyfHJNqgQ"" quits the game with a stack of 25.54.",2022-11-27T04:44:17.367Z,166952425736701
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Mircra4 @ OCyfHJNqgQ"".",2022-11-27T04:44:17.367Z,166952425736700
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 14.78.",2022-11-27T04:44:10.549Z,166952425054901
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-11-27T04:44:10.549Z,166952425054900
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 28.92.",2022-11-27T04:44:02.957Z,166952424295701
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""K Godel @ TN11URmFSv"".",2022-11-27T04:44:02.957Z,166952424295700
"The player ""She’s cake @ o0JTtLuI71"" quits the game with a stack of 45.16.",2022-11-27T04:43:59.188Z,166952423918801
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""She’s cake @ o0JTtLuI71"".",2022-11-27T04:43:59.188Z,166952423918800
"The player ""lynn @ qRLMfzBQ8s"" quits the game with a stack of 21.08.",2022-11-27T04:43:52.726Z,166952423272601
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""lynn @ qRLMfzBQ8s"".",2022-11-27T04:43:52.726Z,166952423272600
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 208.46.",2022-11-27T04:43:36.534Z,166952421653400
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 28.92.",2022-11-27T04:37:27.903Z,166952384790301
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 208.46.",2022-11-27T04:37:27.903Z,166952384790300
"-- ending hand #253 --",2022-11-27T04:37:24.908Z,166952384490802
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2022-11-27T04:37:24.908Z,166952384490801
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2022-11-27T04:37:24.908Z,166952384490800
"""Deckhole @ 3URETjsK60"" folds",2022-11-27T04:37:24.088Z,166952384408800
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-11-27T04:37:20.819Z,166952384081905
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-27T04:37:20.819Z,166952384081904
"Your hand is J♥, K♥",2022-11-27T04:37:20.819Z,166952384081902
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (28.82) | #6 ""Deckhole @ 3URETjsK60"" (208.56)",2022-11-27T04:37:20.819Z,166952384081901
"-- starting hand #253 (id: 0r75ihnx3mxm)  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-27T04:37:20.819Z,166952384081900
"-- ending hand #252 --",2022-11-27T04:37:17.895Z,166952383789502
"""Deckhole @ 3URETjsK60"" collected 0.20 from pot",2022-11-27T04:37:17.895Z,166952383789501
"Uncalled bet of 0.15 returned to ""Deckhole @ 3URETjsK60""",2022-11-27T04:37:17.895Z,166952383789500
"""K Godel @ TN11URmFSv"" folds",2022-11-27T04:37:17.014Z,166952383701400
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-11-27T04:37:02.406Z,166952382240605
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-11-27T04:37:02.406Z,166952382240604
"Your hand is 2♥, Q♣",2022-11-27T04:37:02.406Z,166952382240602
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (28.92) | #6 ""Deckhole @ 3URETjsK60"" (208.46)",2022-11-27T04:37:02.406Z,166952382240601
"-- starting hand #252 (id: kyu3izuoou0r)  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-11-27T04:37:02.406Z,166952382240600
"-- ending hand #251 --",2022-11-27T04:36:59.476Z,166952381947602
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2022-11-27T04:36:59.476Z,166952381947601
"Uncalled bet of 0.41 returned to ""Deckhole @ 3URETjsK60""",2022-11-27T04:36:59.476Z,166952381947600
"""K Godel @ TN11URmFSv"" folds",2022-11-27T04:36:58.624Z,166952381862400
"""Deckhole @ 3URETjsK60"" raises to 0.66",2022-11-27T04:36:56.356Z,166952381635600
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-11-27T04:36:52.403Z,166952381240305
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-27T04:36:52.403Z,166952381240304
"Your hand is 4♥, 6♦",2022-11-27T04:36:52.403Z,166952381240302
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (29.17) | #6 ""Deckhole @ 3URETjsK60"" (208.21)",2022-11-27T04:36:52.403Z,166952381240301
"-- starting hand #251 (id: ok2txjcdowtb)  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-27T04:36:52.403Z,166952381240300
"-- ending hand #250 --",2022-11-27T04:36:49.468Z,166952380946802
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-11-27T04:36:49.468Z,166952380946801
"Uncalled bet of 0.50 returned to ""K Godel @ TN11URmFSv""",2022-11-27T04:36:49.468Z,166952380946800
"""Deckhole @ 3URETjsK60"" folds",2022-11-27T04:36:48.619Z,166952380861900
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-11-27T04:36:46.538Z,166952380653800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-11-27T04:36:42.180Z,166952380218005
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-11-27T04:36:42.180Z,166952380218004
"Your hand is K♣, 10♥",2022-11-27T04:36:42.180Z,166952380218002
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (28.92) | #6 ""Deckhole @ 3URETjsK60"" (208.46)",2022-11-27T04:36:42.180Z,166952380218001
"-- starting hand #250 (id: 3raloi5grxia)  (No Limit Texas Hold'em) (dealer: ""K Godel @ TN11URmFSv"") --",2022-11-27T04:36:42.180Z,166952380218000
