entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" passed the room ownership to ""jean @ _I_YnTCjVs"".",2022-06-05T07:31:22.230Z,165441428223001
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""K Godel @ Di5cxDUTF9"".",2022-06-05T07:31:22.230Z,165441428223000
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 288.40.",2022-06-05T06:56:54.659Z,165441221465901
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the removal of the player ""Malarkey @ Ia-cNlUwV8"".",2022-06-05T06:56:54.659Z,165441221465900
"The player ""jean @ _I_YnTCjVs"" quits the game with a stack of 108.87.",2022-06-05T06:56:47.590Z,165441220759001
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the removal of the player ""jean @ _I_YnTCjVs"".",2022-06-05T06:56:47.590Z,165441220759000
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 144.76.",2022-06-05T06:56:32.011Z,165441219201100
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 144.76.",2022-06-05T06:54:40.635Z,165441208063500
"-- ending hand #358 --",2022-06-05T06:54:37.714Z,165441207771402
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-06-05T06:54:37.714Z,165441207771401
"Uncalled bet of 0.75 returned to ""Malarkey @ Ia-cNlUwV8""",2022-06-05T06:54:37.714Z,165441207771400
"""K Godel @ Di5cxDUTF9"" folds",2022-06-05T06:54:36.831Z,165441207683100
"""Malarkey @ Ia-cNlUwV8"" bets 0.75",2022-06-05T06:54:32.035Z,165441207203500
"Turn: 4♣, 4♥, 9♠ [A♣]",2022-06-05T06:54:28.111Z,165441206811100
"""K Godel @ Di5cxDUTF9"" checks",2022-06-05T06:54:27.267Z,165441206726700
"""Malarkey @ Ia-cNlUwV8"" checks",2022-06-05T06:54:25.261Z,165441206526100
"Flop:  [4♣, 4♥, 9♠]",2022-06-05T06:54:19.109Z,165441205910900
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-06-05T06:54:18.275Z,165441205827500
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-06-05T06:54:16.879Z,165441205687900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-06-05T06:54:07.817Z,165441204781705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-06-05T06:54:07.817Z,165441204781704
"Your hand is 7♠, 8♠",2022-06-05T06:54:07.817Z,165441204781702
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (145.51) | #10 ""Malarkey @ Ia-cNlUwV8"" (287.65)",2022-06-05T06:54:07.817Z,165441204781701
"-- starting hand #358  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-06-05T06:54:07.817Z,165441204781700
"-- ending hand #357 --",2022-06-05T06:54:04.809Z,165441204480902
"""Malarkey @ Ia-cNlUwV8"" collected 0.50 from pot",2022-06-05T06:54:04.809Z,165441204480901
"Uncalled bet of 0.25 returned to ""Malarkey @ Ia-cNlUwV8""",2022-06-05T06:54:04.809Z,165441204480900
"""K Godel @ Di5cxDUTF9"" folds",2022-06-05T06:54:03.934Z,165441204393400
"""Malarkey @ Ia-cNlUwV8"" posts a straddle of 0.50",2022-06-05T06:53:59.608Z,165441203960806
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-06-05T06:53:59.608Z,165441203960805
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-06-05T06:53:59.608Z,165441203960804
"Your hand is 7♣, 4♥",2022-06-05T06:53:59.608Z,165441203960802
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (145.76) | #10 ""Malarkey @ Ia-cNlUwV8"" (287.40)",2022-06-05T06:53:59.608Z,165441203960801
"-- starting hand #357  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-06-05T06:53:59.608Z,165441203960800
