entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2023-01-02T08:24:21.683Z,167264786168300
"-- ending hand #809 --",2023-01-02T08:24:15.680Z,167264785568001
"""Dechole @ 3URETjsK60"" collected 231.36 from pot with Flush (combination: K♠, Q♠, 7♠, 5♠, 3♠)",2023-01-02T08:24:15.680Z,167264785568000
"River: 3♣, 4♣, 5♠, 7♠ [3♠]",2023-01-02T08:24:11.675Z,167264785167500
"""Dechole @ 3URETjsK60"" shows a Q♠, K♠, K♣, 10♣.",2023-01-02T08:24:07.672Z,167264784767201
"""Malarkey @ Ia-cNlUwV8"" shows a 9♦, J♣, 8♦, 6♣.",2023-01-02T08:24:07.672Z,167264784767200
"Some players choose to not run it twice.",2023-01-02T08:24:06.853Z,167264784685301
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2023-01-02T08:24:06.853Z,167264784685300
"Remaining players decide whether to run it twice.",2023-01-02T08:24:06.775Z,167264784677501
"""Dechole @ 3URETjsK60"" calls 65.07",2023-01-02T08:24:06.775Z,167264784677500
"""Malarkey @ Ia-cNlUwV8"" bets 65.07 and go all in",2023-01-02T08:24:05.298Z,167264784529800
"Turn: 3♣, 4♣, 5♠ [7♠]",2023-01-02T08:23:59.257Z,167264783925700
"""Malarkey @ Ia-cNlUwV8"" calls 43.86",2023-01-02T08:23:58.431Z,167264783843100
"""Dechole @ 3URETjsK60"" raises to 43.86",2023-01-02T08:23:52.317Z,167264783231700
"""Malarkey @ Ia-cNlUwV8"" bets 10.12",2023-01-02T08:23:48.242Z,167264782824200
"Flop:  [3♣, 4♣, 5♠]",2023-01-02T08:23:36.839Z,167264781683900
"""Malarkey @ Ia-cNlUwV8"" calls 6.75",2023-01-02T08:23:35.962Z,167264781596200
"""Dechole @ 3URETjsK60"" raises to 6.75",2023-01-02T08:23:34.189Z,167264781418900
"""Malarkey @ Ia-cNlUwV8"" raises to 2.25",2023-01-02T08:23:30.311Z,167264781031100
"""Dechole @ 3URETjsK60"" raises to 0.75",2023-01-02T08:23:23.367Z,167264780336700
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2023-01-02T08:23:20.222Z,167264780022205
"""Dechole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-02T08:23:20.222Z,167264780022204
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (115.68) | #6 ""Dechole @ 3URETjsK60"" (207.60)",2023-01-02T08:23:20.222Z,167264780022201
"-- starting hand #809 (id: ytq8bkjslfy8)  (Pot Limit Omaha Hi) (dealer: ""Dechole @ 3URETjsK60"") --",2023-01-02T08:23:20.222Z,167264780022200
"-- ending hand #808 --",2023-01-02T08:23:14.219Z,167264779421903
"""Malarkey @ Ia-cNlUwV8"" shows a 7♣, 2♥, 9♥, 10♥.",2023-01-02T08:23:14.219Z,167264779421902
"""Dechole @ 3URETjsK60"" collected 9.00 from pot with Two Pair (combination: J♥, J♠, 3♠, 3♥, Q♦)",2023-01-02T08:23:14.219Z,167264779421901
"""Dechole @ 3URETjsK60"" shows a J♥, 2♦, J♠, 7♥.",2023-01-02T08:23:14.219Z,167264779421900
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:23:13.324Z,167264779332400
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:23:11.834Z,167264779183400
"River: 3♠, 10♣, 2♠, 3♥ [Q♦]",2023-01-02T08:23:08.714Z,167264778871400
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:23:07.886Z,167264778788600
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:23:02.342Z,167264778234200
"Turn: 3♠, 10♣, 2♠ [3♥]",2023-01-02T08:22:59.000Z,167264777900000
"""Malarkey @ Ia-cNlUwV8"" calls 2.25",2023-01-02T08:22:58.122Z,167264777812200
"""Dechole @ 3URETjsK60"" bets 2.25",2023-01-02T08:22:56.713Z,167264777671300
"Flop:  [3♠, 10♣, 2♠]",2023-01-02T08:22:51.698Z,167264777169800
"""Malarkey @ Ia-cNlUwV8"" calls 2.25",2023-01-02T08:22:50.861Z,167264777086100
"""Dechole @ 3URETjsK60"" raises to 2.25",2023-01-02T08:22:47.792Z,167264776779200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2023-01-02T08:22:45.168Z,167264776516800
"""Dechole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-02T08:22:41.443Z,167264776144305
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2023-01-02T08:22:41.443Z,167264776144304
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (120.18) | #6 ""Dechole @ 3URETjsK60"" (203.10)",2023-01-02T08:22:41.443Z,167264776144301
"-- starting hand #808 (id: 9kzlnafq4mle)  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-02T08:22:41.443Z,167264776144300
"-- ending hand #807 --",2023-01-02T08:22:38.493Z,167264775849302
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2023-01-02T08:22:38.493Z,167264775849301
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2023-01-02T08:22:38.493Z,167264775849300
"""Dechole @ 3URETjsK60"" folds",2023-01-02T08:22:37.649Z,167264775764900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2023-01-02T08:22:35.443Z,167264775544305
"""Dechole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-02T08:22:35.443Z,167264775544304
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (120.08) | #6 ""Dechole @ 3URETjsK60"" (203.20)",2023-01-02T08:22:35.443Z,167264775544301
"-- starting hand #807 (id: l92r9eqj6v9t)  (Pot Limit Omaha Hi) (dealer: ""Dechole @ 3URETjsK60"") --",2023-01-02T08:22:35.443Z,167264775544300
"-- ending hand #806 --",2023-01-02T08:22:32.493Z,167264775249302
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2023-01-02T08:22:32.493Z,167264775249301
"Uncalled bet of 1.12 returned to ""Malarkey @ Ia-cNlUwV8""",2023-01-02T08:22:32.493Z,167264775249300
"""Dechole @ 3URETjsK60"" folds",2023-01-02T08:22:31.665Z,167264775166500
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2023-01-02T08:22:26.633Z,167264774663300
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:22:13.790Z,167264773379000
"Flop:  [Q♣, J♣, 6♦]",2023-01-02T08:22:10.223Z,167264773022300
"""Dechole @ 3URETjsK60"" calls 0.75",2023-01-02T08:22:09.361Z,167264772936100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2023-01-02T08:22:07.598Z,167264772759800
"""Dechole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-02T08:22:04.414Z,167264772441405
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2023-01-02T08:22:04.414Z,167264772441404
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (119.33) | #6 ""Dechole @ 3URETjsK60"" (203.95)",2023-01-02T08:22:04.414Z,167264772441401
"-- starting hand #806 (id: 8vewp4fbx0fd)  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-02T08:22:04.414Z,167264772441400
"-- ending hand #805 --",2023-01-02T08:22:01.461Z,167264772146102
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2023-01-02T08:22:01.461Z,167264772146101
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2023-01-02T08:22:01.461Z,167264772146100
"""Dechole @ 3URETjsK60"" folds",2023-01-02T08:22:00.658Z,167264772065800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2023-01-02T08:21:54.608Z,167264771460805
"""Dechole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-02T08:21:54.608Z,167264771460804
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (119.23) | #6 ""Dechole @ 3URETjsK60"" (204.05)",2023-01-02T08:21:54.608Z,167264771460801
"-- starting hand #805 (id: ebkuwm1bkhrh)  (Pot Limit Omaha Hi) (dealer: ""Dechole @ 3URETjsK60"") --",2023-01-02T08:21:54.608Z,167264771460800
"-- ending hand #804 --",2023-01-02T08:21:48.564Z,167264770856402
"""Malarkey @ Ia-cNlUwV8"" collected 30.00 from pot with Two Pair (combination: J♦, J♥, 6♥, 6♦, 4♦)",2023-01-02T08:21:48.564Z,167264770856401
"""Malarkey @ Ia-cNlUwV8"" shows a J♦, 4♣, Q♥, 6♥.",2023-01-02T08:21:48.564Z,167264770856400
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:21:47.711Z,167264770771100
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:21:46.305Z,167264770630500
"River: J♥, 2♠, 6♦, 4♦ [3♠]",2023-01-02T08:21:43.031Z,167264770303100
"""Dechole @ 3URETjsK60"" calls 10.00",2023-01-02T08:21:42.208Z,167264770220800
"""Malarkey @ Ia-cNlUwV8"" bets 10.00",2023-01-02T08:21:40.871Z,167264770087100
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:21:36.111Z,167264769611100
"Turn: J♥, 2♠, 6♦ [4♦]",2023-01-02T08:21:33.581Z,167264769358100
"""Malarkey @ Ia-cNlUwV8"" calls 2.75",2023-01-02T08:21:32.742Z,167264769274200
"""Dechole @ 3URETjsK60"" bets 2.75",2023-01-02T08:21:30.962Z,167264769096200
"Flop:  [J♥, 2♠, 6♦]",2023-01-02T08:21:20.717Z,167264768071700
"""Malarkey @ Ia-cNlUwV8"" calls 2.25",2023-01-02T08:21:19.788Z,167264767978800
"""Dechole @ 3URETjsK60"" raises to 2.25",2023-01-02T08:21:16.930Z,167264767693000
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2023-01-02T08:21:13.654Z,167264767365400
"""Dechole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-02T08:21:09.103Z,167264766910305
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2023-01-02T08:21:09.103Z,167264766910304
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (104.23) | #6 ""Dechole @ 3URETjsK60"" (219.05)",2023-01-02T08:21:09.103Z,167264766910301
"-- starting hand #804 (id: jfb7afnvgify)  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-02T08:21:09.103Z,167264766910300
"-- ending hand #803 --",2023-01-02T08:21:06.101Z,167264766610102
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2023-01-02T08:21:06.101Z,167264766610101
"Uncalled bet of 1.50 returned to ""Malarkey @ Ia-cNlUwV8""",2023-01-02T08:21:06.101Z,167264766610100
"""Dechole @ 3URETjsK60"" folds",2023-01-02T08:21:05.286Z,167264766528600
"""Malarkey @ Ia-cNlUwV8"" raises to 2.25",2023-01-02T08:21:01.141Z,167264766114100
"""Dechole @ 3URETjsK60"" raises to 0.75",2023-01-02T08:20:56.363Z,167264765636300
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2023-01-02T08:20:52.720Z,167264765272005
"""Dechole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-02T08:20:52.720Z,167264765272004
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (103.48) | #6 ""Dechole @ 3URETjsK60"" (219.80)",2023-01-02T08:20:52.720Z,167264765272001
"-- starting hand #803 (id: wwfcmum3izkv)  (Pot Limit Omaha Hi) (dealer: ""Dechole @ 3URETjsK60"") --",2023-01-02T08:20:52.720Z,167264765272000
"-- ending hand #802 --",2023-01-02T08:20:46.715Z,167264764671503
"""Malarkey @ Ia-cNlUwV8"" shows a 7♠, K♠, Q♣, 2♥.",2023-01-02T08:20:46.715Z,167264764671502
"""Dechole @ 3URETjsK60"" collected 1.50 from pot with Two Pair (combination: A♠, A♥, 8♠, 8♣, 7♦)",2023-01-02T08:20:46.715Z,167264764671501
"""Dechole @ 3URETjsK60"" shows a A♠, 7♦, 4♥, 6♣.",2023-01-02T08:20:46.715Z,167264764671500
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:20:45.890Z,167264764589000
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:20:44.205Z,167264764420500
"River: 8♠, 8♣, A♥, 9♦ [J♠]",2023-01-02T08:20:40.064Z,167264764006400
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:20:39.146Z,167264763914600
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:20:37.308Z,167264763730800
"Turn: 8♠, 8♣, A♥ [9♦]",2023-01-02T08:20:35.065Z,167264763506500
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-02T08:20:34.180Z,167264763418000
"""Dechole @ 3URETjsK60"" checks",2023-01-02T08:20:29.507Z,167264762950700
"Flop:  [8♠, 8♣, A♥]",2023-01-02T08:20:26.854Z,167264762685400
"""Dechole @ 3URETjsK60"" calls 0.75",2023-01-02T08:20:25.945Z,167264762594500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2023-01-02T08:20:20.700Z,167264762070000
"""Dechole @ 3URETjsK60"" posts a big blind of 0.25",2023-01-02T08:20:15.838Z,167264761583805
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2023-01-02T08:20:15.838Z,167264761583804
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (104.23) | #6 ""Dechole @ 3URETjsK60"" (219.05)",2023-01-02T08:20:15.838Z,167264761583801
"-- starting hand #802 (id: wkm69zccrinq)  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-02T08:20:15.838Z,167264761583800
"-- ending hand #801 --",2023-01-02T08:20:12.888Z,167264761288802
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2023-01-02T08:20:12.888Z,167264761288801
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2023-01-02T08:20:12.888Z,167264761288800
