entry,at,order
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 130.40.",2022-09-26T06:00:03.050Z,166417200305000
"The player ""Poindexter @ 3URETjsK60"" stand up with the stack of 89.35.",2022-09-26T05:59:54.131Z,166417199413101
"The player ""lynn @ 9CcL0DjUmK"" stand up with the stack of 26.79.",2022-09-26T05:59:54.131Z,166417199413100
"-- ending hand #275 --",2022-09-26T05:59:51.126Z,166417199112602
"""lynn @ 9CcL0DjUmK"" collected 1.00 from pot",2022-09-26T05:59:51.126Z,166417199112601
"Uncalled bet of 0.50 returned to ""lynn @ 9CcL0DjUmK""",2022-09-26T05:59:51.126Z,166417199112600
"""K Godel @ TN11URmFSv"" folds",2022-09-26T05:59:50.288Z,166417199028800
"""lynn @ 9CcL0DjUmK"" bets 0.50",2022-09-26T05:59:39.452Z,166417197945200
"""K Godel @ TN11URmFSv"" checks",2022-09-26T05:59:34.762Z,166417197476200
"Flop:  [4♥, 7♣, 3♥]",2022-09-26T05:59:31.308Z,166417197130800
"""lynn @ 9CcL0DjUmK"" calls 0.50",2022-09-26T05:59:30.445Z,166417197044500
"""K Godel @ TN11URmFSv"" raises to 0.50",2022-09-26T05:59:28.227Z,166417196822700
"""Poindexter @ 3URETjsK60"" folds",2022-09-26T05:59:16.833Z,166417195683300
"""lynn @ 9CcL0DjUmK"" posts a big blind of 0.25",2022-09-26T05:59:14.725Z,166417195472506
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-09-26T05:59:14.725Z,166417195472505
"Your hand is J♥, K♠, 3♦, 8♠",2022-09-26T05:59:14.725Z,166417195472502
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (130.90) | #7 ""lynn @ 9CcL0DjUmK"" (26.29) | #9 ""Poindexter @ 3URETjsK60"" (89.35)",2022-09-26T05:59:14.725Z,166417195472501
"-- starting hand #275  (Pot Limit Omaha Hi) (dealer: ""Poindexter @ 3URETjsK60"") --",2022-09-26T05:59:14.725Z,166417195472500
"-- ending hand #274 --",2022-09-26T05:59:08.659Z,166417194865903
"""Poindexter @ 3URETjsK60"" shows a K♦, 9♥, 8♠, 9♠.",2022-09-26T05:59:08.659Z,166417194865902
"""lynn @ 9CcL0DjUmK"" collected 3.89 from pot with One Pair (combination: 10♦, 10♥, K♥, Q♦, 8♣)",2022-09-26T05:59:08.659Z,166417194865901
"""lynn @ 9CcL0DjUmK"" shows a J♣, 10♦, 6♦, K♥.",2022-09-26T05:59:08.659Z,166417194865900
"""lynn @ 9CcL0DjUmK"" checks",2022-09-26T05:59:07.794Z,166417194779400
"""Poindexter @ 3URETjsK60"" checks",2022-09-26T05:59:06.511Z,166417194651100
"River: 8♣, 7♠, 10♥, Q♦ [2♣]",2022-09-26T05:59:04.435Z,166417194443500
"""lynn @ 9CcL0DjUmK"" checks",2022-09-26T05:59:03.574Z,166417194357400
"""Poindexter @ 3URETjsK60"" checks",2022-09-26T05:59:01.762Z,166417194176200
"Turn: 8♣, 7♠, 10♥ [Q♦]",2022-09-26T05:58:57.828Z,166417193782800
"""lynn @ 9CcL0DjUmK"" calls 0.97",2022-09-26T05:58:57.011Z,166417193701100
"""Poindexter @ 3URETjsK60"" bets 0.97",2022-09-26T05:58:54.751Z,166417193475100
"Flop:  [8♣, 7♠, 10♥]",2022-09-26T05:58:46.221Z,166417192622100
"""K Godel @ TN11URmFSv"" folds",2022-09-26T05:58:45.337Z,166417192533700
"""Poindexter @ 3URETjsK60"" calls 0.85",2022-09-26T05:58:26.018Z,166417190601800
"""lynn @ 9CcL0DjUmK"" raises to 0.85",2022-09-26T05:58:24.162Z,166417190416200
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-09-26T05:58:18.806Z,166417189880606
"""Poindexter @ 3URETjsK60"" posts a small blind of 0.10",2022-09-26T05:58:18.806Z,166417189880605
"Your hand is 4♣, J♥, J♠, K♠",2022-09-26T05:58:18.806Z,166417189880602
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (131.15) | #7 ""lynn @ 9CcL0DjUmK"" (24.22) | #9 ""Poindexter @ 3URETjsK60"" (91.17)",2022-09-26T05:58:18.806Z,166417189880601
"-- starting hand #274  (Pot Limit Omaha Hi) (dealer: ""lynn @ 9CcL0DjUmK"") --",2022-09-26T05:58:18.806Z,166417189880600
"-- ending hand #273 --",2022-09-26T05:58:15.879Z,166417189587902
"""Poindexter @ 3URETjsK60"" collected 0.50 from pot",2022-09-26T05:58:15.879Z,166417189587901
"Uncalled bet of 0.50 returned to ""Poindexter @ 3URETjsK60""",2022-09-26T05:58:15.879Z,166417189587900
"""lynn @ 9CcL0DjUmK"" folds",2022-09-26T05:58:15.043Z,166417189504300
"""Poindexter @ 3URETjsK60"" bets 0.50",2022-09-26T05:58:02.359Z,166417188235900
"""lynn @ 9CcL0DjUmK"" checks",2022-09-26T05:57:56.775Z,166417187677500
"River: 3♥, J♥, 7♠, 9♥ [10♠]",2022-09-26T05:57:53.387Z,166417187338700
