entry,at,order
"The player ""Jean @ _qaxMUlwNf"" quits the game with a stack of 2.95.",2022-03-28T02:13:31.354Z,164843361135400
"The player ""Jean @ _qaxMUlwNf"" sit back with the stack of 2.95.",2022-03-28T02:13:24.512Z,164843360451200
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 2.95.",2022-03-28T02:13:23.045Z,164843360304500
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-03-28T02:13:13.358Z,164843359335800
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-03-28T02:13:10.374Z,164843359037400
"-- ending hand #94 --",2022-03-28T02:13:04.338Z,164843358433807
"""Deckhole @ _yf6aQFJyI"" collected 2.08 from pot with low hand with six high (combination: A♥, 2♣, 3♠, 4♦, 6♦)",2022-03-28T02:13:04.338Z,164843358433806
"""Jean @ _qaxMUlwNf"" collected 2.08 from pot with hi hand with a pair of aces (combination: 8♦, Q♥, K♠, A♦, A♥)",2022-03-28T02:13:04.338Z,164843358433805
"""Malarkey @ Ia-cNlUwV8"" shows a 8♣, 5♠, 5♦, Q♠.",2022-03-28T02:13:04.338Z,164843358433804
"""Deckhole @ _yf6aQFJyI"" collected 0.87 from pot with low hand with six high (combination: A♥, 2♣, 3♠, 4♦, 6♦)",2022-03-28T02:13:04.338Z,164843358433803
"""Deckhole @ _yf6aQFJyI"" shows a 4♦, 2♣, 10♠, 4♥.",2022-03-28T02:13:04.338Z,164843358433802
"""Jean @ _qaxMUlwNf"" collected 0.87 from pot with hi hand with a pair of aces (combination: 8♦, Q♥, K♠, A♦, A♥)",2022-03-28T02:13:04.338Z,164843358433801
"""Jean @ _qaxMUlwNf"" shows a A♦, Q♥, 7♣, 2♦.",2022-03-28T02:13:04.338Z,164843358433800
"""Jean @ _qaxMUlwNf"" calls 1.90 and go all in",2022-03-28T02:13:03.355Z,164843358335500
