entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 125.06.",2022-07-23T09:08:25.908Z,165856730590800
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 125.06.",2022-07-23T09:08:15.689Z,165856729568900
"The player ""K Godel @ Di5cxDUTF9"" sit back with the stack of 125.06.",2022-07-23T09:08:12.702Z,165856729270200
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 125.06.",2022-07-23T09:07:26.414Z,165856724641401
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 64.58.",2022-07-23T09:07:26.414Z,165856724641400
"-- ending hand #458 --",2022-07-23T09:07:23.464Z,165856724346402
"""Deckhole @ 3URETjsK60"" collected 5.09 from pot",2022-07-23T09:07:23.464Z,165856724346401
"Uncalled bet of 3.04 returned to ""Deckhole @ 3URETjsK60""",2022-07-23T09:07:23.464Z,165856724346400
"""Malarkey @ Ia-cNlUwV8"" folds",2022-07-23T09:07:22.644Z,165856724264400
"""Deckhole @ 3URETjsK60"" bets 3.04",2022-07-23T09:07:19.383Z,165856723938300
"Turn: 5♦, J♣, 3♣ [8♠]",2022-07-23T09:07:11.206Z,165856723120600
"""Malarkey @ Ia-cNlUwV8"" calls 1.27",2022-07-23T09:07:10.394Z,165856723039400
"""K Godel @ Di5cxDUTF9"" folds",2022-07-23T09:07:08.620Z,165856722862000
"""Deckhole @ 3URETjsK60"" bets 1.27",2022-07-23T09:06:59.629Z,165856721962900
"Flop:  [5♦, J♣, 3♣]",2022-07-23T09:06:46.783Z,165856720678300
"""K Godel @ Di5cxDUTF9"" calls 0.85",2022-07-23T09:06:45.918Z,165856720591800
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-07-23T09:06:41.170Z,165856720117000
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2022-07-23T09:06:36.500Z,165856719650000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-07-23T09:06:31.956Z,165856719195606
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-07-23T09:06:31.956Z,165856719195605
"Your hand is 10♥, 2♠, K♣, 3♥",2022-07-23T09:06:31.956Z,165856719195604
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (231.80) | #7 ""Deckhole @ 3URETjsK60"" (61.61) | #9 ""K Godel @ Di5cxDUTF9"" (125.91)",2022-07-23T09:06:31.956Z,165856719195601
"-- starting hand #458  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-07-23T09:06:31.956Z,165856719195600
"""K Godel @ Di5cxDUTF9"" shows a J♠, 8♣, 6♣, A♠.",2022-07-23T09:06:29.467Z,165856718946700
"-- ending hand #457 --",2022-07-23T09:06:28.218Z,165856718821801
"""K Godel @ Di5cxDUTF9"" collected 2.55 from pot",2022-07-23T09:06:28.218Z,165856718821800
"""Deckhole @ 3URETjsK60"" folds",2022-07-23T09:06:27.397Z,165856718739700
"""Malarkey @ Ia-cNlUwV8"" folds",2022-07-23T09:06:24.447Z,165856718444700
"Turn: 5♣, J♣, 10♦ [Q♣]",2022-07-23T09:06:19.410Z,165856717941000
"""K Godel @ Di5cxDUTF9"" checks",2022-07-23T09:06:18.590Z,165856717859000
"""Deckhole @ 3URETjsK60"" checks",2022-07-23T09:06:13.719Z,165856717371900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-07-23T09:06:11.914Z,165856717191400
"Flop:  [5♣, J♣, 10♦]",2022-07-23T09:06:04.957Z,165856716495700
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-07-23T09:06:04.141Z,165856716414100
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2022-07-23T09:06:02.699Z,165856716269900
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-07-23T09:05:59.709Z,165856715970900
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-07-23T09:05:44.698Z,165856714469806
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-07-23T09:05:44.698Z,165856714469805
"Your hand is J♠, 8♣, 6♣, A♠",2022-07-23T09:05:44.698Z,165856714469804
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (232.65) | #7 ""Deckhole @ 3URETjsK60"" (62.46) | #9 ""K Godel @ Di5cxDUTF9"" (124.21)",2022-07-23T09:05:44.698Z,165856714469801
"-- starting hand #457  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-23T09:05:44.698Z,165856714469800
"-- ending hand #456 --",2022-07-23T09:05:41.693Z,165856714169302
"""Malarkey @ Ia-cNlUwV8"" collected 5.40 from pot",2022-07-23T09:05:41.693Z,165856714169301
"Uncalled bet of 2.70 returned to ""Malarkey @ Ia-cNlUwV8""",2022-07-23T09:05:41.693Z,165856714169300
"""Deckhole @ 3URETjsK60"" folds",2022-07-23T09:05:40.874Z,165856714087400
"""Malarkey @ Ia-cNlUwV8"" bets 2.70",2022-07-23T09:05:36.509Z,165856713650900
"Flop:  [Q♥, 9♠, 9♥]",2022-07-23T09:05:27.871Z,165856712787100
"""Deckhole @ 3URETjsK60"" calls 2.65",2022-07-23T09:05:27.007Z,165856712700700
