entry,at,order
"""jean @ IR5E81bjnF"" shows a 7♦, K♦, 2♠, Q♣.",2022-03-14T04:58:34.512Z,164723391451200
"""K Godel @ Di5cxDUTF9"" shows a 7♣, J♣, A♦, 10♦.",2022-03-14T04:58:34.464Z,164723391446400
"-- ending hand #208 --",2022-03-14T04:58:33.105Z,164723391310502
"""K Godel @ Di5cxDUTF9"" collected 0.63 from pot",2022-03-14T04:58:33.105Z,164723391310501
"Uncalled bet of 0.63 returned to ""K Godel @ Di5cxDUTF9""",2022-03-14T04:58:33.105Z,164723391310500
"The admin ""Poindexter @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-03-14T04:58:32.348Z,164723391234800
"""jean @ IR5E81bjnF"" folds",2022-03-14T04:58:32.234Z,164723391223400
"""K Godel @ Di5cxDUTF9"" bets 0.63",2022-03-14T04:58:29.134Z,164723390913400
"""jean @ IR5E81bjnF"" checks",2022-03-14T04:58:12.817Z,164723389281700
"River: J♥, 4♠, A♥, 8♣ [9♠]",2022-03-14T04:58:08.803Z,164723388880300
"""K Godel @ Di5cxDUTF9"" checks",2022-03-14T04:58:07.936Z,164723388793600
"""jean @ IR5E81bjnF"" checks",2022-03-14T04:58:03.476Z,164723388347600
"Turn: J♥, 4♠, A♥ [8♣]",2022-03-14T04:58:00.407Z,164723388040700
"""jean @ IR5E81bjnF"" calls 0.21",2022-03-14T04:57:59.506Z,164723387950600
"""K Godel @ Di5cxDUTF9"" bets 0.21",2022-03-14T04:57:56.999Z,164723387699900
"""Poindexter @ _yf6aQFJyI"" folds",2022-03-14T04:57:44.039Z,164723386403900
"""jean @ IR5E81bjnF"" checks",2022-03-14T04:57:41.854Z,164723386185400
"Flop:  [J♥, 4♠, A♥]",2022-03-14T04:57:38.096Z,164723385809600
"""Poindexter @ _yf6aQFJyI"" calls 0.07",2022-03-14T04:57:37.275Z,164723385727500
"""jean @ IR5E81bjnF"" calls 0.07",2022-03-14T04:57:33.741Z,164723385374100
"""K Godel @ Di5cxDUTF9"" raises to 0.07",2022-03-14T04:57:30.378Z,164723385037800
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-03-14T04:56:53.978Z,164723381397806
"""jean @ IR5E81bjnF"" posts a small blind of 0.01",2022-03-14T04:56:53.978Z,164723381397805
"Your hand is 7♣, J♣, A♦, 10♦",2022-03-14T04:56:53.978Z,164723381397804
"Player stacks: #1 ""jean @ IR5E81bjnF"" (1.02) | #3 ""Poindexter @ _yf6aQFJyI"" (5.69) | #4 ""K Godel @ Di5cxDUTF9"" (10.98)",2022-03-14T04:56:53.978Z,164723381397801
