entry,at,order
"The player ""Emperor Breezy @ _8CiDq023a"" stand up with the stack of 182.05.",2022-09-11T04:06:07.550Z,166286916755000
"""Jean @ QLHzuQRo1C"" shows a 9♠, 3♦.",2022-09-11T04:06:04.887Z,166286916488700
"-- ending hand #326 --",2022-09-11T04:06:00.940Z,166286916094002
"""Jean @ QLHzuQRo1C"" collected 1.24 from pot",2022-09-11T04:06:00.940Z,166286916094001
"Uncalled bet of 1.24 returned to ""Jean @ QLHzuQRo1C""",2022-09-11T04:06:00.940Z,166286916094000
"""Emperor Breezy @ _8CiDq023a"" folds",2022-09-11T04:06:00.051Z,166286916005100
"""Jean @ QLHzuQRo1C"" bets 1.24",2022-09-11T04:05:55.094Z,166286915509400
"Flop:  [A♣, 9♦, 3♠]",2022-09-11T04:05:48.336Z,166286914833600
"""Jean @ QLHzuQRo1C"" calls 0.62",2022-09-11T04:05:47.457Z,166286914745700
"""Emperor Breezy @ _8CiDq023a"" raises to 0.62",2022-09-11T04:05:39.957Z,166286913995700
"""Jean @ QLHzuQRo1C"" posts a big blind of 0.25",2022-09-11T04:05:33.718Z,166286913371806
"""Emperor Breezy @ _8CiDq023a"" posts a small blind of 0.10",2022-09-11T04:05:33.718Z,166286913371805
"Player stacks: #6 ""Jean @ QLHzuQRo1C"" (73.13) | #7 ""Emperor Breezy @ _8CiDq023a"" (182.67)",2022-09-11T04:05:33.718Z,166286913371802
"-- starting hand #326  (No Limit Texas Hold'em) (dealer: ""Emperor Breezy @ _8CiDq023a"") --",2022-09-11T04:05:33.718Z,166286913371801
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 149.60.",2022-09-11T04:05:33.718Z,166286913371800
"-- ending hand #325 --",2022-09-11T04:05:27.807Z,166286912780702
"""Deckhole @ 3URETjsK60"" collected 1.20 from pot",2022-09-11T04:05:27.807Z,166286912780701
"Uncalled bet of 1.22 returned to ""Deckhole @ 3URETjsK60""",2022-09-11T04:05:27.807Z,166286912780700
"""Jean @ QLHzuQRo1C"" folds",2022-09-11T04:05:26.957Z,166286912695700
"""Deckhole @ 3URETjsK60"" raises to 1.77",2022-09-11T04:05:21.332Z,166286912133200
"""Emperor Breezy @ _8CiDq023a"" folds",2022-09-11T04:04:52.271Z,166286909227100
"""Jean @ QLHzuQRo1C"" raises to 0.55",2022-09-11T04:04:48.188Z,166286908818800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-09-11T04:04:32.878Z,166286907287807
"""Emperor Breezy @ _8CiDq023a"" posts a small blind of 0.10",2022-09-11T04:04:32.878Z,166286907287806
