entry,at,order
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 83.75.",2023-01-15T05:59:45.308Z,167376238530801
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 557.82.",2023-01-15T05:59:45.308Z,167376238530800
"-- ending hand #362 --",2023-01-15T05:59:42.360Z,167376238236002
"""Deckhole @ 3URETjsK60"" collected 3.00 from pot",2023-01-15T05:59:42.360Z,167376238236001
"Uncalled bet of 1.50 returned to ""Deckhole @ 3URETjsK60""",2023-01-15T05:59:42.360Z,167376238236000
"""lynn @ qRLMfzBQ8s"" folds",2023-01-15T05:59:41.525Z,167376238152500
"""Deckhole @ 3URETjsK60"" bets 1.50",2023-01-15T05:59:39.401Z,167376237940100
"Flop:  [A♠, J♦, 7♥]",2023-01-15T05:59:34.704Z,167376237470400
"""lynn @ qRLMfzBQ8s"" calls 1.50",2023-01-15T05:59:33.883Z,167376237388300
"""Deckhole @ 3URETjsK60"" raises to 1.50",2023-01-15T05:59:30.232Z,167376237023200
"""lynn @ qRLMfzBQ8s"" calls 0.50",2023-01-15T05:59:26.107Z,167376236610700
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.50",2023-01-15T05:59:21.949Z,167376236194905
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.25",2023-01-15T05:59:21.949Z,167376236194904
"Player stacks: #7 ""Deckhole @ 3URETjsK60"" (556.32) | #8 ""lynn @ qRLMfzBQ8s"" (85.25)",2023-01-15T05:59:21.949Z,167376236194901
"-- starting hand #362 (id: hwz5kiqespe1)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ qRLMfzBQ8s"") --",2023-01-15T05:59:21.949Z,167376236194900
"-- ending hand #361 --",2023-01-15T05:59:19.031Z,167376235903102
"""lynn @ qRLMfzBQ8s"" collected 3.00 from pot",2023-01-15T05:59:19.031Z,167376235903101
"Uncalled bet of 1.50 returned to ""lynn @ qRLMfzBQ8s""",2023-01-15T05:59:19.031Z,167376235903100
"""Deckhole @ 3URETjsK60"" folds",2023-01-15T05:59:18.201Z,167376235820100
"""lynn @ qRLMfzBQ8s"" bets 1.50",2023-01-15T05:59:15.849Z,167376235584900
"Turn: K♣, 9♥, 10♥ [3♦]",2023-01-15T05:59:10.535Z,167376235053500
"""Deckhole @ 3URETjsK60"" checks",2023-01-15T05:59:09.698Z,167376234969800
"""lynn @ qRLMfzBQ8s"" checks",2023-01-15T05:59:08.024Z,167376234802400
"Flop:  [K♣, 9♥, 10♥]",2023-01-15T05:59:04.122Z,167376234412200
"""lynn @ qRLMfzBQ8s"" calls 1.50",2023-01-15T05:59:03.318Z,167376234331800
"""Deckhole @ 3URETjsK60"" raises to 1.50",2023-01-15T05:59:01.632Z,167376234163200
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.50",2023-01-15T05:58:58.480Z,167376233848005
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.25",2023-01-15T05:58:58.480Z,167376233848004
"Player stacks: #7 ""Deckhole @ 3URETjsK60"" (557.82) | #8 ""lynn @ qRLMfzBQ8s"" (83.75)",2023-01-15T05:58:58.480Z,167376233848001
"-- starting hand #361 (id: 1npe0wnyzttv)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-15T05:58:58.480Z,167376233848000
"-- ending hand #360 --",2023-01-15T05:58:55.512Z,167376233551202
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2023-01-15T05:58:55.512Z,167376233551201
"Uncalled bet of 0.25 returned to ""Deckhole @ 3URETjsK60""",2023-01-15T05:58:55.512Z,167376233551200
"""lynn @ qRLMfzBQ8s"" folds",2023-01-15T05:58:54.704Z,167376233470400
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.50",2023-01-15T05:58:50.874Z,167376233087405
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.25",2023-01-15T05:58:50.874Z,167376233087404
"Player stacks: #7 ""Deckhole @ 3URETjsK60"" (557.57) | #8 ""lynn @ qRLMfzBQ8s"" (84.00)",2023-01-15T05:58:50.874Z,167376233087401
"-- starting hand #360 (id: gqshiypipw0u)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ qRLMfzBQ8s"") --",2023-01-15T05:58:50.874Z,167376233087400
"-- ending hand #359 --",2023-01-15T05:58:47.908Z,167376232790802
"""Deckhole @ 3URETjsK60"" collected 27.00 from pot",2023-01-15T05:58:47.908Z,167376232790801
"Uncalled bet of 27.00 returned to ""Deckhole @ 3URETjsK60""",2023-01-15T05:58:47.908Z,167376232790800
"""lynn @ qRLMfzBQ8s"" folds",2023-01-15T05:58:47.076Z,167376232707600
"""Deckhole @ 3URETjsK60"" bets 27.00",2023-01-15T05:58:11.549Z,167376229154900
"""lynn @ qRLMfzBQ8s"" checks",2023-01-15T05:58:05.985Z,167376228598500
"Turn: 3♠, 6♥, 5♥ [8♥]",2023-01-15T05:58:02.811Z,167376228281100
"""lynn @ qRLMfzBQ8s"" calls 12.00",2023-01-15T05:58:02.002Z,167376228200200
"""Deckhole @ 3URETjsK60"" raises to 12.00",2023-01-15T05:57:54.198Z,167376227419800
"""lynn @ qRLMfzBQ8s"" bets 3.00",2023-01-15T05:57:49.359Z,167376226935900
"Flop:  [3♠, 6♥, 5♥]",2023-01-15T05:57:30.976Z,167376225097600
"""lynn @ qRLMfzBQ8s"" calls 1.50",2023-01-15T05:57:30.149Z,167376225014900
"""Deckhole @ 3URETjsK60"" raises to 1.50",2023-01-15T05:57:27.899Z,167376224789900
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.50",2023-01-15T05:57:24.147Z,167376224414705
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.25",2023-01-15T05:57:24.147Z,167376224414704
"Player stacks: #7 ""Deckhole @ 3URETjsK60"" (544.07) | #8 ""lynn @ qRLMfzBQ8s"" (97.50)",2023-01-15T05:57:24.147Z,167376224414701
"-- starting hand #359 (id: tv5b9esy44s7)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-15T05:57:24.147Z,167376224414700
"-- ending hand #358 --",2023-01-15T05:57:21.168Z,167376224116802
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot",2023-01-15T05:57:21.168Z,167376224116801
"Uncalled bet of 0.25 returned to ""Deckhole @ 3URETjsK60""",2023-01-15T05:57:21.168Z,167376224116800
"""lynn @ qRLMfzBQ8s"" folds",2023-01-15T05:57:20.349Z,167376224034900
