entry,at,order
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 4.69.",2022-11-13T08:42:17.044Z,166832893704400
"-- ending hand #503 --",2022-11-13T08:42:14.124Z,166832893412402
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2022-11-13T08:42:14.124Z,166832893412401
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-13T08:42:14.124Z,166832893412400
"""Deckhole @ 3URETjsK60"" folds",2022-11-13T08:42:13.318Z,166832893331800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-11-13T08:42:07.835Z,166832892783505
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-11-13T08:42:07.835Z,166832892783504
"Player stacks: #4 ""Malarkey @ Ia-cNlUwV8"" (156.11) | #8 ""Deckhole @ 3URETjsK60"" (4.79)",2022-11-13T08:42:07.835Z,166832892783501
"-- starting hand #503  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-11-13T08:42:07.835Z,166832892783500
"-- ending hand #502 --",2022-11-13T08:42:04.834Z,166832892483402
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-11-13T08:42:04.834Z,166832892483401
"Uncalled bet of 1.12 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-13T08:42:04.834Z,166832892483400
"""Deckhole @ 3URETjsK60"" folds",2022-11-13T08:42:03.931Z,166832892393100
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-11-13T08:41:59.645Z,166832891964500
"""Deckhole @ 3URETjsK60"" checks",2022-11-13T08:41:50.696Z,166832891069600
"Flop:  [K♠, 9♥, Q♣]",2022-11-13T08:41:34.909Z,166832889490900
"""Deckhole @ 3URETjsK60"" calls 0.75",2022-11-13T08:41:34.102Z,166832889410200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-11-13T08:41:15.080Z,166832887508000
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-11-13T08:41:11.101Z,166832887110105
