entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.92.",2022-04-28T03:59:42.811Z,165111838281100
"-- ending hand #257 --",2022-04-28T03:59:39.892Z,165111837989202
"""K Godel @ Di5cxDUTF9"" collected 0.30 from pot",2022-04-28T03:59:39.892Z,165111837989201
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-04-28T03:59:39.892Z,165111837989200
"""Malarkey @ Ia-cNlUwV8"" folds",2022-04-28T03:59:39.064Z,165111837906400
"""K Godel @ Di5cxDUTF9"" bets 0.15",2022-04-28T03:59:22.735Z,165111836273500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-28T03:59:16.179Z,165111835617900
"Turn: Q♥, 6♠, 5♠ [7♦]",2022-04-28T03:59:09.474Z,165111834947400
"""Malarkey @ Ia-cNlUwV8"" calls 0.09",2022-04-28T03:59:08.617Z,165111834861700
"""K Godel @ Di5cxDUTF9"" bets 0.09",2022-04-28T03:58:53.079Z,165111833307900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-28T03:58:48.631Z,165111832863100
"Flop:  [Q♥, 6♠, 5♠]",2022-04-28T03:58:42.980Z,165111832298000
"""Malarkey @ Ia-cNlUwV8"" calls 0.06",2022-04-28T03:58:42.069Z,165111832206900
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-04-28T03:58:38.651Z,165111831865100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-04-28T03:58:34.181Z,165111831418105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-28T03:58:34.181Z,165111831418104
"Your hand is Q♣, 5♣, J♦, 7♠",2022-04-28T03:58:34.181Z,165111831418103
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (17.52) | #6 ""K Godel @ Di5cxDUTF9"" (7.77)",2022-04-28T03:58:34.181Z,165111831418101
"-- starting hand #257  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-28T03:58:34.181Z,165111831418100
"-- ending hand #256 --",2022-04-28T03:58:31.257Z,165111831125702
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-04-28T03:58:31.257Z,165111831125701
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-04-28T03:58:31.257Z,165111831125700
"""Malarkey @ Ia-cNlUwV8"" folds",2022-04-28T03:58:30.450Z,165111831045000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-28T03:58:26.775Z,165111830677505
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-04-28T03:58:26.775Z,165111830677504
"Your hand is Q♥, 8♦, 2♠, 2♦",2022-04-28T03:58:26.775Z,165111830677503
"Player stacks: #5 ""Malarkey @ Ia-cNlUwV8"" (17.53) | #6 ""K Godel @ Di5cxDUTF9"" (7.76)",2022-04-28T03:58:26.775Z,165111830677501
"-- starting hand #256  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-04-28T03:58:26.775Z,165111830677500
"-- ending hand #255 --",2022-04-28T03:58:17.769Z,165111829776903
"""Malarkey @ Ia-cNlUwV8"" shows a 3♥, Q♠, K♥, 3♦.",2022-04-28T03:58:17.769Z,165111829776902
"""K Godel @ Di5cxDUTF9"" collected 0.90 from pot with hi hand with straight jack high (combination: 7♥, 8♦, 9♥, 10♠, J♦)",2022-04-28T03:58:17.769Z,165111829776901
"""K Godel @ Di5cxDUTF9"" shows a 6♣, 7♥, 9♥, 10♥.",2022-04-28T03:58:17.769Z,165111829776900
"""K Godel @ Di5cxDUTF9"" checks",2022-04-28T03:58:16.863Z,165111829686300
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-28T03:58:15.377Z,165111829537700
"River: 10♠, 8♦, 2♥, J♦ [6♦]",2022-04-28T03:58:12.245Z,165111829224500
"""Malarkey @ Ia-cNlUwV8"" calls 0.27",2022-04-28T03:58:11.388Z,165111829138800
"""K Godel @ Di5cxDUTF9"" bets 0.27",2022-04-28T03:58:05.657Z,165111828565700
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-28T03:58:01.124Z,165111828112400
"Turn: 10♠, 8♦, 2♥ [J♦]",2022-04-28T03:57:49.759Z,165111826975900
"""Malarkey @ Ia-cNlUwV8"" calls 0.12",2022-04-28T03:57:48.825Z,165111826882500
"""K Godel @ Di5cxDUTF9"" bets 0.12",2022-04-28T03:57:46.005Z,165111826600500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-28T03:57:41.566Z,165111826156600
