entry,at,order
"The player ""Mircra4 @ x0VbpS4Qxm"" sit back with the stack of 31.94.",2022-10-24T02:29:22.439Z,166657856243900
"The player ""Poindexter @ 3URETjsK60"" stand up with the stack of 55.46.",2022-10-24T01:59:24.780Z,166657676478000
"The player ""lynn @ YMhIHFu1Cm"" stand up with the stack of 13.28.",2022-10-24T01:59:21.275Z,166657676127500
"-- ending hand #182 --",2022-10-24T01:59:15.273Z,166657675527303
"""lynn @ YMhIHFu1Cm"" shows a A♠, 6♠, J♠, 5♣.",2022-10-24T01:59:15.273Z,166657675527302
"""Poindexter @ 3URETjsK60"" collected 2.50 from pot with Full House (combination: 3♦, 3♠, 3♥, 7♣, 7♥)",2022-10-24T01:59:15.273Z,166657675527301
"""Poindexter @ 3URETjsK60"" shows a 3♦, 2♣, 9♣, 7♣.",2022-10-24T01:59:15.273Z,166657675527300
"""lynn @ YMhIHFu1Cm"" checks",2022-10-24T01:59:14.411Z,166657675441100
"""Poindexter @ 3URETjsK60"" checks",2022-10-24T01:59:10.236Z,166657675023600
"River: 3♠, 3♥, 7♥, 4♣ [4♥]",2022-10-24T01:59:05.985Z,166657674598500
"""Poindexter @ 3URETjsK60"" calls 1.00",2022-10-24T01:59:05.131Z,166657674513100
"""lynn @ YMhIHFu1Cm"" raises to 1.00",2022-10-24T01:59:00.402Z,166657674040200
"""Poindexter @ 3URETjsK60"" bets 0.25",2022-10-24T01:58:55.068Z,166657673506800
"Turn: 3♠, 3♥, 7♥ [4♣]",2022-10-24T01:58:50.352Z,166657673035200
"""lynn @ YMhIHFu1Cm"" checks",2022-10-24T01:58:49.548Z,166657672954800
"""Poindexter @ 3URETjsK60"" checks",2022-10-24T01:58:46.936Z,166657672693600
"Flop:  [3♠, 3♥, 7♥]",2022-10-24T01:58:40.134Z,166657672013400
"""Poindexter @ 3URETjsK60"" checks",2022-10-24T01:58:39.322Z,166657671932200
"""lynn @ YMhIHFu1Cm"" calls 0.25",2022-10-24T01:58:36.298Z,166657671629800
