entry,at,order
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 11.71.",2022-04-21T03:33:36.434Z,165051201643401
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 12.12.",2022-04-21T03:33:36.434Z,165051201643400
"-- ending hand #252 --",2022-04-21T03:33:33.523Z,165051201352302
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-04-21T03:33:33.523Z,165051201352301
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-04-21T03:33:33.523Z,165051201352300
"""Poindexter @ _yf6aQFJyI"" folds",2022-04-21T03:33:32.680Z,165051201268000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-21T03:33:21.028Z,165051200102805
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-04-21T03:33:21.028Z,165051200102804
"Your hand is 3♣, J♣",2022-04-21T03:33:21.028Z,165051200102803
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (11.72) | #2 ""K Godel @ Di5cxDUTF9"" (12.11)",2022-04-21T03:33:21.028Z,165051200102801
"-- starting hand #252  (No Limit Texas Hold'em) (dealer: ""Poindexter @ _yf6aQFJyI"") --",2022-04-21T03:33:21.028Z,165051200102800
"""K Godel @ Di5cxDUTF9"" shows a Q♠, A♥.",2022-04-21T03:33:18.367Z,165051199836700
"""Poindexter @ _yf6aQFJyI"" shows a 5♥, 3♣.",2022-04-21T03:33:17.300Z,165051199730000
"-- ending hand #251 --",2022-04-21T03:33:16.704Z,165051199670402
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-04-21T03:33:16.704Z,165051199670401
"Uncalled bet of 0.04 returned to ""K Godel @ Di5cxDUTF9""",2022-04-21T03:33:16.704Z,165051199670400
"""Poindexter @ _yf6aQFJyI"" folds",2022-04-21T03:33:15.845Z,165051199584500
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-04-21T03:33:13.802Z,165051199380200
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-04-21T03:33:09.021Z,165051198902105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-21T03:33:09.021Z,165051198902104
"Your hand is Q♠, A♥",2022-04-21T03:33:09.021Z,165051198902103
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (11.74) | #2 ""K Godel @ Di5cxDUTF9"" (12.09)",2022-04-21T03:33:09.021Z,165051198902101
"-- starting hand #251  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-21T03:33:09.021Z,165051198902100
"""K Godel @ Di5cxDUTF9"" shows a 6♦, 9♣.",2022-04-21T03:33:07.548Z,165051198754800
"""Poindexter @ _yf6aQFJyI"" shows a K♦, 5♣.",2022-04-21T03:33:06.030Z,165051198603000
"-- ending hand #250 --",2022-04-21T03:33:04.622Z,165051198462202
