entry,at,order
"The player ""jean @ _I_YnTCjVs"" passed the room ownership to ""K Godel @ Di5cxDUTF9"".",2022-06-19T02:42:26.770Z,165560654677001
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""jean @ _I_YnTCjVs"".",2022-06-19T02:42:26.770Z,165560654677000
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 86.07.",2022-06-19T02:35:36.850Z,165560613685000
"The player ""jean @ _I_YnTCjVs"" quits the game with a stack of 6.72.",2022-06-19T02:35:23.587Z,165560612358701
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the removal of the player ""jean @ _I_YnTCjVs"".",2022-06-19T02:35:23.587Z,165560612358700
"The player ""she's cake @ xHbhohAXuu"" quits the game with a stack of 7.31.",2022-06-19T02:35:19.545Z,165560611954501
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the removal of the player ""she's cake @ xHbhohAXuu"".",2022-06-19T02:35:19.545Z,165560611954500
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 16.85.",2022-06-19T02:35:12.196Z,165560611219601
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the removal of the player ""K Godel @ Di5cxDUTF9"".",2022-06-19T02:35:12.196Z,165560611219600
"The player ""jean @ _I_YnTCjVs"" sit back with the stack of 6.72.",2022-06-19T02:18:43.252Z,165560512325200
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 16.85.",2022-06-19T02:17:51.366Z,165560507136600
"-- ending hand #95 --",2022-06-19T02:17:48.365Z,165560506836502
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-06-19T02:17:48.365Z,165560506836501
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-06-19T02:17:48.365Z,165560506836500
"""K Godel @ Di5cxDUTF9"" folds",2022-06-19T02:17:47.533Z,165560506753300
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-06-19T02:17:33.654Z,165560505365400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-06-19T02:17:20.222Z,165560504022205
