entry,at,order
"The player ""Poindexter @ 3URETjsK60"" stand up with the stack of 13.30.",2022-08-29T04:31:17.050Z,166174747705000
"-- ending hand #239 --",2022-08-29T04:31:14.047Z,166174747404702
"""Jean @ _I_YnTCjVs"" collected 0.04 from pot",2022-08-29T04:31:14.047Z,166174747404701
"Uncalled bet of 0.04 returned to ""Jean @ _I_YnTCjVs""",2022-08-29T04:31:14.047Z,166174747404700
"""Poindexter @ 3URETjsK60"" folds",2022-08-29T04:31:13.152Z,166174747315200
"""Jean @ _I_YnTCjVs"" bets 0.04",2022-08-29T04:31:12.327Z,166174747232700
"""Poindexter @ 3URETjsK60"" checks",2022-08-29T04:31:05.241Z,166174746524101
"Flop:  [5♥, 7♥, 6♣]",2022-08-29T04:31:05.241Z,166174746524100
"""Poindexter @ 3URETjsK60"" checks",2022-08-29T04:31:04.341Z,166174746434100
"""Jean @ _I_YnTCjVs"" calls 0.02",2022-08-29T04:31:03.512Z,166174746351200
"""Poindexter @ 3URETjsK60"" posts a big blind of 0.02",2022-08-29T04:30:44.029Z,166174744402906
"""Jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-08-29T04:30:44.029Z,166174744402905
"Player stacks: #1 ""Poindexter @ 3URETjsK60"" (13.32) | #2 ""Jean @ _I_YnTCjVs"" (1.62)",2022-08-29T04:30:44.029Z,166174744402902
"-- starting hand #239  (Pot Limit Omaha Hi) (dealer: ""Jean @ _I_YnTCjVs"") --",2022-08-29T04:30:44.029Z,166174744402901
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 2.29.",2022-08-29T04:30:44.029Z,166174744402900
"-- ending hand #238 --",2022-08-29T04:30:41.119Z,166174744111902
"""Mag Kirwin @ e4MtM50XXb"" collected 0.12 from pot",2022-08-29T04:30:41.119Z,166174744111901
"Uncalled bet of 0.12 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-08-29T04:30:41.119Z,166174744111900
"""Jean @ _I_YnTCjVs"" folds",2022-08-29T04:30:40.295Z,166174744029500
"""Mag Kirwin @ e4MtM50XXb"" bets 0.12",2022-08-29T04:30:35.189Z,166174743518900
"""Jean @ _I_YnTCjVs"" checks",2022-08-29T04:30:31.124Z,166174743112400
"Flop:  [5♠, 4♥, 8♦]",2022-08-29T04:30:26.516Z,166174742651600
"""Mag Kirwin @ e4MtM50XXb"" calls 0.06",2022-08-29T04:30:25.656Z,166174742565600
"""Jean @ _I_YnTCjVs"" raises to 0.06",2022-08-29T04:30:23.927Z,166174742392700
"""Poindexter @ 3URETjsK60"" folds",2022-08-29T04:30:18.113Z,166174741811300
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.02",2022-08-29T04:30:11.813Z,166174741181307
"""Jean @ _I_YnTCjVs"" posts a small blind of 0.01",2022-08-29T04:30:11.813Z,166174741181306
