entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 32.23.",2023-01-29T06:03:45.239Z,167497222523900
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 32.23.",2023-01-29T06:03:40.882Z,167497222088200
"The player ""Mag Kirwin @ e4MtM50XXb"" quits the game with a stack of 20.19.",2023-01-29T06:03:19.805Z,167497219980501
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mag Kirwin @ e4MtM50XXb"".",2023-01-29T06:03:19.805Z,167497219980500
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 21.33.",2023-01-29T06:02:31.199Z,167497215119901
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2023-01-29T06:02:31.199Z,167497215119900
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 75.20.",2023-01-29T06:02:10.400Z,167497213040001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2023-01-29T06:02:10.400Z,167497213040000
"The player ""lynn @ qRLMfzBQ8s"" canceled the seat request.",2023-01-29T05:30:38.339Z,167497023833900
"The player ""lynn @ qRLMfzBQ8s"" requested a seat.",2023-01-29T05:25:34.597Z,167496993459700
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 75.20.",2023-01-29T02:06:09.805Z,167495796980500
"-- ending hand #94 --",2023-01-29T02:06:06.888Z,167495796688802
"""K Godel @ TN11URmFSv"" collected 0.20 from pot",2023-01-29T02:06:06.888Z,167495796688801
"Uncalled bet of 0.15 returned to ""K Godel @ TN11URmFSv""",2023-01-29T02:06:06.888Z,167495796688800
"""Deckhole @ 3URETjsK60"" folds",2023-01-29T02:06:06.059Z,167495796605900
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2023-01-29T02:05:54.233Z,167495795423307
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2023-01-29T02:05:54.233Z,167495795423306
"Your hand is 8♣, J♦",2023-01-29T02:05:54.233Z,167495795423305
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (75.30) | #7 ""K Godel @ TN11URmFSv"" (32.13)",2023-01-29T02:05:54.233Z,167495795423303
"-- starting hand #94 (id: 81ruwbg2ynmi)  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 3URETjsK60"") --",2023-01-29T02:05:54.233Z,167495795423302
"The player ""She’s cake @ o0JTtLuI71"" quits the game with a stack of 29.60.",2023-01-29T02:05:54.233Z,167495795423301
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 20.19.",2023-01-29T02:05:54.233Z,167495795423300
"-- ending hand #93 --",2023-01-29T02:05:48.194Z,167495794819403
"""Deckhole @ 3URETjsK60"" collected 1.80 from pot with low hand with eight high (combination: A♠, 3♦, 5♦, 6♥, 8♥)",2023-01-29T02:05:48.194Z,167495794819402
"""Deckhole @ 3URETjsK60"" collected 1.80 from pot with hi hand with two pair aces and eights (combination: 7♠, 8♦, 8♥, A♠, A♥)",2023-01-29T02:05:48.194Z,167495794819401
"""Deckhole @ 3URETjsK60"" shows a 7♠, 6♥, 8♦, 3♦.",2023-01-29T02:05:48.194Z,167495794819400
"""K Godel @ TN11URmFSv"" checks",2023-01-29T02:05:47.290Z,167495794729000
"""Deckhole @ 3URETjsK60"" checks",2023-01-29T02:05:39.715Z,167495793971500
"River: K♠, 5♦, 8♥, A♠ [A♥]",2023-01-29T02:05:28.413Z,167495792841300
