entry,at,order
"The player ""Deckhole @ 3URETjsK60"" passed the room ownership to ""K Godel @ TN11URmFSv"".",2022-12-22T07:40:22.639Z,167169482263900
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 52.77.",2022-12-22T07:16:10.372Z,167169337037200
"-- ending hand #419 --",2022-12-22T07:16:07.430Z,167169336743002
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2022-12-22T07:16:07.430Z,167169336743001
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2022-12-22T07:16:07.430Z,167169336743000
"""lynn @ qRLMfzBQ8s"" folds",2022-12-22T07:16:06.591Z,167169336659100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-12-22T07:15:51.955Z,167169335195506
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-22T07:15:51.955Z,167169335195505
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (588.94) | #9 ""lynn @ qRLMfzBQ8s"" (52.87)",2022-12-22T07:15:51.955Z,167169335195502
"-- starting hand #419 (id: wguzmobjqgno)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-12-22T07:15:51.955Z,167169335195501
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 0.00.",2022-12-22T07:15:51.955Z,167169335195500
"-- ending hand #418 --",2022-12-22T07:15:45.949Z,167169334594901
"""Malarkey @ Ia-cNlUwV8"" collected 108.56 from pot with hi hand with flush ace high (combination: 4♣, 8♣, Q♣, K♣, A♣)",2022-12-22T07:15:45.949Z,167169334594900
"River: 4♣, 8♣, 9♦, Q♣ [3♦]",2022-12-22T07:15:41.895Z,167169334189500
"""Deckhole @ 3URETjsK60"" shows a J♥, K♠, 10♠, 2♥.",2022-12-22T07:15:37.893Z,167169333789301
"""Malarkey @ Ia-cNlUwV8"" shows a A♦, 3♣, K♣, A♣.",2022-12-22T07:15:37.893Z,167169333789300
"""Deckhole @ 3URETjsK60"" calls 46.18 and go all in",2022-12-22T07:15:37.052Z,167169333705200
"""Malarkey @ Ia-cNlUwV8"" raises to 46.18",2022-12-22T07:15:35.357Z,167169333535700
"""Deckhole @ 3URETjsK60"" raises to 24.30",2022-12-22T07:15:24.496Z,167169332449600
"""Malarkey @ Ia-cNlUwV8"" bets 8.10",2022-12-22T07:15:06.322Z,167169330632200
"Turn: 4♣, 8♣, 9♦ [Q♣]",2022-12-22T07:14:58.079Z,167169329807900
"""Deckhole @ 3URETjsK60"" calls 5.40",2022-12-22T07:14:57.251Z,167169329725100
"""Malarkey @ Ia-cNlUwV8"" bets 5.40",2022-12-22T07:14:46.250Z,167169328625000
"Flop:  [4♣, 8♣, 9♦]",2022-12-22T07:14:34.537Z,167169327453700
"""Deckhole @ 3URETjsK60"" calls 2.65",2022-12-22T07:14:33.722Z,167169327372200
"""Malarkey @ Ia-cNlUwV8"" raises to 2.65",2022-12-22T07:14:30.207Z,167169327020700
"""lynn @ qRLMfzBQ8s"" folds",2022-12-22T07:14:26.808Z,167169326680800
"""Deckhole @ 3URETjsK60"" raises to 0.85",2022-12-22T07:14:24.690Z,167169326469000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-12-22T07:14:21.889Z,167169326188906
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-22T07:14:21.889Z,167169326188905
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (534.61) | #8 ""Deckhole @ 3URETjsK60"" (54.23) | #9 ""lynn @ qRLMfzBQ8s"" (52.97)",2022-12-22T07:14:21.889Z,167169326188901
"-- starting hand #418 (id: yld6m6mtqzzb)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-12-22T07:14:21.889Z,167169326188900
"-- ending hand #417 --",2022-12-22T07:14:15.971Z,167169325597102
"""Malarkey @ Ia-cNlUwV8"" collected 6.36 from pot",2022-12-22T07:14:15.971Z,167169325597101
"Uncalled bet of 6.36 returned to ""Malarkey @ Ia-cNlUwV8""",2022-12-22T07:14:15.971Z,167169325597100
"""lynn @ qRLMfzBQ8s"" folds",2022-12-22T07:14:15.148Z,167169325514800
"""Deckhole @ 3URETjsK60"" folds",2022-12-22T07:14:14.200Z,167169325420000
"""Malarkey @ Ia-cNlUwV8"" raises to 7.63",2022-12-22T07:14:02.492Z,167169324249200
"""lynn @ qRLMfzBQ8s"" calls 1.27",2022-12-22T07:13:58.953Z,167169323895300
"""Deckhole @ 3URETjsK60"" bets 1.27",2022-12-22T07:13:53.218Z,167169323321800
"Flop:  [10♦, 9♥, J♦]",2022-12-22T07:13:45.252Z,167169322525200
"""lynn @ qRLMfzBQ8s"" calls 0.85",2022-12-22T07:13:44.412Z,167169322441200
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-12-22T07:13:39.196Z,167169321919600
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2022-12-22T07:13:35.324Z,167169321532400
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-12-22T07:13:30.839Z,167169321083906
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-12-22T07:13:30.839Z,167169321083905
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (530.37) | #8 ""Deckhole @ 3URETjsK60"" (56.35) | #9 ""lynn @ qRLMfzBQ8s"" (55.09)",2022-12-22T07:13:30.839Z,167169321083901
"-- starting hand #417 (id: z2dc58yphb6j)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-12-22T07:13:30.839Z,167169321083900
"-- ending hand #416 --",2022-12-22T07:13:24.832Z,167169320483202
"""Deckhole @ 3URETjsK60"" collected 1.80 from pot",2022-12-22T07:13:24.832Z,167169320483201
"Uncalled bet of 1.80 returned to ""Deckhole @ 3URETjsK60""",2022-12-22T07:13:24.832Z,167169320483200
"""lynn @ qRLMfzBQ8s"" folds",2022-12-22T07:13:24.012Z,167169320401200
"""Deckhole @ 3URETjsK60"" bets 1.80",2022-12-22T07:13:10.531Z,167169319053100
"Turn: 10♦, 2♦, 9♦ [J♣]",2022-12-22T07:13:05.218Z,167169318521800
"""lynn @ qRLMfzBQ8s"" checks",2022-12-22T07:13:04.359Z,167169318435900
"""Deckhole @ 3URETjsK60"" checks",2022-12-22T07:12:55.439Z,167169317543900
"Flop:  [10♦, 2♦, 9♦]",2022-12-22T07:12:52.606Z,167169317260600
"""Deckhole @ 3URETjsK60"" calls 0.85",2022-12-22T07:12:51.792Z,167169317179200
"""Malarkey @ Ia-cNlUwV8"" folds",2022-12-22T07:12:49.782Z,167169316978200
"""lynn @ qRLMfzBQ8s"" raises to 0.85",2022-12-22T07:12:46.016Z,167169316601600
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2022-12-22T07:12:33.374Z,167169315337406
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-12-22T07:12:33.374Z,167169315337405
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (530.47) | #8 ""Deckhole @ 3URETjsK60"" (55.40) | #9 ""lynn @ qRLMfzBQ8s"" (55.94)",2022-12-22T07:12:33.374Z,167169315337401
"-- starting hand #416 (id: hvvfzirmnbzm)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ qRLMfzBQ8s"") --",2022-12-22T07:12:33.374Z,167169315337400
"-- ending hand #415 --",2022-12-22T07:12:30.377Z,167169315037702
"""Malarkey @ Ia-cNlUwV8"" collected 2.55 from pot",2022-12-22T07:12:30.377Z,167169315037701
"Uncalled bet of 1.27 returned to ""Malarkey @ Ia-cNlUwV8""",2022-12-22T07:12:30.377Z,167169315037700
"""lynn @ qRLMfzBQ8s"" folds",2022-12-22T07:12:29.517Z,167169314951700
"""Deckhole @ 3URETjsK60"" folds",2022-12-22T07:12:28.616Z,167169314861600
"""Malarkey @ Ia-cNlUwV8"" bets 1.27",2022-12-22T07:12:19.511Z,167169313951100
"""lynn @ qRLMfzBQ8s"" checks",2022-12-22T07:12:14.782Z,167169313478200
"Flop:  [K♦, 2♥, 4♥]",2022-12-22T07:12:06.395Z,167169312639500
"""Malarkey @ Ia-cNlUwV8"" calls 0.85",2022-12-22T07:12:05.568Z,167169312556800
"""lynn @ qRLMfzBQ8s"" calls 0.85",2022-12-22T07:11:58.794Z,167169311879400
"""Deckhole @ 3URETjsK60"" raises to 0.85",2022-12-22T07:11:54.913Z,167169311491300
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-12-22T07:11:38.314Z,167169309831406
"""lynn @ qRLMfzBQ8s"" posts a small blind of 0.10",2022-12-22T07:11:38.314Z,167169309831405
"Player stacks: #6 ""Malarkey @ Ia-cNlUwV8"" (528.77) | #8 ""Deckhole @ 3URETjsK60"" (56.25) | #9 ""lynn @ qRLMfzBQ8s"" (56.79)",2022-12-22T07:11:38.314Z,167169309831401
"-- starting hand #415 (id: 41kgy4cgvaxq)  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-12-22T07:11:38.314Z,167169309831400
"-- ending hand #414 --",2022-12-22T07:11:35.311Z,167169309531102
"""Malarkey @ Ia-cNlUwV8"" collected 5.85 from pot",2022-12-22T07:11:35.311Z,167169309531101
"Uncalled bet of 2.92 returned to ""Malarkey @ Ia-cNlUwV8""",2022-12-22T07:11:35.311Z,167169309531100
"""Deckhole @ 3URETjsK60"" folds",2022-12-22T07:11:34.406Z,167169309440600
"""Malarkey @ Ia-cNlUwV8"" bets 2.92",2022-12-22T07:11:32.081Z,167169309208100
