entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 112.57.",2022-12-04T07:52:14.601Z,167014033460100
"The player ""lynn @ qRLMfzBQ8s"" quits the game with a stack of 0.02.",2022-12-04T07:52:07.082Z,167014032708201
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""lynn @ qRLMfzBQ8s"".",2022-12-04T07:52:07.082Z,167014032708200
"The player ""lynn @ qRLMfzBQ8s"" stand up with the stack of 0.02.",2022-12-04T07:43:30.852Z,167013981085200
"-- ending hand #250 --",2022-12-04T07:43:27.940Z,167013980794002
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-12-04T07:43:27.940Z,167013980794001
"Uncalled bet of 0.02 returned to ""K Godel @ TN11URmFSv""",2022-12-04T07:43:27.940Z,167013980794000
"""lynn @ qRLMfzBQ8s"" folds",2022-12-04T07:43:27.050Z,167013980705000
"""K Godel @ TN11URmFSv"" raises to 0.27",2022-12-04T07:43:26.146Z,167013980614600
"""lynn @ qRLMfzBQ8s"" posts a big blind of 0.25",2022-12-04T07:43:19.740Z,167013979974005
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-12-04T07:43:19.740Z,167013979974004
"Your hand is 6♥, 10♥, 7♦, A♠",2022-12-04T07:43:19.740Z,167013979974002
"Player stacks: #1 ""K Godel @ TN11URmFSv"" (112.32) | #8 ""lynn @ qRLMfzBQ8s"" (0.27)",2022-12-04T07:43:19.740Z,167013979974001
"-- starting hand #250 (id: iddwjuambgkm)  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ TN11URmFSv"") --",2022-12-04T07:43:19.740Z,167013979974000
"-- ending hand #249 --",2022-12-04T07:43:13.730Z,167013979373003
"""lynn @ qRLMfzBQ8s"" shows a 8♠, J♣, 6♠, 10♣.",2022-12-04T07:43:13.730Z,167013979373002
"""K Godel @ TN11URmFSv"" collected 112.32 from pot with hi hand with full house aces full of kings (combination: K♠, K♣, A♥, A♠, A♣)",2022-12-04T07:43:13.730Z,167013979373001
"""K Godel @ TN11URmFSv"" shows a A♥, 9♠, 2♠, K♠.",2022-12-04T07:43:13.730Z,167013979373000
"""lynn @ qRLMfzBQ8s"" calls 33.66",2022-12-04T07:43:12.852Z,167013979285200
"""K Godel @ TN11URmFSv"" bets 33.66 and go all in",2022-12-04T07:43:10.102Z,167013979010200
"River: A♠, A♣, 8♣, K♣ [J♠]",2022-12-04T07:43:04.922Z,167013978492200
"""lynn @ qRLMfzBQ8s"" calls 21.00",2022-12-04T07:43:04.049Z,167013978404900
"""K Godel @ TN11URmFSv"" raises to 21.00",2022-12-04T07:42:52.981Z,167013977298100
"""lynn @ qRLMfzBQ8s"" raises to 6.00",2022-12-04T07:42:36.877Z,167013975687700
"""K Godel @ TN11URmFSv"" bets 3.00",2022-12-04T07:42:04.801Z,167013972480100
"Turn: A♠, A♣, 8♣ [K♣]",2022-12-04T07:41:54.878Z,167013971487800
"""lynn @ qRLMfzBQ8s"" calls 0.75",2022-12-04T07:41:54.009Z,167013971400900
