entry,at,order
"The player ""Poindexter @ _yf6aQFJyI"" stand up with the stack of 11.26.",2022-04-07T03:38:56.132Z,164930273613200
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 8.33.",2022-04-07T03:38:49.322Z,164930272932200
"-- ending hand #155 --",2022-04-07T03:38:46.392Z,164930272639202
"""Poindexter @ _yf6aQFJyI"" collected 0.02 from pot",2022-04-07T03:38:46.392Z,164930272639201
"Uncalled bet of 0.01 returned to ""Poindexter @ _yf6aQFJyI""",2022-04-07T03:38:46.392Z,164930272639200
"""K Godel @ Di5cxDUTF9"" folds",2022-04-07T03:38:45.572Z,164930272557200
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-04-07T03:38:36.717Z,164930271671706
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-07T03:38:36.717Z,164930271671705
"Your hand is J♠, 3♥",2022-04-07T03:38:36.717Z,164930271671704
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (11.25) | #2 ""K Godel @ Di5cxDUTF9"" (8.34)",2022-04-07T03:38:36.717Z,164930271671702
"-- starting hand #155  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-07T03:38:36.717Z,164930271671701
"The player ""jean @ _qaxMUlwNf"" quits the game with a stack of 0.00.",2022-04-07T03:38:36.717Z,164930271671700
"-- ending hand #154 --",2022-04-07T03:38:27.703Z,164930270770303
"""jean @ _qaxMUlwNf"" shows a 7♠, 7♦.",2022-04-07T03:38:27.703Z,164930270770302
"""Poindexter @ _yf6aQFJyI"" collected 8.65 from pot with Three of a Kind, Q's (combination: Q♥, Q♠, Q♦, J♦, 6♠)",2022-04-07T03:38:27.703Z,164930270770301
"""Poindexter @ _yf6aQFJyI"" shows a J♦, Q♥.",2022-04-07T03:38:27.703Z,164930270770300
"""jean @ _qaxMUlwNf"" calls 2.66 and go all in",2022-04-07T03:38:26.847Z,164930270684700
"""Poindexter @ _yf6aQFJyI"" bets 2.66",2022-04-07T03:38:21.849Z,164930270184900
"""jean @ _qaxMUlwNf"" checks",2022-04-07T03:38:14.566Z,164930269456600
"River: Q♠, Q♦, 3♥, 5♠ [6♠]",2022-04-07T03:38:10.890Z,164930269089000
"""jean @ _qaxMUlwNf"" calls 1.22",2022-04-07T03:38:09.975Z,164930268997500
"""Poindexter @ _yf6aQFJyI"" raises to 1.22",2022-04-07T03:38:07.013Z,164930268701300
"""jean @ _qaxMUlwNf"" bets 0.39",2022-04-07T03:37:55.126Z,164930267512600
"Turn: Q♠, Q♦, 3♥ [5♠]",2022-04-07T03:37:46.877Z,164930266687700
"""Poindexter @ _yf6aQFJyI"" calls 0.22",2022-04-07T03:37:46.054Z,164930266605400
"""jean @ _qaxMUlwNf"" bets 0.22",2022-04-07T03:37:42.263Z,164930266226300
"Flop:  [Q♠, Q♦, 3♥]",2022-04-07T03:37:34.558Z,164930265455800
"""Poindexter @ _yf6aQFJyI"" calls 0.22",2022-04-07T03:37:33.741Z,164930265374100
"""jean @ _qaxMUlwNf"" raises to 0.22",2022-04-07T03:37:19.209Z,164930263920900
"""K Godel @ Di5cxDUTF9"" folds",2022-04-07T03:37:12.416Z,164930263241600
"""Poindexter @ _yf6aQFJyI"" raises to 0.07",2022-04-07T03:37:11.526Z,164930263152600
"""jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-04-07T03:37:05.757Z,164930262575706
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-07T03:37:05.757Z,164930262575705
"Your hand is 5♣, 9♦",2022-04-07T03:37:05.757Z,164930262575703
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (6.92) | #2 ""K Godel @ Di5cxDUTF9"" (8.35) | #6 ""jean @ _qaxMUlwNf"" (4.32)",2022-04-07T03:37:05.757Z,164930262575701
"-- starting hand #154  (No Limit Texas Hold'em) (dealer: ""Poindexter @ _yf6aQFJyI"") --",2022-04-07T03:37:05.757Z,164930262575700
"""Poindexter @ _yf6aQFJyI"" shows a 8♠, Q♣.",2022-04-07T03:37:04.443Z,164930262444300
"-- ending hand #153 --",2022-04-07T03:37:02.137Z,164930262213702
"""Poindexter @ _yf6aQFJyI"" collected 0.12 from pot",2022-04-07T03:37:02.137Z,164930262213701
"Uncalled bet of 0.04 returned to ""Poindexter @ _yf6aQFJyI""",2022-04-07T03:37:02.137Z,164930262213700
"""K Godel @ Di5cxDUTF9"" folds",2022-04-07T03:37:01.247Z,164930262124700
"""Poindexter @ _yf6aQFJyI"" bets 0.04",2022-04-07T03:36:57.849Z,164930261784900
"Flop:  [J♦, J♠, 3♦]",2022-04-07T03:36:48.933Z,164930260893300
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-04-07T03:36:48.099Z,164930260809900
"""Poindexter @ _yf6aQFJyI"" raises to 0.06",2022-04-07T03:36:44.381Z,164930260438100
"""jean @ _qaxMUlwNf"" folds",2022-04-07T03:36:26.046Z,164930258604600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-07T03:36:21.698Z,164930258169806
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-04-07T03:36:21.698Z,164930258169805
"Your hand is K♠, 9♠",2022-04-07T03:36:21.698Z,164930258169803
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (6.86) | #2 ""K Godel @ Di5cxDUTF9"" (8.41) | #6 ""jean @ _qaxMUlwNf"" (4.32)",2022-04-07T03:36:21.698Z,164930258169801
"-- starting hand #153  (No Limit Texas Hold'em) (dealer: ""jean @ _qaxMUlwNf"") --",2022-04-07T03:36:21.698Z,164930258169800
"""jean @ _qaxMUlwNf"" shows a 7♥, 10♥.",2022-04-07T03:36:19.137Z,164930257913700
"""K Godel @ Di5cxDUTF9"" shows a Q♣, 10♣.",2022-04-07T03:36:17.797Z,164930257779700
"""Poindexter @ _yf6aQFJyI"" shows a K♥, 10♠.",2022-04-07T03:36:17.651Z,164930257765100
"-- ending hand #152 --",2022-04-07T03:36:16.589Z,164930257658902
"""K Godel @ Di5cxDUTF9"" collected 0.21 from pot",2022-04-07T03:36:16.589Z,164930257658901
"Uncalled bet of 0.10 returned to ""K Godel @ Di5cxDUTF9""",2022-04-07T03:36:16.589Z,164930257658900
"""Poindexter @ _yf6aQFJyI"" folds",2022-04-07T03:36:15.747Z,164930257574700
"""jean @ _qaxMUlwNf"" folds",2022-04-07T03:36:07.119Z,164930256711900
"""K Godel @ Di5cxDUTF9"" bets 0.10",2022-04-07T03:36:03.930Z,164930256393000
"""Poindexter @ _yf6aQFJyI"" checks",2022-04-07T03:35:59.618Z,164930255961800
"""jean @ _qaxMUlwNf"" checks",2022-04-07T03:35:52.768Z,164930255276800
"Turn: 3♠, 6♦, 8♦ [J♦]",2022-04-07T03:35:50.173Z,164930255017300
"""K Godel @ Di5cxDUTF9"" checks",2022-04-07T03:35:49.330Z,164930254933000
"""Poindexter @ _yf6aQFJyI"" checks",2022-04-07T03:35:47.175Z,164930254717500
"""jean @ _qaxMUlwNf"" checks",2022-04-07T03:35:43.306Z,164930254330600
"Flop:  [3♠, 6♦, 8♦]",2022-04-07T03:35:39.660Z,164930253966000
"""Poindexter @ _yf6aQFJyI"" calls 0.07",2022-04-07T03:35:38.780Z,164930253878000
