entry,at,order
"The player ""LLATFFEJ @ sFObWNao3T"" quits the game with a stack of 50.32.",2022-03-13T06:00:32.155Z,164715123215501
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 38.13.",2022-03-13T06:00:32.155Z,164715123215500
"-- ending hand #174 --",2022-03-13T06:00:29.223Z,164715122922302
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2022-03-13T06:00:29.223Z,164715122922301
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-13T06:00:29.223Z,164715122922300
"""K Godel @ Di5cxDUTF9"" folds",2022-03-13T06:00:28.395Z,164715122839500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-03-13T06:00:19.751Z,164715121975105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-03-13T06:00:19.751Z,164715121975104
"Your hand is 2♠, 4♣",2022-03-13T06:00:19.751Z,164715121975103
"Player stacks: #3 ""Deckhole @ _yf6aQFJyI"" (218.51) | #4 ""K Godel @ Di5cxDUTF9"" (38.23)",2022-03-13T06:00:19.751Z,164715121975101
"-- starting hand #174  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-13T06:00:19.751Z,164715121975100
"""K Godel @ Di5cxDUTF9"" shows a 7♠, Q♠.",2022-03-13T06:00:18.258Z,164715121825800
"""Deckhole @ _yf6aQFJyI"" shows a 9♣, 9♥.",2022-03-13T06:00:17.092Z,164715121709200
"-- ending hand #173 --",2022-03-13T06:00:15.346Z,164715121534602
"""K Godel @ Di5cxDUTF9"" collected 2.16 from pot",2022-03-13T06:00:15.346Z,164715121534601
"Uncalled bet of 1.08 returned to ""K Godel @ Di5cxDUTF9""",2022-03-13T06:00:15.346Z,164715121534600
"""Deckhole @ _yf6aQFJyI"" folds",2022-03-13T06:00:14.486Z,164715121448600
"""K Godel @ Di5cxDUTF9"" bets 1.08",2022-03-13T06:00:07.959Z,164715120795900
"River: Q♣, K♦, K♥, 4♥ [J♠]",2022-03-13T05:59:53.338Z,164715119333800
"""Deckhole @ _yf6aQFJyI"" checks",2022-03-13T05:59:52.435Z,164715119243500
"""K Godel @ Di5cxDUTF9"" checks",2022-03-13T05:59:44.451Z,164715118445100
"Turn: Q♣, K♦, K♥ [4♥]",2022-03-13T05:59:42.331Z,164715118233100
"""K Godel @ Di5cxDUTF9"" calls 0.33",2022-03-13T05:59:41.396Z,164715118139600
"""Deckhole @ _yf6aQFJyI"" bets 0.33",2022-03-13T05:59:36.959Z,164715117695900
"""K Godel @ Di5cxDUTF9"" checks",2022-03-13T05:59:17.537Z,164715115753700
"Flop:  [Q♣, K♦, K♥]",2022-03-13T05:59:14.983Z,164715115498300
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-03-13T05:59:14.150Z,164715115415000
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-03-13T05:59:12.048Z,164715115204800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-03-13T05:59:08.524Z,164715114852406
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-03-13T05:59:08.524Z,164715114852405
"Your hand is 7♠, Q♠",2022-03-13T05:59:08.524Z,164715114852404
"Player stacks: #3 ""Deckhole @ _yf6aQFJyI"" (219.59) | #4 ""K Godel @ Di5cxDUTF9"" (37.15)",2022-03-13T05:59:08.524Z,164715114852402
"-- starting hand #173  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-13T05:59:08.524Z,164715114852401
"The player ""LLATFFEJ @ sFObWNao3T"" stand up with the stack of 50.32.",2022-03-13T05:59:08.524Z,164715114852400
"-- ending hand #172 --",2022-03-13T05:59:05.520Z,164715114552002
"""Deckhole @ _yf6aQFJyI"" collected 2.75 from pot",2022-03-13T05:59:05.520Z,164715114552001
"Uncalled bet of 5.55 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-13T05:59:05.520Z,164715114552000
"""LLATFFEJ @ sFObWNao3T"" folds",2022-03-13T05:59:04.653Z,164715114465300
"""Deckhole @ _yf6aQFJyI"" bets 5.55",2022-03-13T05:59:00.471Z,164715114047100
"River: Q♠, 9♦, J♥, 8♦ [Q♥]",2022-03-13T05:58:52.175Z,164715113217500
"""LLATFFEJ @ sFObWNao3T"" checks",2022-03-13T05:58:51.320Z,164715113132000
"""Deckhole @ _yf6aQFJyI"" checks",2022-03-13T05:58:48.607Z,164715112860700
"Turn: Q♠, 9♦, J♥ [8♦]",2022-03-13T05:58:28.909Z,164715110890900
"""LLATFFEJ @ sFObWNao3T"" checks",2022-03-13T05:58:28.030Z,164715110803000
"""Deckhole @ _yf6aQFJyI"" checks",2022-03-13T05:58:25.531Z,164715110553100
"Flop:  [Q♠, 9♦, J♥]",2022-03-13T05:58:18.510Z,164715109851000
"""LLATFFEJ @ sFObWNao3T"" calls 1.25",2022-03-13T05:58:17.701Z,164715109770100
