entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 22.88.",2022-10-09T06:54:25.420Z,166529846542000
"The player ""lynn @ 9CcL0DjUmK"" stand up with the stack of 52.98.",2022-10-09T06:54:02.167Z,166529844216701
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 295.92.",2022-10-09T06:54:02.167Z,166529844216700
"-- ending hand #289 --",2022-10-09T06:53:59.166Z,166529843916602
"""K Godel @ TN11URmFSv"" collected 0.50 from pot",2022-10-09T06:53:59.166Z,166529843916601
"Uncalled bet of 0.50 returned to ""K Godel @ TN11URmFSv""",2022-10-09T06:53:59.166Z,166529843916600
"""lynn @ 9CcL0DjUmK"" folds",2022-10-09T06:53:58.330Z,166529843833000
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-10-09T06:53:55.560Z,166529843556000
"""Deckhole @ 3URETjsK60"" folds",2022-10-09T06:53:48.342Z,166529842834200
"""lynn @ 9CcL0DjUmK"" posts a big blind of 0.25",2022-10-09T06:53:46.363Z,166529842636306
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-10-09T06:53:46.363Z,166529842636305
"Your hand is K♣, 9♣, 4♥, 7♦",2022-10-09T06:53:46.363Z,166529842636303
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (295.92) | #2 ""K Godel @ TN11URmFSv"" (22.63) | #4 ""lynn @ 9CcL0DjUmK"" (53.23)",2022-10-09T06:53:46.363Z,166529842636301
"-- starting hand #289  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2022-10-09T06:53:46.363Z,166529842636300
"-- ending hand #288 --",2022-10-09T06:53:40.357Z,166529842035703
"""Deckhole @ 3URETjsK60"" shows a Q♠, 8♠, 8♦, 3♣.",2022-10-09T06:53:40.357Z,166529842035702
"""K Godel @ TN11URmFSv"" collected 1.50 from pot with Two Pair (combination: A♦, A♥, 2♦, 2♣, Q♣)",2022-10-09T06:53:40.357Z,166529842035701
"""K Godel @ TN11URmFSv"" shows a 2♦, A♦, 8♣, 5♣.",2022-10-09T06:53:40.357Z,166529842035700
"""K Godel @ TN11URmFSv"" checks",2022-10-09T06:53:39.443Z,166529841944300
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:53:36.254Z,166529841625400
"River: 10♥, J♥, Q♣, A♥ [2♣]",2022-10-09T06:53:34.754Z,166529841475400
"""K Godel @ TN11URmFSv"" checks",2022-10-09T06:53:33.932Z,166529841393200
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:53:29.206Z,166529840920600
"Turn: 10♥, J♥, Q♣ [A♥]",2022-10-09T06:53:26.947Z,166529840694700
"""K Godel @ TN11URmFSv"" checks",2022-10-09T06:53:26.097Z,166529840609700
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:53:25.219Z,166529840521900
"Flop:  [10♥, J♥, Q♣]",2022-10-09T06:53:21.343Z,166529840134300
"""K Godel @ TN11URmFSv"" calls 0.75",2022-10-09T06:53:20.468Z,166529840046800
"""Deckhole @ 3URETjsK60"" raises to 0.75",2022-10-09T06:53:17.056Z,166529839705600
"""lynn @ 9CcL0DjUmK"" folds",2022-10-09T06:53:11.064Z,166529839106400
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-10-09T06:53:07.539Z,166529838753906
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2022-10-09T06:53:07.539Z,166529838753905
"Your hand is 2♦, A♦, 8♣, 5♣",2022-10-09T06:53:07.539Z,166529838753903
"Player stacks: #1 ""Deckhole @ 3URETjsK60"" (296.67) | #2 ""K Godel @ TN11URmFSv"" (21.88) | #4 ""lynn @ 9CcL0DjUmK"" (53.23)",2022-10-09T06:53:07.539Z,166529838753901
"-- starting hand #288  (Pot Limit Omaha Hi) (dealer: ""lynn @ 9CcL0DjUmK"") --",2022-10-09T06:53:07.539Z,166529838753900
"-- ending hand #287 --",2022-10-09T06:53:01.531Z,166529838153103
"""lynn @ 9CcL0DjUmK"" shows a 6♦, 4♥, 6♥, 10♣.",2022-10-09T06:53:01.531Z,166529838153102
"""Deckhole @ 3URETjsK60"" collected 0.50 from pot with Two Pair (combination: A♣, A♦, 8♠, 8♦, Q♠)",2022-10-09T06:53:01.531Z,166529838153101
"""Deckhole @ 3URETjsK60"" shows a 7♥, A♣, 4♦, Q♠.",2022-10-09T06:53:01.531Z,166529838153100
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:53:00.610Z,166529838061000
"""lynn @ 9CcL0DjUmK"" checks",2022-10-09T06:52:54.134Z,166529837413400
"River: 2♣, J♠, 8♠, A♦ [8♦]",2022-10-09T06:52:49.400Z,166529836940000
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:52:48.539Z,166529836853900
"""lynn @ 9CcL0DjUmK"" checks",2022-10-09T06:52:45.741Z,166529836574100
"Turn: 2♣, J♠, 8♠ [A♦]",2022-10-09T06:52:23.390Z,166529834339000
"""Deckhole @ 3URETjsK60"" checks",2022-10-09T06:52:22.514Z,166529834251400
"""lynn @ 9CcL0DjUmK"" checks",2022-10-09T06:52:20.879Z,166529834087900
