entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 4.33.",2022-04-11T03:00:48.468Z,164964604846800
"The player ""Lori @ T4dnUDNjdJ"" quits the game with a stack of 1.63.",2022-04-11T03:00:41.694Z,164964604169400
"The player ""Lori @ T4dnUDNjdJ"" stand up with the stack of 1.63.",2022-04-11T03:00:39.564Z,164964603956400
"""K Godel @ Di5cxDUTF9"" shows a A♠, 9♦.",2022-04-11T03:00:36.806Z,164964603680600
"-- ending hand #128 --",2022-04-11T03:00:35.954Z,164964603595402
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-04-11T03:00:35.954Z,164964603595401
"Uncalled bet of 0.04 returned to ""K Godel @ Di5cxDUTF9""",2022-04-11T03:00:35.954Z,164964603595400
"""Lori @ T4dnUDNjdJ"" folds",2022-04-11T03:00:35.049Z,164964603504900
"""K Godel @ Di5cxDUTF9"" bets 0.04",2022-04-11T03:00:31.338Z,164964603133800
"Flop:  [8♦, A♦, 8♥]",2022-04-11T03:00:26.628Z,164964602662800
"""K Godel @ Di5cxDUTF9"" checks",2022-04-11T03:00:25.789Z,164964602578900
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-04-11T03:00:20.461Z,164964602046100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-11T03:00:18.325Z,164964601832505
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-04-11T03:00:18.325Z,164964601832504
"Your hand is A♠, 9♦",2022-04-11T03:00:18.325Z,164964601832502
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (4.31) | #7 ""Lori @ T4dnUDNjdJ"" (1.65)",2022-04-11T03:00:18.325Z,164964601832501
"-- starting hand #128  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-04-11T03:00:18.325Z,164964601832500
"""Lori @ T4dnUDNjdJ"" shows a Q♠, K♠.",2022-04-11T03:00:12.126Z,164964601212600
"""K Godel @ Di5cxDUTF9"" shows a J♣, 4♣.",2022-04-11T03:00:11.663Z,164964601166300
"-- ending hand #127 --",2022-04-11T03:00:11.019Z,164964601101902
"""Lori @ T4dnUDNjdJ"" collected 0.12 from pot",2022-04-11T03:00:11.019Z,164964601101901
"Uncalled bet of 0.06 returned to ""Lori @ T4dnUDNjdJ""",2022-04-11T03:00:11.019Z,164964601101900
"""K Godel @ Di5cxDUTF9"" folds",2022-04-11T03:00:10.130Z,164964601013000
"""Lori @ T4dnUDNjdJ"" bets 0.06",2022-04-11T03:00:08.871Z,164964600887100
"Flop:  [5♥, 9♣, K♦]",2022-04-11T03:00:03.008Z,164964600300800
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-04-11T03:00:02.173Z,164964600217300
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-04-11T03:00:00.193Z,164964600019300
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-04-11T02:59:54.798Z,164964599479806
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-11T02:59:54.798Z,164964599479805
"Your hand is J♣, 4♣",2022-04-11T02:59:54.798Z,164964599479803
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (4.37) | #7 ""Lori @ T4dnUDNjdJ"" (1.59)",2022-04-11T02:59:54.798Z,164964599479802
"-- starting hand #127  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-11T02:59:54.798Z,164964599479801
