entry,at,order
"The player ""K Godel @ TN11URmFSv"" quits the game with a stack of 183.94.",2022-10-23T10:23:20.501Z,166652060050100
"The player ""Deckhole @ 3URETjsK60"" quits the game with a stack of 226.77.",2022-10-23T10:23:02.617Z,166652058261701
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Deckhole @ 3URETjsK60"".",2022-10-23T10:23:02.617Z,166652058261700
"The player ""lynn @ YMhIHFu1Cm"" quits the game with a stack of 211.37.",2022-10-23T06:12:47.429Z,166650556742901
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""lynn @ YMhIHFu1Cm"".",2022-10-23T06:12:47.429Z,166650556742900
"The player ""Mircra4 @ dM3cFBvgoX"" quits the game with a stack of 33.17.",2022-10-23T06:12:41.270Z,166650556127001
"The admin ""K Godel @ TN11URmFSv"" enqueued the removal of the player ""Mircra4 @ dM3cFBvgoX"".",2022-10-23T06:12:41.270Z,166650556127000
"The player ""K Godel @ TN11URmFSv"" stand up with the stack of 183.94.",2022-10-23T06:09:08.281Z,166650534828100
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-10-23T06:09:04.251Z,166650534425100
"-- ending hand #391 --",2022-10-23T06:08:58.243Z,166650533824303
"""Malarkey @ Ia-cNlUwV8"" shows a 5♥, J♦, 3♥, Q♦.",2022-10-23T06:08:58.243Z,166650533824302
"""K Godel @ TN11URmFSv"" collected 161.82 from pot with Full House (combination: K♠, K♥, K♣, 3♦, 3♣)",2022-10-23T06:08:58.243Z,166650533824301
"""K Godel @ TN11URmFSv"" shows a K♠, K♥, 2♦, 10♦.",2022-10-23T06:08:58.243Z,166650533824300
"""Malarkey @ Ia-cNlUwV8"" calls 74.16 and go all in",2022-10-23T06:08:57.407Z,166650533740700
"""K Godel @ TN11URmFSv"" raises to 74.16",2022-10-23T06:08:54.290Z,166650533429000
"""Malarkey @ Ia-cNlUwV8"" raises to 54.00",2022-10-23T06:08:29.030Z,166650530903000
"""K Godel @ TN11URmFSv"" bets 13.50",2022-10-23T06:08:22.661Z,166650530266100
"River: 5♣, K♣, 3♦, 6♠ [3♣]",2022-10-23T06:08:16.008Z,166650529600800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-23T06:08:15.176Z,166650529517600
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:08:04.013Z,166650528401300
"Turn: 5♣, K♣, 3♦ [6♠]",2022-10-23T06:07:58.937Z,166650527893700
"""Malarkey @ Ia-cNlUwV8"" calls 6.00",2022-10-23T06:07:58.102Z,166650527810200
"""K Godel @ TN11URmFSv"" raises to 6.00",2022-10-23T06:07:52.434Z,166650527243400
"""Malarkey @ Ia-cNlUwV8"" bets 1.50",2022-10-23T06:07:47.657Z,166650526765700
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:07:44.310Z,166650526431000
"Flop:  [5♣, K♣, 3♦]",2022-10-23T06:07:40.386Z,166650526038600
"""K Godel @ TN11URmFSv"" calls 0.75",2022-10-23T06:07:39.523Z,166650525952300
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-10-23T06:07:38.274Z,166650525827400
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-10-23T06:07:35.124Z,166650525512405
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-10-23T06:07:35.124Z,166650525512404
"Your hand is K♠, K♥, 2♦, 10♦",2022-10-23T06:07:35.124Z,166650525512402
"Player stacks: #4 ""K Godel @ TN11URmFSv"" (103.03) | #6 ""Malarkey @ Ia-cNlUwV8"" (80.91)",2022-10-23T06:07:35.124Z,166650525512401
"-- starting hand #391  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-10-23T06:07:35.124Z,166650525512400
"-- ending hand #390 --",2022-10-23T06:07:29.115Z,166650524911502
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-10-23T06:07:29.115Z,166650524911501
"Uncalled bet of 1.50 returned to ""Malarkey @ Ia-cNlUwV8""",2022-10-23T06:07:29.115Z,166650524911500
"""K Godel @ TN11URmFSv"" folds",2022-10-23T06:07:28.220Z,166650524822000
"""Malarkey @ Ia-cNlUwV8"" bets 1.50",2022-10-23T06:07:24.638Z,166650524463800
"Turn: 2♦, 9♠, K♠ [6♠]",2022-10-23T06:07:21.107Z,166650524110700
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:07:20.249Z,166650524024900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-23T06:07:14.819Z,166650523481900
"Flop:  [2♦, 9♠, K♠]",2022-10-23T06:07:03.892Z,166650522389200
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-10-23T06:07:03.061Z,166650522306100
"""K Godel @ TN11URmFSv"" raises to 0.75",2022-10-23T06:07:01.465Z,166650522146500
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-10-23T06:06:56.366Z,166650521636605
"""K Godel @ TN11URmFSv"" posts a small blind of 0.10",2022-10-23T06:06:56.366Z,166650521636604
"Your hand is 10♦, J♠, 6♦, 5♦",2022-10-23T06:06:56.366Z,166650521636602
"Player stacks: #4 ""K Godel @ TN11URmFSv"" (103.78) | #6 ""Malarkey @ Ia-cNlUwV8"" (80.16)",2022-10-23T06:06:56.366Z,166650521636601
"-- starting hand #390  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-10-23T06:06:56.366Z,166650521636600
"-- ending hand #389 --",2022-10-23T06:06:50.288Z,166650521028802
"""Malarkey @ Ia-cNlUwV8"" collected 7.50 from pot with Two Pair (combination: A♦, A♠, 2♠, 2♥, K♥)",2022-10-23T06:06:50.288Z,166650521028801
"""Malarkey @ Ia-cNlUwV8"" shows a Q♠, A♦, 2♠, 3♦.",2022-10-23T06:06:50.288Z,166650521028800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-23T06:06:49.429Z,166650520942900
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:06:47.736Z,166650520773600
"River: 5♣, K♥, A♠, 10♣ [2♥]",2022-10-23T06:06:45.560Z,166650520556000
"""K Godel @ TN11URmFSv"" calls 2.25",2022-10-23T06:06:44.686Z,166650520468600
"""Malarkey @ Ia-cNlUwV8"" bets 2.25",2022-10-23T06:06:42.831Z,166650520283100
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:06:39.521Z,166650519952100
"Turn: 5♣, K♥, A♠ [10♣]",2022-10-23T06:06:36.480Z,166650519648000
"""K Godel @ TN11URmFSv"" calls 0.75",2022-10-23T06:06:35.669Z,166650519566900
"""Malarkey @ Ia-cNlUwV8"" bets 0.75",2022-10-23T06:06:34.412Z,166650519441200
"""K Godel @ TN11URmFSv"" checks",2022-10-23T06:06:29.507Z,166650518950700
"Flop:  [5♣, K♥, A♠]",2022-10-23T06:06:23.074Z,166650518307400
"""K Godel @ TN11URmFSv"" calls 0.75",2022-10-23T06:06:22.217Z,166650518221700
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-10-23T06:06:21.119Z,166650518111900
"""K Godel @ TN11URmFSv"" posts a big blind of 0.25",2022-10-23T06:06:17.070Z,166650517707005
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-10-23T06:06:17.070Z,166650517707004
"Your hand is 8♣, 5♠, J♠, K♦",2022-10-23T06:06:17.070Z,166650517707002
"Player stacks: #4 ""K Godel @ TN11URmFSv"" (107.53) | #6 ""Malarkey @ Ia-cNlUwV8"" (76.41)",2022-10-23T06:06:17.070Z,166650517707001
"-- starting hand #389  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-10-23T06:06:17.070Z,166650517707000
"-- ending hand #388 --",2022-10-23T06:06:14.129Z,166650517412902
"""K Godel @ TN11URmFSv"" collected 1.50 from pot",2022-10-23T06:06:14.129Z,166650517412901
"Uncalled bet of 0.75 returned to ""K Godel @ TN11URmFSv""",2022-10-23T06:06:14.129Z,166650517412900
"""Malarkey @ Ia-cNlUwV8"" folds",2022-10-23T06:06:13.319Z,166650517331900
"""K Godel @ TN11URmFSv"" bets 0.75",2022-10-23T06:06:09.486Z,166650516948600
"""Malarkey @ Ia-cNlUwV8"" checks",2022-10-23T06:06:05.188Z,166650516518800
"Flop:  [5♥, 5♣, Q♣]",2022-10-23T06:06:01.064Z,166650516106400
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-10-23T06:06:00.179Z,166650516017900
